window,client,auprc,ap_lift,p_at_budget,positives,transactions,prevalence
0,0,0.0012782322103157583,1.326272437553459,0.0,96,99608,0.0009637780097984098
0,1,0.0021035401643959267,1.408620645800844,0.02,140,93750,0.0014933333333333333
0,2,0.0009949995186372825,0.9612197875045563,0.0,99,95639,0.0010351425673626867
0,3,0.0010466701646754065,0.8984276749417641,0.0,117,100429,0.0011650021408158998
0,4,0.0009349907928879528,0.9841772766201967,0.0,94,98945,0.0009500227399060083
1,0,0.0008703102875841732,1.1217853293992,0.0,78,100538,0.0007758260558196901
1,1,0.0004585040877148728,0.7223549955881267,0.0,63,99254,0.0006347351240252282
1,2,0.0005286281232419767,0.7285984631579345,0.0,71,97858,0.0007255410901510352
1,3,0.005075823788039087,6.659942248433468,0.02,77,101031,0.0007621423127554909
1,4,0.0006770455995938776,1.0598263494319609,0.0,65,101749,0.0006388269172178596
2,0,0.0011126332792567935,1.0245632977796215,0.0,110,101293,0.0010859585558725677
2,1,0.0005879223510874756,0.6230535935372615,0.0,102,108095,0.0009436144132476062
2,2,0.0020353354368341297,1.7826529669934266,0.04,115,100723,0.0011417451823317415
2,3,0.0008473297307619086,0.8373882878811872,0.0,101,99815,0.0010118719631317938
2,4,0.0008365768101894486,0.8252956986581061,0.0,99,97665,0.0010136691752418983
3,0,0.0006312923830445053,0.7333948557090941,0.0,87,101071,0.0008607810351139298
3,1,0.001381651078224578,1.0508174908458594,0.0,125,95069,0.0013148344886345707
3,2,0.0007761944665397811,0.8439239747099826,0.0,89,96766,0.0009197445383709155
3,3,0.000822458894709346,0.8173775645083695,0.0,101,100376,0.0010062166254881644
3,4,0.0009701225466877194,0.9230292191786068,0.0,103,98000,0.0010510204081632653
4,0,0.0007785306598374975,0.8872340726275552,0.0,91,103706,0.0008774805700730912
4,1,0.0011457056858195055,1.0724453731922923,0.0,106,99222,0.001068311463183568
4,2,0.0006471807292613065,1.0782462403312874,0.0,60,99964,0.0006002160777880037
4,3,0.0011972809895847124,1.0801651400580623,0.0,110,99240,0.0011084240225715438
4,4,0.0007269497686351845,0.7707484921954544,0.0,92,97543,0.0009431737797689225
5,0,0.0008113112403346583,0.7986385587606311,0.0,100,98438,0.0010158678559093032
5,1,0.0012169550432204312,0.9145148703836125,0.0,136,102201,0.0013307110497940333
5,2,0.0011475761524314038,0.9938110144630733,0.0,114,98725,0.001154722714611294
5,3,0.0012606653929700092,1.2843607567848128,0.0,98,99842,0.0009815508503435428
5,4,0.0009602095863324014,0.9718706883189949,0.0,97,98178,0.0009880013852390556
6,0,0.0007001792586383516,0.8317333934375164,0.0,88,104534,0.0008418313658713912
6,1,0.0008481240548859656,0.9076413790262622,0.0,97,103807,0.0009344263874305201
6,2,0.0007062808124859964,1.0149152915885729,0.0,69,99152,0.0006959012425367113
6,3,0.000981391961114889,1.0943301019127352,0.0,88,98127,0.0008967970079590735
6,4,0.0011835213506233375,1.1312773367172502,0.0,105,100365,0.0010461814377522045
7,0,0.0012579743840327052,1.221081223778861,0.0,113,109686,0.001030213518589428
7,1,0.0012227430439571275,0.9944047712558102,0.0,136,110603,0.001229623066282108
7,2,0.0022466520246197342,1.4877708660385431,0.0,166,109928,0.001510079324648861
7,3,0.0013090516054381869,1.0629798818968483,0.0,131,106375,0.0012314923619271446
7,4,0.0010890142455472955,1.0295652371172908,0.0,117,110613,0.0010577418567437823
8,0,0.0011839210018477373,1.2186110366397418,0.0,103,106018,0.000971533135882586
8,1,0.0011286124313899526,1.2059336690644782,0.0,100,106851,0.0009358826777475176
8,2,0.0018107595931416008,1.6450029804738424,0.0,113,102656,0.0011007637157107232
8,3,0.0011079285232529123,1.3984300199748814,0.0,84,106025,0.0007922659750058948
8,4,0.0012634996290217058,1.1553440607774477,0.0,115,105156,0.0010936132983377078
9,0,0.0009162814666622584,1.276927306714227,0.0,72,100339,0.0007175674463568503
9,1,0.002218000211524739,1.7916933578608663,0.02,123,99359,0.0012379351644038286
9,2,0.0023841492448618364,2.0396933760343656,0.0,111,94963,0.001168876299190211
9,3,0.0015813854178092226,1.1877483549482255,0.0,136,102147,0.0013314145300400402
9,4,0.001478312526555394,1.3610422767852803,0.0,107,98512,0.0010861620919278869
10,0,0.0018054844253699179,1.7238272888588695,0.0,110,105025,0.0010473696738871696
10,1,0.002290759079241734,2.598999359067145,0.0,86,97572,0.0008814004017546018
10,2,0.0013541999267597815,2.2409788787994454,0.0,61,100945,0.0006042894645599088
10,3,0.0018127492510577755,1.8517691364517563,0.0,99,101131,0.0009789283206929626
10,4,0.0011239920396709391,1.4665760549831115,0.0,77,100469,0.0007664055579332928
11,0,0.0019907391034158974,2.2873815976799605,0.0,89,102262,0.0008703135084391074
11,1,0.0033505482499653727,2.504923286211431,0.0,138,103171,0.0013375851741283889
11,2,0.0021753664708386183,1.8709601893526009,0.0,120,103208,0.0011627005658476088
11,3,0.0015347145813577013,1.2713452814800688,0.0,125,103549,0.0012071579638625192
11,4,0.0016686831297108248,1.3868775376199023,0.0,124,103059,0.001203194286767774
12,0,0.001918174182944538,1.5630312506827821,0.0,123,100227,0.0012272142237121733
12,1,0.0024123261555151917,2.3700176660184638,0.0,104,102176,0.0010178515502662073
12,2,0.0017792138024855136,1.8248313769884155,0.0,97,99487,0.000975001759023792
12,3,0.0016107009484200518,1.8036518137583712,0.0,87,97422,0.0008930221099956888
12,4,0.002578443680225768,1.9598552071574509,0.0,130,98812,0.0013156296806055945
13,0,0.001788908989922637,2.8659173879984414,0.0,63,100929,0.0006242011711202925
13,1,0.001437691258533594,2.0272844500713916,0.0,72,101527,0.0007091709594492106
13,2,0.001745925962885724,1.8477283054663267,0.0,94,99481,0.0009449040520300359
13,3,0.0016050416915529165,1.9898649404915072,0.0,83,102900,0.0008066083576287658
13,4,0.001390377018803689,1.9529583200371317,0.0,72,101133,0.0007119337901575154
14,0,0.0042203849296314055,3.9171255584715845,0.0,111,103024,0.001077418853859295
14,1,0.003709564126736534,3.0599576220761877,0.0,120,98986,0.0012122926474450932
14,2,0.01633286334055478,10.243892214691858,0.08,164,102860,0.0015944001555512346
