typ,positives,captured,capture_rate,mean_score
0,932,0,0.0,0.38912198
1,1334,2,0.0014992503748125937,0.38753358
2,345,25,0.07246376811594203,0.42642924
3,1870,1,0.0005347593582887701,0.38701078
4,394,10,0.025380710659898477,0.411831
5,656,0,0.0,0.38061228
6,529,0,0.0,0.39950424
7,338,0,0.0,0.37455204
8,382,0,0.0,0.3531702
9,364,0,0.0,0.39535668
10,506,0,0.0,0.41323203
11,54,0,0.0,0.30437538
12,945,6,0.006349206349206349,0.4021553
13,250,0,0.0,0.35401404
14,383,2,0.005221932114882507,0.37157413
15,354,0,0.0,0.40185994
16,237,0,0.0,0.41201675
