window,client,auprc,ap_lift,p_at_budget,positives,transactions,prevalence
0,0,0.009219743923426898,6.768747788835884,0.02,133,97643,0.0013621048103806726
0,1,0.0026238882650254022,2.6180949275689605,0.0,101,100777,0.001002212806493545
0,2,0.0008185025811904205,0.8148861361123036,0.0,98,97567,0.0010044379759549847
0,3,0.0008492046130834045,1.0791692223063905,0.0,75,95310,0.0007869058860560277
0,4,0.0015626975989317686,1.0913475303503777,0.0,139,97074,0.001431897315450069
1,0,0.0006676300876534913,1.2287731763262508,0.0,54,99387,0.0005433306166802499
1,1,0.0004950316662328732,0.8467394921815041,0.0,61,104339,0.0005846327835229396
1,2,0.001977142124454487,2.068370040957849,0.02,92,96245,0.000955893812665593
1,3,0.0006633474401071895,1.2100542785184403,0.0,55,100329,0.0005481964337330184
1,4,0.0008953925719160848,0.974518024195191,0.0,92,100130,0.0009188055527813842
2,0,0.0007483172201510988,0.9435718908190243,0.0,80,100874,0.0007930685806055079
2,1,0.0015675358751711442,1.800541374482695,0.0,90,103378,0.0008705914217725241
2,2,0.001510491668076682,0.8242474562163468,0.0,179,97677,0.0018325706153956406
2,3,0.004763102785521641,6.377223057479214,0.04,75,100416,0.0007468929254302103
2,4,0.0008700245750693891,0.8889961789102226,0.0,103,105246,0.0009786595215020048
3,0,0.0008303341588061879,0.8473603792414979,0.0,95,96948,0.000979906754136238
3,1,0.0010021055161938833,0.8273167813238674,0.0,121,99895,0.0012112718354271986
3,2,0.0008281029506332579,0.8095948496866047,0.0,100,97765,0.0010228609420549276
3,3,0.00879322388721179,11.286845144369668,0.04,77,98836,0.000779068355659881
3,4,0.001236733461125516,1.080352931871413,0.0,112,97838,0.0011447494838406345
4,0,0.001163071291571948,0.9168968842457428,0.0,129,101696,0.0012684864694776589
4,1,0.0006998212624500945,0.9006161323684678,0.0,78,100380,0.0007770472205618649
4,2,0.0024785106018600173,2.3484248900769567,0.02,103,97594,0.001055392749554276
4,3,0.0008927816730502528,1.4039912932663612,0.0,63,99074,0.0006358883258978138
4,4,0.0007923652971063744,0.9299328116539939,0.0,86,100931,0.0008520672538665029
5,0,0.001335213575174553,1.0415296695924587,0.0,127,99066,0.0012819736337391235
5,1,0.000769010099885932,0.8773952880816198,0.0,85,96980,0.0008764693751288925
5,2,0.0009044111272841632,0.8729074730170983,0.0,102,98447,0.0010360904852357105
5,3,0.0012258222111015574,1.1563239289807234,0.0,105,99047,0.0010601027794885256
5,4,0.002131437623448577,1.7566429251539208,0.0,126,103844,0.0012133584992873926
6,0,0.0008406188913114647,1.03055672980329,0.0,80,98076,0.0008156939516293487
6,1,0.0007085217932204319,0.9167526191858472,0.0,76,98336,0.0007728603970061829
6,2,0.0008484320624437069,0.85260634819093,0.0,100,100492,0.000995104087887593
6,3,0.0009555344822929648,0.9552573772930998,0.0,100,99971,0.001000290084124396
6,4,0.0009600271967044318,1.1510831585980281,0.0,91,109110,0.0008340207130418843
7,0,0.0020362997807022764,1.6354881072007117,0.02,132,106018,0.0012450715916165179
7,1,0.0015415197513093059,1.217001713736228,0.0,137,108159,0.0012666537227600107
7,2,0.0015069597818639707,1.3516950843389068,0.0,126,113018,0.001114866658408395
7,3,0.0012114841228748185,0.909335003927964,0.0,146,109587,0.0013322748136184036
7,4,0.0013502039442136239,1.2220784437041066,0.0,122,110423,0.0011048422882913886
8,0,0.0007993318703053299,1.1799622879180092,0.0,70,103333,0.0006774215400694841
8,1,0.012482982588543306,12.96557469541639,0.14,100,103866,0.0009627789652051682
8,2,0.0014113266867927068,1.265082406331859,0.0,119,106669,0.0011156005962369574
8,3,0.0010875270087522648,1.0920671700509392,0.0,103,103430,0.0009958425988591318
8,4,0.001227168834978557,1.0915616902222274,0.0,123,109408,0.0011242322316466803
9,0,0.0016353920837643798,1.3999540305624436,0.0,112,95876,0.0011681755600984605
9,1,0.001218302257880634,1.2135604343867261,0.0,102,101603,0.0010039073649400117
9,2,0.0019547069000137047,1.52698290048769,0.0,126,98429,0.0012801105365288685
9,3,0.0011978732348953804,1.333632201516857,0.0,90,100200,0.0008982035928143712
9,4,0.0024098295304568885,2.009109305678057,0.02,119,99212,0.001199451679232351
10,0,0.0015014165836718992,1.314034660981497,0.0,117,102398,0.0011426004414148714
10,1,0.001212148717998628,1.242465195408783,0.0,95,97376,0.0009755997371015446
10,2,0.0008493765140691208,1.4969047665448154,0.0,56,98692,0.0005674218781664168
10,3,0.0010063694625678172,1.0614443555771864,0.0,95,100199,0.0009481132546232997
10,4,0.0008544805110663496,1.2997503053830244,0.0,70,106477,0.000657418973111564
11,0,0.0018963517828345048,1.4943975847126292,0.0,131,103233,0.0012689740683696105
11,1,0.001469349657090864,1.0991164442238812,0.0,137,102480,0.0013368462138953943
11,2,0.0023615099808898675,2.4180225514226477,0.0,101,103417,0.0009766286007136158
11,3,0.001113206713577809,1.1005075107772855,0.0,103,101825,0.0010115394058433588
11,4,0.0020455982945044742,1.7205131332826582,0.0,124,104294,0.0011889466316374864
12,0,0.0012177283956257905,1.5014591118065996,0.0,80,98640,0.0008110300081103001
12,1,0.006063630199426739,4.724325879128359,0.0,128,99728,0.001283491095780523
12,2,0.005237971664593041,4.231605237679617,0.0,124,100176,0.0012378214342756747
12,3,0.0011256052649794425,1.516753094559799,0.0,74,99715,0.0007421150278293135
12,4,0.0028905933412405656,2.1382896594295486,0.0,135,99865,0.0013518249637009963
13,0,0.0018773648986706137,2.9856555330701937,0.0,64,101782,0.0006287948753217661
13,1,0.0006419802535123058,1.0257066659655383,0.0,65,103852,0.0006258906905981589
13,2,0.0011086329243895575,1.3421575534751702,0.0,81,98062,0.0008260080357324958
13,3,0.0012160224340796266,1.5945172117025133,0.0,78,102278,0.0007626273489900077
13,4,0.0022273254672436574,2.320037889817675,0.0,96,99996,0.0009600384015360614
14,0,0.0021066393101329918,2.0630017815659514,0.0,105,102825,0.0010211524434719183
14,1,0.004245600373286369,3.375701018753336,0.0,123,97798,0.0012576944313789648
14,2,0.040484842713639675,29.524326863151465,0.16,134,97722,0.0013712367737049999
14,3,0.0020321432179805842,1.4102933784977119,0.0,145,100629,0.0014409365093561498
14,4,0.0031675240947357857,2.433042447071597,0.0,132,101392,0.001301877860186208
15,0,0.002311303550529118,2.6587438364747675,0.0,90,103529,0.0008693216393474292
15,1,0.0025299684098606086,2.537582410027427,0.0,105,105316,0.0009969995062478637
15,2,0.006497190354331933,6.386044243610255,0.04,103,101238,0.0010174045318951381
15,3,0.0020719674528644873,1.8883393373543722,0.0,112,102074,0.001097243176518996
