window,auprc,ap_lift,p_at_budget,positive_clients,total_clients,positives,transactions,prevalence
1,0.0009397087780728252,1.265691002435847,0.004,5,5,354,500430,0.0007073916431868593
2,0.0018918944247979907,2.1669159915815004,0.008,5,5,527,507591,0.0010382374785998963
3,0.0025380999947941267,2.9702940172986105,0.008,5,5,505,491282,0.001027922863039965
4,0.0012053100252077374,1.2999724023223043,0.004,5,5,459,499675,0.0009185970881072697
5,0.0012731789273789564,1.1409598569651642,0.0,5,5,545,497384,0.0010957328743988548
6,0.0008626268851945999,0.981251246614239,0.0,5,5,447,505985,0.0008834253979861063
7,0.001529293476192799,1.2671196705815835,0.004,5,5,663,547205,0.0012116117360038742
8,0.003401667397874433,3.518849649987885,0.028000000000000004,5,5,515,526706,0.0009777750775574988
9,0.0016832208014021977,1.496647774526355,0.004,5,5,549,495320,0.0011083743842364533
10,0.001084758357874763,1.2829198567790612,0.0,5,5,433,505142,0.0008571847124174985
11,0.001777203285779504,1.5665114448838202,0.0,5,5,596,515249,0.001156722283789003
12,0.0033071057731731157,2.822486596520785,0.0,5,5,541,498124,0.0010860749532244983
13,0.001414265195579152,1.853614970806218,0.0,5,5,384,505970,0.0007589382769729431
14,0.010407349941955081,7.7612730978080124,0.032,5,5,639,500366,0.0012770651882821774
15,0.0029263267355202323,2.984018853612719,0.008,5,5,496,514226,0.0009645564401644413
16,0.005564614423535677,4.2822182921527645,0.036,5,5,620,500613,0.0012384816215320017
17,0.002215441814817341,2.4196448476149515,0.0,5,5,450,491817,0.0009149744722122253
18,0.01084251540514795,7.689897110957394,0.024,5,5,604,413396,0.0014610688056972008
