window,auprc,ap_lift,p_at_budget,positive_clients,total_clients,positives,transactions,prevalence
1,0.005301716508445623,6.3278104417014305,0.008,5,5,354,500430,0.0007073916431868593
2,0.0010055972134774816,0.9763044245989189,0.0,5,5,527,507591,0.0010382374785998963
3,0.0009116649916516894,0.8848974481723275,0.0,5,5,505,491282,0.001027922863039965
4,0.0013182430721820296,1.5223785223946809,0.008,5,5,459,499675,0.0009185970881072697
5,0.0019862675794569016,1.9439534703598969,0.004,5,5,545,497384,0.0010957328743988548
6,0.0008212881440264486,0.9312681151017719,0.0,5,5,447,505985,0.0008834253979861063
7,0.0012571121595790634,1.0412580553737303,0.0,5,5,663,547205,0.0012116117360038742
8,0.0012212905863871234,1.2598307862738483,0.0,5,5,515,526706,0.0009777750775574988
9,0.0018318128565777054,1.8450577276139524,0.004,5,5,549,495320,0.0011083743842364533
10,0.001179427282315589,1.3875820936578975,0.0,5,5,433,505142,0.0008571847124174985
11,0.0028346923088498075,2.469098132927983,0.012,5,5,596,515249,0.001156722283789003
12,0.0015513771701275206,1.466557110887117,0.0,5,5,541,498124,0.0010860749532244983
13,0.007661484446616568,10.109591879126974,0.032,5,5,384,505970,0.0007589382769729431
14,0.0022944847961204316,1.7669324652617475,0.0,5,5,639,500366,0.0012770651882821774
15,0.014699429415150036,15.420825314942167,0.05600000000000001,5,5,496,514226,0.0009645564401644413
16,0.0026563944341024257,2.151579964672601,0.0,5,5,620,500613,0.0012384816215320017
17,0.006750481846638197,7.000778156361295,0.028000000000000004,5,5,450,491817,0.0009149744722122253
18,0.003348997271661991,2.347048208050978,0.004,5,5,604,413396,0.0014610688056972008
