typ,positives,captured,capture_rate,mean_score
0,932,3,0.003218884120171674,0.3735451
1,1334,0,0.0,0.36199328
2,345,3,0.008695652173913044,0.39050037
3,1870,0,0.0,0.36073625
4,394,3,0.007614213197969543,0.39062485
5,656,0,0.0,0.35097766
6,529,0,0.0,0.37420014
7,338,0,0.0,0.34600165
8,382,0,0.0,0.3461062
9,364,1,0.0027472527472527475,0.37014842
10,506,0,0.0,0.36667565
11,54,3,0.05555555555555555,0.34092125
12,945,2,0.0021164021164021165,0.3782721
13,250,1,0.004,0.35275593
14,383,0,0.0,0.35467115
15,354,0,0.0,0.36861098
16,237,0,0.0,0.37256452
