typ,positives,captured,capture_rate,mean_score
0,932,0,0.0,0.36747962
1,1334,0,0.0,0.35600433
2,345,48,0.1391304347826087,0.38621002
3,1870,2,0.0010695187165775401,0.37269175
4,394,45,0.11421319796954314,0.38828558
5,656,0,0.0,0.36126333
6,529,1,0.001890359168241966,0.37195325
7,338,0,0.0,0.349389
8,382,1,0.002617801047120419,0.34632275
9,364,1,0.0027472527472527475,0.37256593
10,506,1,0.001976284584980237,0.3859705
11,54,1,0.018518518518518517,0.3097465
12,945,3,0.0031746031746031746,0.37488517
13,250,0,0.0,0.340414
14,383,1,0.0026109660574412533,0.35542095
15,354,0,0.0,0.3779359
16,237,3,0.012658227848101266,0.38657933
