window,client,auprc,ap_lift,p_at_budget,positives,transactions,prevalence
0,0,0.009219743923426898,6.768747788835884,0.02,133,97643,0.0013621048103806726
0,1,0.0005523994607374459,0.7323072430028835,0.0,76,100752,0.0007543274575194537
0,2,0.0005184573934932283,0.9913718630090123,0.0,51,97520,0.0005229696472518457
0,3,0.0008492046130834045,1.0791692223063905,0.0,75,95310,0.0007869058860560277
0,4,0.0015959124687953902,1.3828439049927341,0.0,112,97047,0.0011540799818644575
1,0,0.0006676710337935457,1.2288485376970208,0.0,54,99387,0.0005433306166802499
1,1,0.00033473603712086517,0.6984468256149124,0.0,50,104328,0.00047925772563453724
1,2,0.002101501575123127,2.9305896313260513,0.02,69,96222,0.0007170917253850471
1,3,0.0006634621520735563,1.2102635319161423,0.0,55,100329,0.0005481964337330184
1,4,0.0008995673095855752,1.169612742846232,0.0,77,100115,0.0007691155171552714
2,0,0.0007484073685726483,0.9436855612174665,0.0,80,100874,0.0007930685806055079
2,1,0.0016739565512935515,2.1629192599263978,0.0,80,103368,0.0007739339060444238
2,2,0.0012948227939436005,1.316322247418039,0.0,96,97594,0.0009836670287107815
2,3,0.004725345044307075,6.326669972921857,0.04,75,100416,0.0007468929254302103
2,4,0.0008550557421270369,1.0462402405614648,0.0,86,105229,0.0008172652025582301
3,0,0.000831705008779742,0.8487593388545097,0.0,95,96948,0.000979906754136238
3,1,0.0009035400874432501,0.9702563216418824,0.0,93,99867,0.0009312385472678663
3,2,0.0005759578260254083,0.9874342223658764,0.0,57,97722,0.0005832872843372014
3,3,0.00835628697579731,10.725999734284454,0.04,77,98836,0.000779068355659881
3,4,0.001151367546498959,1.1151963660530066,0.0,101,97827,0.0010324348083862328
4,0,0.0011051121129908653,0.8712052825016979,0.0,129,101696,0.0012684864694776589
4,1,0.0007110408057398557,1.065170964646322,0.0,67,100369,0.000667536789247676
4,2,0.0007286854481004382,0.947932325724898,0.0,75,97566,0.0007687104114138122
4,3,0.0006475309066430686,1.0183091594405616,0.0,63,99074,0.0006358883258978138
4,4,0.0010593319925480162,1.444685477783152,0.0,74,100919,0.0007332613283920768
5,0,0.0015168448164878789,1.1832106188203795,0.0,127,99066,0.0012819736337391235
5,1,0.0006411416345690433,0.9419050610522577,0.0,66,96961,0.0006806860490300223
5,2,0.0007129271511691769,1.002324651175922,0.0,70,98415,0.0007112736879540721
5,3,0.0011904480692915406,1.1229553325630401,0.0,105,99047,0.0010601027794885256
5,4,0.01894849409898315,21.855614171413812,0.06,90,103808,0.0008669852034525277
6,0,0.0008008453893944775,0.9817964051281597,0.0,80,98076,0.0008156939516293487
6,1,0.00047218936320943055,0.9876493559367977,0.0,47,98307,0.00047809413368325753
6,2,0.0007166628247086437,0.7743426230198717,0.0,93,100485,0.0009255112703388565
6,3,0.00106396211460961,1.0636535655963733,0.0,100,99971,0.001000290084124396
6,4,0.0009007871458417676,1.1840684239232353,0.0,83,109102,0.0007607559898077029
7,0,0.0023206677481548543,1.8638829797263738,0.02,132,106018,0.0012450715916165179
7,1,0.002205626946196383,1.863582454930772,0.0,128,108150,0.001183541377716135
7,2,0.0009947646963389344,0.9860910462673477,0.0,114,113006,0.001008795993133108
7,3,0.0011304989630849176,0.8485478758053895,0.0,146,109587,0.0013322748136184036
7,4,0.0014146000103251086,1.3822269516817394,0.0,113,110414,0.001023420942996359
8,0,0.0010786745784424343,1.5923240030598866,0.0,70,103333,0.0006774215400694841
8,1,0.0008411869775741389,1.1344334975614454,0.0,77,103843,0.00074150400123263
8,2,0.001068543625075526,1.01761607265898,0.0,112,106662,0.0010500459395098535
8,3,0.0010699745287984276,1.0744414127536055,0.0,103,103430,0.0009958425988591318
8,4,0.0010697495313465744,1.114475249847636,0.0,105,109390,0.0009598683609105037
9,0,0.0020299461026333735,1.7377063619292619,0.02,112,95876,0.0011681755600984605
9,1,0.001470680463628062,1.2558869639822154,0.0,119,101620,0.0011710293249360363
9,2,0.001823387765036494,1.2379922668435364,0.02,145,98448,0.0014728587680806111
9,3,0.0010497643358509637,1.1687376272474064,0.0,90,100200,0.0008982035928143712
9,4,0.0012691393998129383,1.3391715920132543,0.0,94,99187,0.0009477048403520623
10,0,0.001303857276940694,1.1411314311467793,0.0,117,102398,0.0011426004414148714
10,1,0.0013618574175280145,1.18424445951166,0.0,112,97393,0.0011499799780271683
10,2,0.0012330496569503346,1.323223114471659,0.0,92,98728,0.0009318531723523215
10,3,0.0010335671556524813,1.090130478202347,0.0,95,100199,0.0009481132546232997
10,4,0.0006407122304062868,1.0336144440613422,0.0,66,106473,0.0006198754613845764
11,0,0.0017726072155380143,1.3968821426079072,0.0,131,103233,0.0012689740683696105
11,1,0.0024453195320741456,1.566578674976226,0.02,160,102503,0.0015609299240022243
11,2,0.013347474001005059,11.045408465103714,0.06,125,103441,0.0012084183254222215
11,3,0.00117638095736195,1.162961077508549,0.0,103,101825,0.0010115394058433588
11,4,0.0020131128497203406,1.8578181177644804,0.0,113,104283,0.0010835898468590278
12,0,0.0013927070668538653,1.717207813430816,0.0,80,98640,0.0008110300081103001
12,1,0.01798949326536421,13.001710719571706,0.12,138,99738,0.001383625097756121
12,2,0.009275234791090176,6.0746725636679155,0.06,153,100205,0.001526869916670825
12,3,0.0012991523707856787,1.750607819633702,0.0,74,99715,0.0007421150278293135
12,4,0.0014983946152438551,0.8753866693419671,0.0,171,99901,0.0017116945776318555
13,0,0.0014990978808516854,2.3840809454507226,0.0,64,101782,0.0006287948753217661
13,1,0.004178358639696299,5.4249197103666935,0.06,80,103867,0.0007702157566888424
13,2,0.0017605483249060992,1.584331974220544,0.0,109,98090,0.001111224385768172
13,3,0.0016373966413258758,2.147046842070871,0.0,78,102278,0.0007626273489900077
13,4,0.0018385336031795391,1.4830442348744373,0.02,124,100024,0.0012397024714068624
14,0,0.003241515768451193,3.1743700846761325,0.0,105,102825,0.0010211524434719183
14,1,0.0030346718279909354,2.1666227798499955,0.02,137,97812,0.0014006461374882428
14,2,0.004099992087563107,2.4739149787610724,0.02,162,97750,0.0016572890025575448
14,3,0.01418375689576085,9.843429466644956,0.08,145,100629,0.0014409365093561498
14,4,0.001936455730031216,1.1975797924554028,0.0,164,101424,0.0016169742861650103
15,0,0.01512845779196929,17.402601186053207,0.1,90,103529,0.0008693216393474292
15,1,0.007741191328754068,6.523409038445108,0.04,125,105336,0.0011866788182577656
15,2,0.009064817647908757,6.902074838860331,0.04,133,101268,0.0013133467630445945
15,3,0.004281438915025742,3.901996391181586,0.0,112,102074,0.001097243176518996
15,4,0.019392522364094916,17.67749616752027,0.06,112,102095,0.0010970174837161468
16,0,0.006474606951490969,4.8047338786242095,0.06,135,100182,0.0013475474636162185
16,1,0.007865801186152497,4.370601496159622,0.02,178,98905,0.0017997067893433093
16,2,0.0059089710045642325,3.7458271775946663,0.02,154,97624,0.0015774809473080391
16,3,0.014303222128243278,15.383413382719985,0.02,96,103250,0.0009297820823244552
16,4,0.002005355702254347,1.6420765497532792,0.0,123,100718,0.0012212315574177406
17,0,0.002140360410700696,3.0039506175365105,0.0,71,99647,0.0007125151785803888
17,1,0.0018043020120653203,1.6659778120188546,0.0,107,98797,0.0010830288369080034
17,2,0.003478344034389736,2.8912703073651085,0.02,118,98084,0.0012030504465560133
17,3,0.029370161700602148,29.605425779379136,0.04,97,97777,0.0009920533458788877
17,4,0.006287359692945971,4.578933918469435,0.04,134,97589,0.0013731055754234596
18,0,0.05406827905393484,38.890743983715815,0.16,114,81999,0.0013902608568397176
18,1,0.0033086293136069646,1.5993330226214841,0.0,170,82175,0.002068755704289626
18,2,0.0065477637410917095,3.818028319779497,0.02,144,83967,0.0017149594483547108
18,3,0.03505686369449513,31.505305045956007,0.06,94,84477,0.001112728908460291
18,4,0.002847007986502092,1.5657188207672696,0.02,147,80843,0.0018183392501515284
