typ,positives,captured,capture_rate,mean_score
0,932,12,0.012875536480686695,0.46710548
1,1334,5,0.0037481259370314842,0.41767845
2,345,16,0.0463768115942029,0.4645566
3,1870,0,0.0,0.45563564
4,394,12,0.030456852791878174,0.46081403
5,656,0,0.0,0.4484619
6,529,0,0.0,0.46135703
7,338,0,0.0,0.45064485
8,382,0,0.0,0.44249904
9,364,2,0.005494505494505495,0.46034533
10,506,0,0.0,0.45948806
11,54,2,0.037037037037037035,0.39922306
12,945,22,0.02328042328042328,0.4707844
13,250,0,0.0,0.4282067
14,383,0,0.0,0.4477003
15,354,0,0.0,0.45183435
16,237,0,0.0,0.46137145
