window,auprc,ap_lift,p_at_budget,positive_clients,total_clients,positives,transactions,prevalence
1,0.0009333876215393338,1.4475522538800718,0.004,5,5,305,500381,0.0006095355339231505
2,0.0018595175000487823,2.359167456409045,0.008,5,5,417,507481,0.0008217056402111606
3,0.002363771488908934,2.9295291966399453,0.008,5,5,423,491200,0.000861156351791531
4,0.001282025226102525,1.6333003668750958,0.004,5,5,408,499624,0.0008166140937985365
5,0.0010036738547641846,1.0744163358486214,0.0,5,5,458,497297,0.0009209788114547242
6,0.0007764575776176539,0.9753510429233316,0.0,5,5,403,505941,0.0007965355644235198
7,0.001634041942026421,1.427954959632943,0.008,5,5,633,547175,0.001156851098825787
8,0.0009530598008767616,1.0848327881080002,0.0,5,5,467,526658,0.0008867234524112422
9,0.001369288371859924,1.2247889194653228,0.004,5,5,560,495331,0.0011305571425975762
10,0.0011095168869435501,1.146569003058236,0.0,5,5,482,505191,0.000954094589966963
11,0.00280245361032087,2.3032750127924704,0.012,5,5,632,515285,0.001226505720135459
12,0.0022614766854493536,1.7986924903307915,0.012,5,5,616,498199,0.0012364537062499123
13,0.001577749029028143,1.8985217981124325,0.004,5,5,455,506041,0.0008991366312215809
14,0.0026904266838675547,1.8822442568164575,0.004,5,5,713,500440,0.0014247462233234753
15,0.005327060705630573,5.453186125725902,0.008,5,5,572,514302,0.0011121870029671282
16,0.005495956669989023,4.859022895712135,0.008,5,5,686,500679,0.0013701393507616656
17,0.006593183108349434,6.488199566853334,0.012,5,5,527,491894,0.0010713690347920488
18,0.01602477395471092,11.872492384565685,0.04,5,5,669,413461,0.0016180486188540153
