window,transactions,positives,prevalence,positive_clients
0,488282,457,0.0009359345624045121,5
1,500388,312,0.000623516151466462,5
2,507472,408,0.0008039852445061008,5
3,491236,459,0.0009343777736159402,5
4,499629,413,0.0008266133471035508,5
5,497321,482,0.0009691929357497471,5
6,505959,421,0.0008320832320405408,5
7,547138,596,0.0010893047092324058,5
8,526673,482,0.000915178868102219,5
9,495315,544,0.0010982909865439165,5
10,505184,475,0.0009402514727307278,5
11,515285,632,0.001226505720135459,5
12,498187,604,0.0012123961484342225,5
13,506042,456,0.0009011109749783615,5
14,500442,715,0.0014287369964950984,5
15,514294,564,0.001096648998432803,5
16,500676,683,0.0013641556615455904,5
17,491869,502,0.001020596947561241,5
18,413460,668,0.0016156339186378368,5
