window,auprc,ap_lift,p_at_budget,positive_clients,total_clients,positives,transactions,prevalence
1,0.006601877064206632,10.247350061578764,0.008,5,5,308,500384,0.0006155272750527595
2,0.0008787590549200287,1.0365154936911196,0.0,5,5,429,507493,0.0008453318567940839
3,0.0008664496031414752,0.9444103760953932,0.0,5,5,454,491231,0.0009242087734691011
4,0.0009599086614377972,1.1617937610165887,0.0,5,5,414,499630,0.000828613173748574
5,0.0009181722759729531,1.0114138085572564,0.0,5,5,454,497293,0.0009129426716241733
6,0.0006889989742477794,0.892381624922051,0.0,5,5,387,505925,0.0007649355141572368
7,0.0011717785019275428,1.0669654639684598,0.0,5,5,602,547144,0.0011002587984150424
8,0.0014644190509152991,1.6594265228604406,0.008,5,5,490,526681,0.0009303544270630609
9,0.0024007665466414777,2.3483476650077564,0.004,5,5,592,495363,0.0011950832016117473
10,0.0012980271792225047,1.436328219125388,0.0,5,5,462,505171,0.0009145418086153005
11,0.002658533971042897,2.122041134752937,0.008,5,5,637,515290,0.0012361970928991442
12,0.006244167052379559,5.771891581881486,0.02,5,5,593,498176,0.0011903423689619732
13,0.004187234550994985,4.773897227788294,0.024,5,5,461,506047,0.0009109825767171824
14,0.005586539193858471,4.168154025178433,0.012,5,5,711,500438,0.0014207554182536098
15,0.01898675252426066,16.541942253025912,0.076,5,5,559,514289,0.001086937500121527
16,0.005775653695864841,4.829091761774926,0.024,5,5,673,500666,0.001344209512928779
17,0.009273683120054966,9.08709002516363,0.036,5,5,514,491881,0.001044968193526483
18,0.004926307349948568,3.1030007357214187,0.016,5,5,665,413457,0.00160838974790607
