window,auprc,ap_lift,p_at_budget,positive_clients,total_clients,positives,transactions,prevalence
1,0.006601877064206632,10.247350061578764,0.008,5,5,308,500384,0.0006155272750527595
2,0.0008787590549200287,1.0365154936911196,0.0,5,5,429,507493,0.0008453318567940839
3,0.0008664496031414752,0.9444103760953932,0.0,5,5,454,491231,0.0009242087734691011
4,0.001109124559695276,1.3559301376819408,0.004,5,5,414,499630,0.000828613173748574
5,0.0009084632547643045,1.0103927412157592,0.0,5,5,454,497293,0.0009129426716241733
6,0.0006971139423173377,0.9085164279154162,0.0,5,5,387,505925,0.0007649355141572368
7,0.0011307820504865421,1.0390183091772545,0.0,5,5,602,547144,0.0011002587984150424
8,0.0013495711169998269,1.552806145419025,0.004,5,5,490,526681,0.0009303544270630609
9,0.001542565628506228,1.345324267252374,0.0,5,5,592,495363,0.0011950832016117473
10,0.0014362057651411168,1.6154753460624633,0.008,5,5,462,505171,0.0009145418086153005
11,0.0021182597917142,1.7830857854095015,0.0,5,5,637,515290,0.0012361970928991442
12,0.013350497516207907,12.572941355786226,0.032,5,5,593,498176,0.0011903423689619732
13,0.010537847817132167,11.953230959962776,0.036,5,5,461,506047,0.0009109825767171824
14,0.0032518632405692006,2.408563757436108,0.008,5,5,711,500438,0.0014207554182536098
15,0.0227578320570564,20.206701594170053,0.092,5,5,559,514289,0.001086937500121527
16,0.008850790049469736,7.172369439750879,0.044,5,5,673,500666,0.001344209512928779
17,0.017404201599704256,17.207417403853363,0.072,5,5,514,491881,0.001044968193526483
18,0.006248798135478149,3.955448309160745,0.024,5,5,665,413457,0.00160838974790607
