typ,positives,captured,capture_rate,mean_score
0,932,0,0.0,0.35744938
1,1334,0,0.0,0.2998522
2,345,81,0.23478260869565218,0.38461366
3,1870,1,0.0005347593582887701,0.34988958
4,394,53,0.13451776649746192,0.37505466
5,656,0,0.0,0.34845516
6,529,1,0.001890359168241966,0.37058145
7,338,0,0.0,0.33942094
8,382,0,0.0,0.33872843
9,364,0,0.0,0.36725804
10,506,0,0.0,0.364274
11,54,0,0.0,0.31148344
12,945,16,0.016931216931216932,0.37010172
13,250,0,0.0,0.34941888
14,383,0,0.0,0.34633395
15,354,1,0.002824858757062147,0.36428967
16,237,1,0.004219409282700422,0.37035343
