typ,positives,captured,capture_rate,mean_score
0,932,0,0.0,0.3861476
1,1334,11,0.008245877061469266,0.3670748
2,345,56,0.16231884057971013,0.41896078
3,1870,1,0.0005347593582887701,0.38725415
4,394,51,0.12944162436548223,0.40522236
5,656,0,0.0,0.37859625
6,529,1,0.001890359168241966,0.3980609
7,338,0,0.0,0.36887512
8,382,0,0.0,0.35412222
9,364,0,0.0,0.39023528
10,506,0,0.0,0.4083161
11,54,0,0.0,0.32568935
12,945,15,0.015873015873015872,0.39994147
13,250,0,0.0,0.3665219
14,383,0,0.0,0.36119077
15,354,0,0.0,0.40171614
16,237,0,0.0,0.4123435
