condition,metric,reference_beta,beta,seed,difference
control,auprc,0.0,0.05,42,-2.57803602121999e-05
control,auprc,0.0,0.05,43,0.0003036206972343398
control,auprc,0.0,0.05,44,0.0
control,auprc,0.0,0.05,45,3.724133485142017e-05
control,auprc,0.0,0.05,46,0.0
control,auprc,0.0,0.05,47,0.0
control,auprc,0.0,0.05,48,0.0
control,auprc,0.0,0.05,49,0.0
control,auprc,0.0,0.05,50,4.9418250308140175e-05
control,auprc,0.0,0.05,51,9.360177882314011e-05
control,auprc,0.0,0.1,42,0.00028901372942426
control,auprc,0.0,0.1,43,0.00022861513483581996
control,auprc,0.0,0.1,44,0.0
control,auprc,0.0,0.1,45,0.00016204455104718019
control,auprc,0.0,0.1,46,0.0
control,auprc,0.0,0.1,47,0.0
control,auprc,0.0,0.1,48,0.0
control,auprc,0.0,0.1,49,0.0
control,auprc,0.0,0.1,50,0.0001972739274749202
control,auprc,0.0,0.1,51,0.0004643878722397404
control,auprc,0.0,0.15,42,0.00022161500212768007
control,auprc,0.0,0.15,43,0.00031486049439582
control,auprc,0.0,0.15,44,0.0
control,auprc,0.0,0.15,45,0.0001459497837052201
control,auprc,0.0,0.15,46,0.0
control,auprc,0.0,0.15,47,0.0
control,auprc,0.0,0.15,48,0.0
control,auprc,0.0,0.15,49,0.0
control,auprc,0.0,0.15,50,0.0004080468819019601
control,auprc,0.0,0.15,51,0.0003303588010546202
control,auprc,0.0,0.2,42,0.00011293574880264032
control,auprc,0.0,0.2,43,0.0004269523441635
control,auprc,0.0,0.2,44,0.0
control,auprc,0.0,0.2,45,0.00011247735717462011
control,auprc,0.0,0.2,46,0.0
control,auprc,0.0,0.2,47,0.0
control,auprc,0.0,0.2,48,0.0
control,auprc,0.0,0.2,49,0.0
control,auprc,0.0,0.2,50,0.00049496899078286
control,auprc,0.0,0.2,51,0.00027363999542530013
control,auprc,0.0,0.3,42,8.981423167964023e-05
control,auprc,0.0,0.3,43,0.0009136639919053199
control,auprc,0.0,0.3,44,0.0
control,auprc,0.0,0.3,45,0.00011492436922428003
control,auprc,0.0,0.3,46,0.0
control,auprc,0.0,0.3,47,0.0
control,auprc,0.0,0.3,48,0.0
control,auprc,0.0,0.3,49,0.0
control,auprc,0.0,0.3,50,0.00041142447971302004
control,auprc,0.0,0.3,51,4.676835301398001e-05
control,p_at_budget,0.0,0.05,42,-0.0008888888888888887
control,p_at_budget,0.0,0.05,43,-0.0019999999999999983
control,p_at_budget,0.0,0.05,44,0.0
control,p_at_budget,0.0,0.05,45,0.0
control,p_at_budget,0.0,0.05,46,0.0
control,p_at_budget,0.0,0.05,47,0.0
control,p_at_budget,0.0,0.05,48,0.0
control,p_at_budget,0.0,0.05,49,0.0
control,p_at_budget,0.0,0.05,50,0.0
control,p_at_budget,0.0,0.05,51,-0.0017777777777777774
control,p_at_budget,0.0,0.1,42,-0.0008888888888888887
control,p_at_budget,0.0,0.1,43,-0.004666666666666666
control,p_at_budget,0.0,0.1,44,0.0
control,p_at_budget,0.0,0.1,45,0.0004444444444444452
control,p_at_budget,0.0,0.1,46,0.0
control,p_at_budget,0.0,0.1,47,0.0
control,p_at_budget,0.0,0.1,48,0.0
control,p_at_budget,0.0,0.1,49,0.0
control,p_at_budget,0.0,0.1,50,-0.0004444444444444448
control,p_at_budget,0.0,0.1,51,-0.0028888888888888922
control,p_at_budget,0.0,0.15,42,-0.0011111111111111113
control,p_at_budget,0.0,0.15,43,-0.005777777777777779
control,p_at_budget,0.0,0.15,44,0.0
control,p_at_budget,0.0,0.15,45,0.0006666666666666661
control,p_at_budget,0.0,0.15,46,0.0
control,p_at_budget,0.0,0.15,47,0.0
control,p_at_budget,0.0,0.15,48,0.0
control,p_at_budget,0.0,0.15,49,0.0
control,p_at_budget,0.0,0.15,50,-0.0002222222222222226
control,p_at_budget,0.0,0.15,51,-0.0028888888888888922
control,p_at_budget,0.0,0.2,42,-0.0011111111111111113
control,p_at_budget,0.0,0.2,43,-0.006
control,p_at_budget,0.0,0.2,44,0.0
control,p_at_budget,0.0,0.2,45,0.0008888888888888887
control,p_at_budget,0.0,0.2,46,0.0
control,p_at_budget,0.0,0.2,47,0.0
control,p_at_budget,0.0,0.2,48,0.0
control,p_at_budget,0.0,0.2,49,0.0
control,p_at_budget,0.0,0.2,50,-0.0002222222222222226
control,p_at_budget,0.0,0.2,51,-0.003111111111111113
control,p_at_budget,0.0,0.3,42,-0.001333333333333334
control,p_at_budget,0.0,0.3,43,-0.004444444444444444
control,p_at_budget,0.0,0.3,44,0.0
control,p_at_budget,0.0,0.3,45,0.001333333333333334
control,p_at_budget,0.0,0.3,46,0.0
control,p_at_budget,0.0,0.3,47,0.0
control,p_at_budget,0.0,0.3,48,0.0
control,p_at_budget,0.0,0.3,49,0.0
control,p_at_budget,0.0,0.3,50,0.00022222222222222218
control,p_at_budget,0.0,0.3,51,-0.003111111111111113
drift,auprc,0.0,0.05,42,0.0
drift,auprc,0.0,0.05,43,0.00012166870832878009
drift,auprc,0.0,0.05,44,0.0003526216144626201
drift,auprc,0.0,0.05,45,0.0005397207356077798
drift,auprc,0.0,0.05,46,0.0
drift,auprc,0.0,0.05,47,0.00016231047828888022
drift,auprc,0.0,0.05,48,0.0008460392918824399
drift,auprc,0.0,0.05,49,0.0009408105663896
drift,auprc,0.0,0.05,50,8.02288047831402e-05
drift,auprc,0.0,0.05,51,0.0003132388385351597
drift,auprc,0.0,0.1,42,0.0
drift,auprc,0.0,0.1,43,8.549230814156017e-05
drift,auprc,0.0,0.1,44,0.0004825380654380001
drift,auprc,0.0,0.1,45,0.0002697558172663401
drift,auprc,0.0,0.1,46,0.0
drift,auprc,0.0,0.1,47,0.0003375230056667799
drift,auprc,0.0,0.1,48,0.0015836174654898596
drift,auprc,0.0,0.1,49,0.00288311479215688
drift,auprc,0.0,0.1,50,0.00032451910780606
drift,auprc,0.0,0.1,51,0.0008659337504963996
drift,auprc,0.0,0.15,42,0.0
drift,auprc,0.0,0.15,43,0.00016769306757409997
drift,auprc,0.0,0.15,44,0.0007045498380801002
drift,auprc,0.0,0.15,45,0.00027028549063738
drift,auprc,0.0,0.15,46,0.0
drift,auprc,0.0,0.15,47,0.0004033611306502999
drift,auprc,0.0,0.15,48,0.0007549883651575
drift,auprc,0.0,0.15,49,0.0029674647740963195
drift,auprc,0.0,0.15,50,0.0004102162275474602
drift,auprc,0.0,0.15,51,0.0008463787705611601
drift,auprc,0.0,0.2,42,0.0
drift,auprc,0.0,0.2,43,0.00022515666416902014
drift,auprc,0.0,0.2,44,0.0008136922703418801
drift,auprc,0.0,0.2,45,0.00025418397802050015
drift,auprc,0.0,0.2,46,0.0
drift,auprc,0.0,0.2,47,0.00043053353416658
drift,auprc,0.0,0.2,48,5.266697415578017e-05
drift,auprc,0.0,0.2,49,0.0030081628364685394
drift,auprc,0.0,0.2,50,0.0004933783708735403
drift,auprc,0.0,0.2,51,0.0007800173577469599
drift,auprc,0.0,0.3,42,0.0
drift,auprc,0.0,0.3,43,0.00092079193668532
drift,auprc,0.0,0.3,44,0.0004783589784029198
drift,auprc,0.0,0.3,45,0.00022055725483937998
drift,auprc,0.0,0.3,46,0.0
drift,auprc,0.0,0.3,47,0.0004136721770372999
drift,auprc,0.0,0.3,48,-0.00017183156133416004
drift,auprc,0.0,0.3,49,0.00287786232301098
drift,auprc,0.0,0.3,50,0.0004923847636518399
drift,auprc,0.0,0.3,51,0.0005076038448534801
drift,p_at_budget,0.0,0.05,42,0.0
drift,p_at_budget,0.0,0.05,43,0.0008888888888888889
drift,p_at_budget,0.0,0.05,44,0.00222222222222222
drift,p_at_budget,0.0,0.05,45,-0.0015555555555555548
drift,p_at_budget,0.0,0.05,46,0.0
drift,p_at_budget,0.0,0.05,47,0.002444444444444447
drift,p_at_budget,0.0,0.05,48,0.0028888888888888853
drift,p_at_budget,0.0,0.05,49,0.006666666666666661
drift,p_at_budget,0.0,0.05,50,0.000666666666666667
drift,p_at_budget,0.0,0.05,51,0.0015555555555555566
drift,p_at_budget,0.0,0.1,42,0.0
drift,p_at_budget,0.0,0.1,43,0.0004444444444444446
drift,p_at_budget,0.0,0.1,44,0.004222222222222222
drift,p_at_budget,0.0,0.1,45,-0.001777777777777777
drift,p_at_budget,0.0,0.1,46,0.0
drift,p_at_budget,0.0,0.1,47,-0.0004444444444444452
drift,p_at_budget,0.0,0.1,48,0.003111111111111113
drift,p_at_budget,0.0,0.1,49,0.012000000000000004
drift,p_at_budget,0.0,0.1,50,0.0075555555555555575
drift,p_at_budget,0.0,0.1,51,0.0013333333333333287
drift,p_at_budget,0.0,0.15,42,0.0
drift,p_at_budget,0.0,0.15,43,0.0004444444444444446
drift,p_at_budget,0.0,0.15,44,0.008
drift,p_at_budget,0.0,0.15,45,-0.001777777777777777
drift,p_at_budget,0.0,0.15,46,0.0
drift,p_at_budget,0.0,0.15,47,-0.002888888888888887
drift,p_at_budget,0.0,0.15,48,0.0006666666666666696
drift,p_at_budget,0.0,0.15,49,0.009555555555555553
drift,p_at_budget,0.0,0.15,50,0.009555555555555557
drift,p_at_budget,0.0,0.15,51,0.0011111111111111113
drift,p_at_budget,0.0,0.2,42,0.0
drift,p_at_budget,0.0,0.2,43,0.0011111111111111111
drift,p_at_budget,0.0,0.2,44,0.01688888888888889
drift,p_at_budget,0.0,0.2,45,-0.002444444444444444
drift,p_at_budget,0.0,0.2,46,0.0
drift,p_at_budget,0.0,0.2,47,-0.006666666666666666
drift,p_at_budget,0.0,0.2,48,-0.004222222222222221
drift,p_at_budget,0.0,0.2,49,0.008888888888888887
drift,p_at_budget,0.0,0.2,50,0.01177777777777778
drift,p_at_budget,0.0,0.2,51,0.0015555555555555566
drift,p_at_budget,0.0,0.3,42,0.0
drift,p_at_budget,0.0,0.3,43,0.0031111111111111114
drift,p_at_budget,0.0,0.3,44,0.015333333333333334
drift,p_at_budget,0.0,0.3,45,-0.0031111111111111105
drift,p_at_budget,0.0,0.3,46,0.0
drift,p_at_budget,0.0,0.3,47,-0.009555555555555555
drift,p_at_budget,0.0,0.3,48,-0.012000000000000007
drift,p_at_budget,0.0,0.3,49,0.007333333333333331
drift,p_at_budget,0.0,0.3,50,0.0031111111111111122
drift,p_at_budget,0.0,0.3,51,0.005111111111111111
