condition,seed,beta,auprc,ap_lift,p_at_budget,window_macro_auprc,transaction_weighted_window_auprc
control,42,0.0,0.0012069218535661198,1.167051650812472,0.008222222222222223,0.00305400822497395,0.002991279719463861
control,42,0.05,0.00118114149335392,1.141980299777528,0.007333333333333334,0.0029513715520081275,0.002908128037321061
control,42,0.1,0.0014959355829903798,1.4523648397755813,0.007333333333333334,0.002940910715551267,0.0028994285787634386
control,42,0.15,0.0014285368556937999,1.3829544554322308,0.0071111111111111115,0.0028331102843403445,0.0028104394764158678
control,42,0.2,0.0013198576023687601,1.2748128542253148,0.0071111111111111115,0.00273681168267635,0.0027309529596158365
control,42,0.3,0.00129673608524576,1.2522454418319815,0.006888888888888889,0.0027180040725351554,0.0027153927809826558
control,43,0.0,0.0011616640096244,1.1206127267891037,0.016,0.004594750133743662,0.004602658131185065
control,43,0.05,0.0014652847068587398,1.382720834153682,0.014000000000000002,0.0041592087105645735,0.004154665749279451
control,43,0.1,0.00139027914446022,1.3450984594737294,0.011333333333333334,0.0036047324007382506,0.003618413074611171
control,43,0.15,0.00147652450402022,1.434269465170144,0.010222222222222221,0.003617100197521,0.0036337880900242235
control,43,0.2,0.0015886163537879,1.5481782220811073,0.01,0.003390465882482095,0.0034046509369427187
control,43,0.3,0.00207532800152972,2.0380954657084356,0.011555555555555557,0.0043522412325646105,0.004358660539581633
control,44,0.0,0.0011612402512785,1.1162675185475046,0.008888888888888889,0.0030480323135720832,0.002942361628295901
control,44,0.05,0.0011612402512785,1.1162675185475046,0.008888888888888889,0.0030480323135720832,0.002942361628295901
control,44,0.1,0.0011612402512785,1.1162675185475046,0.008888888888888889,0.0030480323135720832,0.002942361628295901
control,44,0.15,0.0011612402512785,1.1162675185475046,0.008888888888888889,0.0030480323135720832,0.002942361628295901
control,44,0.2,0.0011612402512785,1.1162675185475046,0.008888888888888889,0.0030480323135720832,0.002942361628295901
control,44,0.3,0.0011612402512785,1.1162675185475046,0.008888888888888889,0.0030480323135720832,0.002942361628295901
control,45,0.0,0.00128184774320364,1.2362107034554746,0.006888888888888889,0.0048040005038450725,0.004771236949903397
control,45,0.05,0.00131908907805506,1.2734394029718552,0.006888888888888889,0.004772058450732256,0.0047424667141481285
control,45,0.1,0.0014438922942508201,1.3997632620565819,0.007333333333333334,0.004759889495579383,0.004729868897162125
control,45,0.15,0.00142779752690886,1.3853062921238055,0.007555555555555555,0.004727664435929073,0.004701304023047678
control,45,0.2,0.00139432510037826,1.3529647667153013,0.0077777777777777776,0.004708760089331032,0.004684838653271341
control,45,0.3,0.00139677211242792,1.3558154868508052,0.008222222222222223,0.004723293053579422,0.004693587038306108
control,46,0.0,0.0011271075056638602,1.0888350274509286,0.018000000000000002,0.0053605238688608,0.005295264492206788
control,46,0.05,0.0011271075056638602,1.0888350274509286,0.018000000000000002,0.0053605238688608,0.005295264492206788
control,46,0.1,0.0011271075056638602,1.0888350274509286,0.018000000000000002,0.0053605238688608,0.005295264492206788
control,46,0.15,0.0011271075056638602,1.0888350274509286,0.018000000000000002,0.0053605238688608,0.005295264492206788
control,46,0.2,0.0011271075056638602,1.0888350274509286,0.018000000000000002,0.0053605238688608,0.005295264492206788
control,46,0.3,0.0011271075056638602,1.0888350274509286,0.018000000000000002,0.0053605238688608,0.005295264492206788
control,47,0.0,0.00127696105000424,1.223083798783662,0.008666666666666666,0.003257320115742544,0.0032567573474006637
control,47,0.05,0.00127696105000424,1.223083798783662,0.008666666666666666,0.003257320115742544,0.0032567573474006637
control,47,0.1,0.00127696105000424,1.223083798783662,0.008666666666666666,0.003257320115742544,0.0032567573474006637
