condition,beta,n_seeds,auprc_mean,auprc_std,auprc_ci_lo,auprc_ci_hi,ap_lift_mean,ap_lift_std,ap_lift_ci_lo,ap_lift_ci_hi,p_at_budget_mean,p_at_budget_std,p_at_budget_ci_lo,p_at_budget_ci_hi,window_macro_auprc_mean,window_macro_auprc_std,window_macro_auprc_ci_lo,window_macro_auprc_ci_hi,transaction_weighted_window_auprc_mean,transaction_weighted_window_auprc_std,transaction_weighted_window_auprc_ci_lo,transaction_weighted_window_auprc_ci_hi
control,0.0,10,0.001345202521977696,0.0003335704782969409,0.0011812650136666806,0.0015626493568813508,1.304258848158896,0.33458432315384284,1.1392857843573714,1.5215729212237694,0.014155555555555555,0.00880519238258744,0.009355,0.019533333333333333,0.005110120243533233,0.0026981421652252724,0.0036715993572502214,0.006808521940099527,0.005044420882186746,0.0026758366049992465,0.003621073120964463,0.006728680977619939
control,0.05,10,0.00139101269207818,0.0003209542514838933,0.0012278399390332699,0.00159907931055607,1.3450362338557547,0.3216738181520628,1.181921700500952,1.554120325231003,0.01368888888888889,0.008583136559333024,0.009022222222222223,0.01897833333333333,0.004992917747358766,0.002648896562377243,0.0035885526088592114,0.006666507576715313,0.004938217642703341,0.0026364997084970896,0.003541375640253661,0.006600048052364554
control,0.1,10,0.001479336043479888,0.0003027015497034645,0.001313950590562317,0.0016664336593435784,1.435351213893742,0.3042594959040024,1.2688525587457082,1.6238253417665127,0.013311111111111112,0.008481691732797518,0.008755555555555556,0.018533333333333336,0.004932748163552605,0.0026552215246657806,0.0035281986485398036,0.006614969005823773,0.004881605550116174,0.002642430984266023,0.0034840753412973217,0.006560499257585711
control,0.15,10,0.0014872856182962261,0.00029586178291739115,0.001328641300980924,0.0016742717617844653,1.441957465226945,0.2965460105692559,1.2831157510059301,1.6289538082769102,0.013222222222222224,0.00848867558390143,0.00871111111111111,0.018444999999999996,0.004923418200551937,0.0026267047102848076,0.0035342554783256166,0.006605759478484715,0.004876917515356872,0.002614988750412996,0.0035004709501474185,0.0065531895598105756
control,0.2,10,0.001487299965612588,0.00030738851546853197,0.001322550662796404,0.0016817344054837731,1.4412972942780027,0.30699983360155697,1.2775703659671507,1.6357183277626086,0.0132,0.008451718764167861,0.00871111111111111,0.018400000000000003,0.004892458120300875,0.002633560842668252,0.003510135472884979,0.006571429493631614,0.004848272769562243,0.0026209061427077763,0.0034751799658779632,0.006520986261099679
control,0.3,10,0.0015028620645313202,0.0003709308107359753,0.0013028321035259008,0.001729624911679956,1.4591689425036694,0.3722030156211811,1.2583291512488268,1.6851269151391812,0.013422222222222224,0.00832811359159522,0.008977222222222223,0.018555555555555558,0.004958096340287675,0.002580895576372074,0.0035966639529115595,0.00659208509930949,0.004916833838582104,0.002573096359962829,0.0035587945745525133,0.006545456246092749
drift,0.0,10,0.00131071342276629,0.00035708730444621435,0.0011251317475456518,0.0015359020196808117,1.2612060438654074,0.35371676451757333,1.0782852853236995,1.4844234988210747,0.01368888888888889,0.010634313073276827,0.00788888888888889,0.019977777777777782,0.004804789153318433,0.003443807989473797,0.003008387216463885,0.006970264158659214,0.004739649270683711,0.0034400936405436055,0.00294295961300547,0.006900555519234711
drift,0.05,10,0.0016463773265941299,0.0006374091892023397,0.0013165395806711121,0.0020542777501881167,1.587747304586099,0.6299721761984118,1.2606944779406586,1.9925091582807277,0.015266666666666668,0.011639321274269027,0.008822222222222223,0.02215555555555556,0.00524337951648703,0.003765006622324488,0.003247410479629421,0.0075897701299995415,0.005173513120215953,0.0037505674303376655,0.003192289881073419,0.007501851288186912
drift,0.1,10,0.001993962854012478,0.0012184142078300179,0.0014005768934585072,0.002791074365422665,1.8924320177437561,1.1207625267730463,1.340038091334954,2.6249107965441616,0.016333333333333335,0.011678007421594675,0.009822222222222222,0.023222222222222224,0.005562578349663481,0.0038491724183940066,0.0034774550069424006,0.007943553023431258,0.005485736195346069,0.0038041211624611476,0.003428591018317382,0.00783581020039844
drift,0.15,10,0.001963207189196722,0.0011526190255708045,0.001452004527282053,0.002723000105124545,1.8632635351857523,1.0505025281109035,1.386440050240417,2.552441177187093,0.01615555555555556,0.010859900946126112,0.009955555555555556,0.02248888888888889,0.005442128932002546,0.003548530508606297,0.0035113764886572003,0.0075835867955963915,0.0053606582343650065,0.003492999633406622,0.0034667497652368456,0.00748755387495319
drift,0.2,10,0.0019164926213605705,0.0011448331227853772,0.0014455576007294303,0.0026715770237796294,1.8170445805052502,1.0417750288108831,1.3834743172039858,2.504157975506355,0.01637777777777778,0.010600126820681935,0.010177222222222223,0.022444999999999996,0.005061752389768281,0.0032429835820589454,0.0032737690509240833,0.00699468728247179,0.0049766398940622,0.0031683089512121064,0.0032386901588094407,0.006859205928160676
drift,0.3,10,0.001884653394480996,0.001102557950093352,0.001441913485889881,0.002611270804441709,1.785130719901416,1.006123035729689,1.375804147822685,2.450314008366376,0.014622222222222222,0.010308173272408249,0.008666666666666666,0.020622222222222226,0.0047464021238349035,0.002876018704442529,0.0031642417269938856,0.006469999265793588,0.004659682013636343,0.0027942367801868134,0.0031291227885181516,0.006343071392031078
