window,client,auprc,ap_lift,p_at_budget,positives,transactions,prevalence
0,0,9.33618595762754e-05,1.1804323417850848,0.0,16,202298,7.90912416336296e-05
0,1,0.0003413463907426558,2.275073694299801,0.0,31,206615,0.00015003750937734434
0,2,0.0006075827204388635,0.9239769807132463,0.0,171,260047,0.0006575734386476291
0,3,0.00010359512685447133,0.6024364612099778,0.0,37,215166,0.0001719602539434669
0,4,0.0001756786775656511,0.6051606028173798,0.0,67,230795,0.0002903009163976689
1,0,0.0004110640978666884,1.7677126421927156,0.0,30,129010,0.00023254011316952173
1,1,0.0009867589116535447,2.982994616267567,0.0,44,133013,0.00033079473434927413
1,2,0.0011731929406373464,1.148513989136082,0.0,196,191877,0.001021487723906461
1,3,0.00038182230714770926,1.020063508225766,0.0,53,141593,0.0003743122894493372
1,4,0.0005476608303549645,1.0241644111753383,0.0,85,158956,0.0005347391731045069
2,0,0.02589629947954099,24.569833472866723,0.06,36,34156,0.0010539875863684273
2,1,0.05370212097116758,47.20678394931344,0.1,41,36041,0.0011375932965234038
2,2,0.0782895410800799,22.74290009040894,0.16,185,53742,0.00344237281827993
2,3,0.012747155549120332,8.622571614804103,0.04,58,39233,0.0014783473096627838
2,4,0.013023559074038914,8.109458403707894,0.02,71,44210,0.0016059714996607103
3,0,0.018673408927032734,33.91385904447992,0.04,19,34507,0.0005506129191178602
3,1,0.016607190188018518,8.229431477553177,0.04,73,36174,0.002018023995134627
3,2,0.10070256310727059,33.49517364569843,0.16,161,53551,0.003006479804298706
3,3,0.05073177933077196,26.989992168556235,0.1,74,39369,0.0018796515024511672
3,4,0.050168082922691454,27.485211330233046,0.1,80,43829,0.0018252755025211617
4,0,0.020437767032178086,49.537431328357464,0.08,33,79986,0.0004125722001350236
4,1,0.01865304767856635,21.29922523691201,0.04,73,83356,0.0008757617927923605
4,2,0.09319997457111916,55.86344636947195,0.18,211,126472,0.0016683534695426656
4,3,0.015714464289168336,17.282652841342294,0.08,82,90183,0.0009092622778128916
4,4,0.017282047356810794,24.639638990537478,0.08,72,102653,0.0007013920684246929
5,0,0.04368726211762496,82.79672326906737,0.08,42,79599,0.0005276448196585384
5,1,0.006595918394519199,7.346445962236889,0.04,75,83534,0.0008978380060813561
5,2,0.12735408903959222,70.63439279371674,0.3,227,125901,0.0018030039475460879
5,3,0.01993267595808731,19.533589119883,0.06,92,90158,0.001020430799263515
5,4,0.04656875512527609,50.439844169742464,0.22,95,102897,0.0009232533504378164
6,0,0.006889657940072312,14.113552619186082,0.0,39,79892,0.0004881590146698042
6,1,0.01870018479864211,15.82602306231748,0.02,99,83784,0.0011816098539100543
6,2,0.05966664652601558,38.904191335130356,0.1,194,126493,0.0015336817057070352
6,3,0.026026539889378586,24.946992240137234,0.06,94,90101,0.0010432736595598273
6,4,0.0534566063661802,77.15896446496497,0.1,71,102481,0.0006928113503966589
7,0,0.016218968978994417,29.426738921865983,0.02,44,79831,0.0005511643346569629
7,1,0.013479723191830393,14.280487001188114,0.02,79,83693,0.000943926015317888
7,2,0.1195510372607428,65.68445859376325,0.46,230,126368,0.0018200810331729551
7,3,0.03996493999191064,37.50917768969938,0.14,96,90101,0.0010654709714653556
7,4,0.051754410887396546,59.103537233406854,0.12,90,102780,0.0008756567425569177
8,0,0.008940385810706998,25.007153151128545,0.04,40,111884,0.00035751313860784385
8,1,0.00836584569759463,13.997757270043445,0.02,69,115451,0.0005976561484958986
8,2,0.06764151619352644,49.69705998386769,0.32,226,166045,0.0013610768165256406
8,3,0.03147649828319843,43.469751466137105,0.08,89,122911,0.000724101178901807
8,4,0.01440128792943093,22.11013734374498,0.08,90,138176,0.0006513432144511348
9,0,0.04183041574131095,44.93240250862754,0.06,32,34373,0.000930963256043988
9,1,0.04164289432204766,21.265442527246226,0.06,71,36257,0.0019582425462669278
9,2,0.10799604107760527,35.06293152938275,0.24,166,53895,0.0030800630856294645
9,3,0.035715509431716815,15.482285126590199,0.12,92,39881,0.0023068629171786063
9,4,0.06958358729525312,37.72890827679286,0.14,81,43919,0.0018443042874382385
