window,client,purity,nmi,ari,named_purity,named_nmi,named_ari,cosine_gap,confirmed_positives
1,0,0.5,0.18801086031393224,-0.23060741519852748,0.25,0.0,0.0,-0.04335743188858032,16
1,1,1.0,0.4461562242635536,0.17391304347826086,,,,0.059501469135284424,9
1,2,,,,,,,,16
1,4,0.8260869565217391,0.23091106885250762,-0.007600801728401489,0.75,0.0,0.0,-0.03538072109222412,23
2,0,0.6052631578947368,0.21282678027605326,-0.14072523351913974,0.4666666666666667,0.13525846469941386,0.021164021164021163,-0.03610891103744507,38
2,1,0.625,0.3070793570012175,0.1257424062446971,0.5,0.421890187888079,0.06005221932114883,-0.00099259614944458,24
2,2,0.9444444444444444,0.03345723315154144,-0.07894238827759605,0.3333333333333333,0.0,0.0,-0.04578679800033569,54
2,3,0.5,0.3092170864439614,-0.15714285714285714,0.5,0.22844382632052868,-0.36363636363636365,-0.0195695161819458,10
2,4,0.7432432432432432,0.25799113659569173,-0.027013730350017615,0.5263157894736842,0.0,0.0,-0.02965313196182251,74
3,0,0.5853658536585366,0.21895998165540406,-0.020170269149701624,0.4594594594594595,0.10881447151564934,-0.051837957662419915,-0.019957423210144043,82
3,1,0.5492957746478874,0.18672469149010693,-0.052214161908521024,0.4375,0.2601384778436728,0.15104673807205451,-0.010247468948364258,71
3,2,0.9056603773584906,0.044882371310756265,-0.015677145030938477,0.3,0.09137613283202199,-0.10795454545454546,-0.03255206346511841,106
3,3,0.5757575757575758,0.29815117799025803,0.0769757684733282,0.5263157894736842,0.16515933810385314,0.0681198910081744,-0.008298039436340332,33
3,4,0.6212121212121212,0.24345180693888144,-0.05180050998784105,0.46,0.12165051635933452,0.03792497674899246,-0.020543992519378662,132
4,0,0.5208333333333334,0.17612935535286706,-0.0757653791130186,0.3333333333333333,0.06742657313777282,-0.025499750671437445,-0.018261730670928955,144
4,1,0.5327102803738317,0.11752643114357085,-0.0838104179035162,0.34,0.1127841315982719,0.020560027072892274,-0.01676952838897705,107
4,2,0.9038461538461539,0.04335843543720341,-0.006544211164248057,0.4,0.07144984577053536,-0.05953582240161453,-0.02104973793029785,156
4,3,0.5517241379310345,0.2869320578452854,0.1388663598669522,0.5526315789473685,0.2101046415053158,0.13759913033303262,0.016915619373321533,58
4,4,0.5669642857142857,0.20751646880826108,-0.0868612913121271,0.3917525773195876,0.05358739338651113,0.023918535946314465,-0.021596968173980713,224
5,0,0.5203619909502263,0.15847161927140058,0.09272361883630173,0.35454545454545455,0.07203768442317911,0.019988260320855544,-0.01547175645828247,221
5,1,0.5894039735099338,0.09039765606107475,0.06671330508807884,0.3548387096774194,0.09324332334152606,-0.020744347302993155,-0.00888150930404663,151
5,2,0.8772727272727273,0.04690983134101454,0.027372419565288537,0.4074074074074074,0.18185389131799493,-0.042382588774341354,-0.015551209449768066,220
5,3,0.6509433962264151,0.3643374074124205,0.3452086384350269,0.6419753086419753,0.23737108317095648,0.22482789752849566,0.019156694412231445,106
5,4,0.5442622950819672,0.20781928951684245,-0.07559411439449626,0.381294964028777,0.05741767897320064,0.04547875407831036,-0.020801067352294922,305
6,0,0.4869281045751634,0.1646533651367421,0.09546972316066178,0.36585365853658536,0.08382859143952526,0.04255022072014898,-0.02008378505706787,306
6,1,0.5631067961165048,0.13859045031730557,0.12163191184951978,0.3804347826086957,0.11827014445223492,-0.007642920194722545,-0.0018428564071655273,206
6,2,0.8349514563106796,0.05347301276205428,0.02843909759247322,0.4117647058823529,0.16935174836799796,0.009928562779997579,-0.0168495774269104,309
6,3,0.6707317073170732,0.31928980093484965,0.2824998462548666,0.7086614173228346,0.26012366446131746,0.2368970851346433,0.022409677505493164,164
6,4,0.5642317380352645,0.18699543555790032,0.11284136660279181,0.3611111111111111,0.07885518232147568,0.044207025240398476,-0.016035795211791992,397
7,0,0.48148148148148145,0.17943333008929083,0.10761852854412934,0.3584070796460177,0.08920349336042419,0.048976999170947035,-0.017740190029144287,405
7,1,0.539622641509434,0.1041576265868854,0.13328521448731884,0.4032258064516129,0.09417532910300752,0.03371239686812272,-0.001371622085571289,265
7,2,0.8103448275862069,0.08084829288967381,0.05855046531192477,0.5454545454545454,0.22580052998527533,0.12912816802396498,-0.02342700958251953,406
7,3,0.6367713004484304,0.3165867754477051,0.2840478078175579,0.7078651685393258,0.27783907834837224,0.2560176751995169,0.019539177417755127,223
7,4,0.5785288270377733,0.12071679941387163,0.10777418905940381,0.3470319634703196,0.06898841936865356,0.041674466216723764,-0.015495896339416504,503
8,0,0.45136186770428016,0.16216747836464207,0.09108844727714792,0.35973597359735976,0.07757607024954642,0.03926637380870663,-0.014171600341796875,514
8,1,0.5,0.09780453261327916,0.11503171598212866,0.3898305084745763,0.0723650235298541,0.018939236316727857,0.002469658851623535,338
8,2,0.8080808080808081,0.06036705230764749,0.05737860316192573,0.4842105263157895,0.15541770040284716,0.07774898646355403,-0.023515522480010986,495
8,3,0.6042402826855123,0.25235762317223237,0.2113787237438252,0.6200873362445415,0.1758626468925828,0.13263791769820413,0.017226815223693848,283
8,4,0.5888,0.19788793507045557,0.15901561960678415,0.3722627737226277,0.07107242187877251,0.045071438635065346,-0.012229561805725098,625
9,0,0.43870967741935485,0.14728921487318655,0.0855900554656888,0.3443526170798898,0.061390302085088014,0.029012572154829684,-0.01194620132446289,620
9,1,0.4813895781637717,0.09364529324338461,0.09565323127753424,0.4409090909090909,0.09801951630129932,0.057578538477001916,0.002678513526916504,403
9,2,0.7854671280276817,0.07438516992253008,0.06460146036519905,0.43548387096774194,0.13656787305339418,0.058878755114474914,-0.027398765087127686,578
9,3,0.5771428571428572,0.20102394754116804,0.17096739118130685,0.6013986013986014,0.1348707565772114,0.10459091993745777,0.012190520763397217,350
9,4,0.5741239892183289,0.18774657939564138,0.15002648583835282,0.3586626139817629,0.0634208326623651,0.03203164803723271,-0.01270914077758789,742
