window,client,budget,precision,recall
1,0,10,0.0,0.0
1,0,25,0.0,0.0
1,0,50,0.0,0.0
1,0,100,0.0,0.0
1,0,200,0.0,0.0
1,1,10,0.0,0.0
1,1,25,0.0,0.0
1,1,50,0.0,0.0
1,1,100,0.0,0.0
1,1,200,0.0,0.0
1,2,10,0.0,0.0
1,2,25,0.0,0.0
1,2,50,0.0,0.0
1,2,100,0.0,0.0
1,2,200,0.0,0.0
1,3,10,0.0,0.0
1,3,25,0.0,0.0
1,3,50,0.0,0.0
1,3,100,0.0,0.0
1,3,200,0.0,0.0
1,4,10,0.0,0.0
1,4,25,0.0,0.0
1,4,50,0.0,0.0
1,4,100,0.0,0.0
1,4,200,0.015,0.02830188679245283
2,0,10,0.0,0.0
2,0,25,0.0,0.0
2,0,50,0.0,0.0
2,0,100,0.0,0.0
2,0,200,0.0,0.0
2,1,10,0.0,0.0
2,1,25,0.04,0.014084507042253521
2,1,50,0.04,0.028169014084507043
2,1,100,0.02,0.028169014084507043
2,1,200,0.015,0.04225352112676056
2,2,10,0.0,0.0
2,2,25,0.04,0.037037037037037035
2,2,50,0.04,0.07407407407407407
2,2,100,0.02,0.07407407407407407
2,2,200,0.015,0.1111111111111111
2,3,10,0.7,0.04929577464788732
2,3,25,0.76,0.13380281690140844
2,3,50,0.58,0.20422535211267606
2,3,100,0.41,0.2887323943661972
2,3,200,0.275,0.3873239436619718
2,4,10,0.4,0.04
2,4,25,0.28,0.07
2,4,50,0.2,0.1
2,4,100,0.19,0.19
2,4,200,0.11,0.22
3,0,10,0.0,0.0
3,0,25,0.0,0.0
3,0,50,0.0,0.0
3,0,100,0.0,0.0
3,0,200,0.0,0.0
3,1,10,0.0,0.0
3,1,25,0.0,0.0
3,1,50,0.0,0.0
3,1,100,0.02,0.02702702702702703
3,1,200,0.045,0.12162162162162163
3,2,10,0.1,0.02702702702702703
3,2,25,0.04,0.02702702702702703
3,2,50,0.04,0.05405405405405406
3,2,100,0.03,0.08108108108108109
3,2,200,0.02,0.10810810810810811
3,3,10,0.4,0.028985507246376812
3,3,25,0.4,0.07246376811594203
3,3,50,0.34,0.12318840579710146
3,3,100,0.32,0.2318840579710145
3,3,200,0.22,0.3188405797101449
3,4,10,0.2,0.02127659574468085
3,4,25,0.12,0.031914893617021274
3,4,50,0.06,0.031914893617021274
3,4,100,0.06,0.06382978723404255
3,4,200,0.06,0.1276595744680851
4,0,10,0.0,0.0
4,0,25,0.0,0.0
4,0,50,0.0,0.0
4,0,100,0.0,0.0
4,0,200,0.0,0.0
4,1,10,0.1,0.013333333333333334
4,1,25,0.04,0.013333333333333334
4,1,50,0.02,0.013333333333333334
4,1,100,0.06,0.08
4,1,200,0.03,0.08
4,2,10,0.1,0.01818181818181818
4,2,25,0.08,0.03636363636363636
4,2,50,0.08,0.07272727272727272
4,2,100,0.07,0.12727272727272726
4,2,200,0.065,0.23636363636363636
4,3,10,0.1,0.006993006993006993
4,3,25,0.24,0.04195804195804196
4,3,50,0.36,0.1258741258741259
4,3,100,0.27,0.1888111888111888
4,3,200,0.19,0.26573426573426573
4,4,10,0.2,0.015503875968992248
4,4,25,0.08,0.015503875968992248
4,4,50,0.04,0.015503875968992248
4,4,100,0.07,0.05426356589147287
4,4,200,0.075,0.11627906976744186
5,0,10,0.1,0.011904761904761904
5,0,25,0.04,0.011904761904761904
5,0,50,0.04,0.023809523809523808
5,0,100,0.02,0.023809523809523808
5,0,200,0.01,0.023809523809523808
5,1,10,0.0,0.0
5,1,25,0.0,0.0
5,1,50,0.06,0.04225352112676056
5,1,100,0.03,0.04225352112676056
