window,client,budget,precision,recall
1,0,10,0.0,0.0
1,0,25,0.0,0.0
1,0,50,0.0,0.0
1,0,100,0.0,0.0
1,0,200,0.0,0.0
1,1,10,0.0,0.0
1,1,25,0.0,0.0
1,1,50,0.0,0.0
1,1,100,0.0,0.0
1,1,200,0.0,0.0
1,2,10,0.0,0.0
1,2,25,0.0,0.0
1,2,50,0.0,0.0
1,2,100,0.0,0.0
1,2,200,0.0,0.0
1,3,10,0.0,0.0
1,3,25,0.0,0.0
1,3,50,0.0,0.0
1,3,100,0.0,0.0
1,3,200,0.0,0.0
1,4,10,0.0,0.0
1,4,25,0.0,0.0
1,4,50,0.0,0.0
1,4,100,0.0,0.0
1,4,200,0.0,0.0
2,0,10,0.0,0.0
2,0,25,0.0,0.0
2,0,50,0.0,0.0
2,0,100,0.0,0.0
2,0,200,0.0,0.0
2,1,10,0.0,0.0
2,1,25,0.0,0.0
2,1,50,0.0,0.0
2,1,100,0.01,0.021739130434782608
2,1,200,0.005,0.021739130434782608
2,2,10,0.0,0.0
2,2,25,0.08,0.017391304347826087
2,2,50,0.06,0.02608695652173913
2,2,100,0.04,0.034782608695652174
2,2,200,0.02,0.034782608695652174
2,3,10,0.3,0.02142857142857143
2,3,25,0.12,0.02142857142857143
2,3,50,0.2,0.07142857142857142
2,3,100,0.17,0.12142857142857143
2,3,200,0.225,0.32142857142857145
2,4,10,0.0,0.0
2,4,25,0.0,0.0
2,4,50,0.0,0.0
2,4,100,0.0,0.0
2,4,200,0.0,0.0
3,0,10,0.0,0.0
3,0,25,0.0,0.0
3,0,50,0.0,0.0
3,0,100,0.0,0.0
3,0,200,0.0,0.0
3,1,10,0.1,0.015384615384615385
3,1,25,0.04,0.015384615384615385
3,1,50,0.02,0.015384615384615385
3,1,100,0.01,0.015384615384615385
3,1,200,0.015,0.046153846153846156
3,2,10,0.0,0.0
3,2,25,0.12,0.02702702702702703
3,2,50,0.16,0.07207207207207207
3,2,100,0.1,0.09009009009009009
3,2,200,0.08,0.14414414414414414
3,3,10,0.4,0.031496062992125984
3,3,25,0.28,0.05511811023622047
3,3,50,0.18,0.07086614173228346
3,3,100,0.21,0.16535433070866143
3,3,200,0.185,0.29133858267716534
3,4,10,0.0,0.0
3,4,25,0.0,0.0
3,4,50,0.0,0.0
3,4,100,0.0,0.0
3,4,200,0.0,0.0
4,0,10,0.1,0.014285714285714285
4,0,25,0.08,0.02857142857142857
4,0,50,0.06,0.04285714285714286
4,0,100,0.04,0.05714285714285714
4,0,200,0.025,0.07142857142857142
4,1,10,0.0,0.0
4,1,25,0.04,0.016129032258064516
4,1,50,0.06,0.04838709677419355
4,1,100,0.03,0.04838709677419355
4,1,200,0.03,0.0967741935483871
4,2,10,0.5,0.03496503496503497
4,2,25,0.32,0.055944055944055944
4,2,50,0.22,0.07692307692307693
4,2,100,0.16,0.11188811188811189
4,2,200,0.095,0.13286713286713286
4,3,10,0.3,0.02027027027027027
4,3,25,0.24,0.04054054054054054
4,3,50,0.26,0.08783783783783784
4,3,100,0.22,0.14864864864864866
4,3,200,0.16,0.21621621621621623
4,4,10,0.0,0.0
4,4,25,0.0,0.0
4,4,50,0.0,0.0
4,4,100,0.0,0.0
4,4,200,0.0,0.0
5,0,10,0.1,0.01282051282051282
5,0,25,0.08,0.02564102564102564
5,0,50,0.04,0.02564102564102564
5,0,100,0.03,0.038461538461538464
5,0,200,0.015,0.038461538461538464
5,1,10,0.3,0.03614457831325301
5,1,25,0.12,0.03614457831325301
5,1,50,0.06,0.03614457831325301
5,1,100,0.03,0.03614457831325301
5,1,200,0.015,0.03614457831325301
