window,client,purity,nmi,ari,named_purity,named_nmi,named_ari,cosine_gap,confirmed_positives
1,2,0.9354838709677419,0.09014979532540368,-0.014399416280125976,1.0,1.0,1.0,-0.020893454551696777,31
1,3,0.625,0.42857142857142855,-0.14285714285714285,0.75,0.7020168761809934,0.3333333333333333,-0.11149322986602783,8
1,4,0.5714285714285714,0.14504676922792736,-0.18961839298411945,0.5,0.0,0.0,-0.03141045570373535,28
2,1,0.45454545454545453,0.28508621628199504,-0.008188976377952756,0.38461538461538464,0.23940180802646102,-0.037383177570093455,-0.02941793203353882,22
2,2,0.8875,0.07647307272470939,-0.014259815498808701,0.6666666666666666,0.22653349442871878,0.07692307692307693,-0.04739946126937866,80
2,3,0.48148148148148145,0.270011541069964,-0.023622047244094488,0.4666666666666667,0.26491738385228947,-0.021003500583430573,-0.034420013427734375,27
2,4,0.6904761904761905,0.21819169168771965,0.05940000975140873,0.4444444444444444,0.02716823712721289,-0.04228161148783406,-0.04708641767501831,84
3,1,0.5686274509803921,0.2889733263352722,0.09206988422202851,0.39285714285714285,0.2235156976633069,0.0582010582010582,-0.028432071208953857,51
3,2,0.8506493506493507,0.0836135518591586,-0.051109597752421985,0.391304347826087,0.15048724449472553,-0.04471448796602171,-0.02840244770050049,154
3,3,0.4594594594594595,0.2784420700123185,0.02634954755053219,0.4166666666666667,0.24553828005949144,0.0347604917337855,-0.018560588359832764,37
3,4,0.7134502923976608,0.1406954342594994,-0.08891930958170965,0.5102040816326531,0.03917884100631756,-0.010556952253784125,-0.019704103469848633,171
4,1,0.47560975609756095,0.1879094193655893,0.01719723099007989,0.4,0.13177010974859524,0.0042242791248862975,-0.0216711163520813,82
4,2,0.8434782608695652,0.07110495083765893,-0.06390521400768896,0.3888888888888889,0.12630732106922551,-0.0329798663988415,-0.023578286170959473,230
4,3,0.4383561643835616,0.26623216761641133,0.12209185261115484,0.41818181818181815,0.21550298814592678,0.13805358196093362,-0.008110880851745605,73
4,4,0.7103174603174603,0.14235317393575642,-0.01066758294044593,0.5205479452054794,0.12937173903195998,0.055530992083543874,-0.012932896614074707,252
5,0,0.5,0.4045961397514158,0.05891354246365723,0.5714285714285714,0.38149140046966046,0.03134240094618569,-0.004458606243133545,16
5,1,0.36134453781512604,0.1211318830069283,0.01990937320634581,0.358974358974359,0.13569620075452093,0.041442605739148035,-0.01267850399017334,119
5,2,0.8312883435582822,0.14438830259939714,0.09105016853397342,0.43636363636363634,0.15251733273095566,0.005011874002389144,-0.026060819625854492,326
5,3,0.43859649122807015,0.2760559877794569,0.14104920541196886,0.45348837209302323,0.2527448209243721,0.17859407183051862,-9.78708267211914e-05,114
5,4,0.708092485549133,0.09660480672487215,-0.03288475071388165,0.5445544554455446,0.13710898035627778,0.15460666364792922,-0.010663866996765137,346
6,0,0.4,0.25320131722222655,0.033200122963418385,0.43333333333333335,0.24709861488024173,0.021164021164021163,-0.000732123851776123,35
6,1,0.3473053892215569,0.07726508296248312,0.015229981774782792,0.35398230088495575,0.08926875071479815,0.025186502900305722,-0.011978566646575928,167
6,2,0.8085106382978723,0.13264717759982972,0.08540737084295563,0.41975308641975306,0.14689185906707286,0.02143059892137383,-0.014786839485168457,423
6,3,0.3181818181818182,0.15419405925001206,0.09177602609517245,0.38848920863309355,0.19135272706806977,0.13926116344633097,0.012355446815490723,176
6,4,0.7531645569620253,0.12829058533795704,0.11059185587388475,0.5241935483870968,0.1339655963371352,0.09443155172063827,-0.008504033088684082,474
7,0,0.42857142857142855,0.13621554705604122,0.05040720102871839,0.4852941176470588,0.12823677338076214,0.06024061937739583,0.008144140243530273,77
7,1,0.33771929824561403,0.0918546615227971,0.03936657991404685,0.3765432098765432,0.11268566003734558,0.053519245005792256,-0.0060346126556396484,228
7,2,0.7942857142857143,0.10037026712099191,0.07004069105096714,0.4166666666666667,0.13734241733509195,0.02555918223237191,-0.022352516651153564,525
7,3,0.376,0.1883995322464323,0.13365084612719655,0.45454545454545453,0.22390755573407886,0.18512297457111768,0.016445636749267578,250
7,4,0.7326565143824028,0.1131428034584562,0.10611279640893648,0.48214285714285715,0.13158531541786922,0.08372350304823531,-0.013615429401397705,591
8,0,0.48739495798319327,0.10901444000207554,0.026091203828834036,0.5420560747663551,0.08643248390608989,0.02116732433738904,0.009114325046539307,119
8,1,0.30333333333333334,0.06563063194073536,0.018056359648920765,0.36486486486486486,0.06831382635123,0.00725111809493599,-0.003703176975250244,300
8,2,0.7800632911392406,0.11213925668295695,0.039039400950522704,0.39568345323741005,0.07773669849899915,0.004788337701453575,-0.022340357303619385,632
8,3,0.3507692307692308,0.14456574413306966,0.09595038028105489,0.41044776119402987,0.16588263295854128,0.12459514474375333,0.017982423305511475,325
8,4,0.7077562326869806,0.1573206415606675,0.10060096859957221,0.4834123222748815,0.10142139947166239,0.015308931480951785,-0.008214771747589111,722
9,0,0.4720496894409938,0.08154217494763959,0.025485614001992625,0.5205479452054794,0.08308682823762956,0.03046310308304119,0.009971857070922852,161
9,1,0.3002680965147453,0.04213697348048134,0.010767577326643437,0.3892857142857143,0.0430681325039253,-0.0005276969700331241,-0.0007098913192749023,373
9,2,0.767379679144385,0.1271895334923117,0.054603903697450454,0.40229885057471265,0.09521190632633095,0.022618275882574788,-0.026971638202667236,748
9,3,0.3333333333333333,0.12211486266478042,0.08427852159995568,0.41964285714285715,0.14896756198747055,0.11879510744103326,0.01124197244644165,423
9,4,0.6953955135773318,0.1490995437414882,0.08762208777314677,0.44573643410852715,0.07410043764488944,-0.007395946460635529,-0.014444947242736816,847
