window,client,auprc,ap_lift,p_at_budget,positives,transactions,prevalence
0,0,8.806628588954212e-05,0.8511187167958105,0.0,21,202955,0.00010347121283043039
0,1,0.0013254280055485868,1.51107362210161,0.04,232,264495,0.0008771432352218378
0,2,9.774955150978947e-05,0.9869167099672191,0.0,21,212024,9.904539108780138e-05
0,3,5.453093365775494e-05,0.868681668234726,0.0,14,223021,6.27743575717085e-05
0,4,0.00022705170353373515,2.5383304947002223,0.0,19,212411,8.944922814731817e-05
1,0,0.03758782581671179,178.95007014657716,0.02,27,128543,0.0002100464436025299
1,1,0.0008053639961252809,0.6829280183553632,0.0,234,198426,0.001179280941005715
1,2,0.00024042984187938197,0.9771846635231223,0.0,34,138187,0.0002460434049512617
1,3,0.0002526792464525505,1.003934542879107,0.0,38,150980,0.0002516889654258842
1,4,0.0005603513055072476,1.5814143058098111,0.0,49,138287,0.00035433554853312317
2,0,0.03139959831211707,26.736757962767683,0.08,40,34060,0.0011743981209630064
2,1,0.0032710576090503535,0.9395813277765945,0.0,191,54863,0.00348139912144797
2,2,0.01088134145674602,9.19284112374052,0.04,46,38862,0.001183675569965519
2,3,0.015888671480549007,20.68506418373974,0.04,32,41660,0.0007681228996639462
2,4,0.011901057183387959,13.262328106511363,0.02,34,37889,0.0008973580722637177
3,0,0.036060049964244785,18.139796016572376,0.08,68,34207,0.001987897214020522
3,1,0.04649105834303632,12.422912163417907,0.1,204,54511,0.0037423639265469354
3,2,0.006383891142704774,4.75452569566674,0.04,52,38728,0.0013426977897128692
3,3,0.005453652647760133,12.06175745074612,0.0,19,42022,0.0004521441149873876
3,4,0.03538547243440442,31.222330456598563,0.1,43,37941,0.0011333386046756806
4,0,0.00792451660069422,8.526994038471322,0.02,74,79626,0.0009293446864089619
4,1,0.08691793453466963,46.9593234175281,0.34,239,129125,0.0018509196515004841
4,2,0.003643760772270846,9.20830400878161,0.0,35,88450,0.00039570378745053703
4,3,0.004523934907598166,14.581697792000664,0.0,30,96697,0.00031024747406848194
4,4,0.03113474386942247,54.15613977757779,0.08,51,88710,0.0005749070003381806
5,0,0.029015077068212738,28.290053983910692,0.1,82,79951,0.0010256281972708284
5,1,0.14402118390665564,74.7678167873962,0.58,249,129267,0.001926245677551115
5,2,0.012119048455048851,23.67200269115298,0.02,45,87898,0.0005119570411158388
5,3,0.03320298520319728,36.83661304365293,0.08,87,96521,0.0009013582536442846
5,4,0.03446318158970616,37.18072954286519,0.1,82,88466,0.0009269097732462189
6,0,0.007817607665242894,7.638565382373064,0.04,82,80122,0.0010234392551359177
6,1,0.08542607985213546,54.09355253460443,0.36,204,129177,0.001579228500429643
6,2,0.009143154541450057,14.684072432742273,0.04,55,88331,0.0006226579570026378
6,3,0.016283866953689146,15.346200789588853,0.06,103,97069,0.0010611008663940083
6,4,0.012330351539225856,15.513167567258312,0.02,70,88069,0.0007948313254380089
7,0,0.012675901204967479,12.171919590794072,0.04,83,79700,0.001041405269761606
7,1,0.08982706263699163,39.90444206877617,0.36,292,129717,0.0022510542180284774
7,2,0.040522393599349206,68.6916913652968,0.08,52,88148,0.0005899169578436266
7,3,0.015702089318331024,18.119276425180292,0.02,84,96931,0.0008665958258967719
7,4,0.047827066847164555,54.159247864224405,0.1,78,88327,0.0008830821832508746
8,0,0.006307708313686046,8.286028265857297,0.02,85,111659,0.0007612462945217135
8,1,0.04218809886629792,27.70703393044116,0.22,260,170755,0.0015226494099733537
8,2,0.02827003813744466,58.61938632134344,0.1,58,120266,0.0004822643141037367
8,3,0.012596299021016633,20.850382709889647,0.08,79,130767,0.000604127952770959
8,4,0.006399298101208297,11.737282308237413,0.04,66,121054,0.0005452112280469873
9,0,0.03973829561766407,17.685089795144318,0.14,77,34268,0.0022469942803781955
9,1,0.09773248812346799,26.34992440822972,0.26,204,55001,0.0037090234723005035
9,2,0.025734063878890445,20.89069860635094,0.02,48,38966,0.0012318431453061643
9,3,0.02624414886811841,12.8306423158144,0.02,86,42045,0.0020454275181353314
9,4,0.05638600007855146,33.55143210924058,0.1,64,38082,0.001680584002941022
