window,client,auprc,ap_lift,p_at_budget,positives,transactions,prevalence
0,0,0.00021107222752624093,0.8152905484600866,0.0,57,220169,0.00025889203293833374
0,1,0.00017666286587195412,0.9457352086345276,0.0,39,208780,0.00018679950186799502
0,2,0.0002323290685261542,0.6389680401692398,0.0,81,222772,0.0003636004524805631
0,3,4.347372317962231e-05,0.722717206535698,0.0,13,216115,6.01531591976494e-05
0,4,0.006126255996160095,13.0483443337524,0.02,116,247069,0.00046950447041109976
1,0,0.0004968094809113494,0.857805114192166,0.0,86,148490,0.0005791635800390599
1,1,0.0005654099811011244,1.0939875405762327,0.0,70,135440,0.0005168340224453633
1,2,0.0011769168930697723,1.8633567681024354,0.0,95,150409,0.0006316111402908071
1,3,0.00012809716416249163,0.7615803400007335,0.0,24,142688,0.00016819914779098454
1,4,0.003742007871210284,5.67397135384557,0.0,117,177406,0.0006595041881334341
2,0,0.001975036520701611,1.2311266712010949,0.0,64,39894,0.0016042512658545145
2,1,0.006533701546781075,4.922677422531913,0.0,49,36918,0.0013272658323852863
2,2,0.07857842535011453,37.34528958429364,0.12,88,41823,0.0021041053965521364
2,3,0.0005267401643794291,0.7424966981389887,0.0,28,39469,0.0007094175175454154
2,4,0.15722577813614266,67.30767202974296,0.32,115,49231,0.002335926550344295
3,0,0.01712114152783039,9.484874612785704,0.02,72,39887,0.0018050994058214456
3,1,0.03068573785878692,17.38653907078867,0.04,65,36829,0.0017649135192375574
3,2,0.0989363165002885,52.183271340936976,0.2,79,41668,0.001895939329941442
3,3,0.0019064976467322555,1.1775601871144696,0.0,64,39530,0.0016190235264356184
3,4,0.051942853546142316,24.484377080121597,0.16,105,49494,0.0021214692690023035
4,0,0.008150302943922157,10.177772304252233,0.0,75,93657,0.0008007943880329287
4,1,0.06714939471749942,78.14349835672618,0.14,73,84952,0.0008593087861380544
4,2,0.05840010471922692,57.11471251535626,0.18,99,96821,0.0010225054481982215
4,3,0.00922840825425081,9.90121350074013,0.06,85,91197,0.0009320482033400221
4,4,0.016958163347567966,20.06981327936355,0.02,98,115982,0.0008449587004880067
5,0,0.026475163281467436,18.903468683450814,0.06,131,93535,0.0014005452504410115
5,1,0.06972253949152041,68.46593096367323,0.22,87,85432,0.0010183537784436746
5,2,0.14457971749579782,121.25963767119299,0.34,115,96451,0.001192315268893013
5,3,0.016172599518039666,15.968859921937407,0.08,92,90841,0.0010127585561585627
5,4,0.061964391743567285,55.221712623532646,0.22,130,115854,0.0011221019559100247
6,0,0.01784405221242542,12.63774810638656,0.02,133,94195,0.0014119645416423377
6,1,0.03195075032961406,38.348100564625234,0.06,71,85216,0.0008331768681937665
6,2,0.08078048885716135,80.42322257139102,0.18,97,96571,0.0010044423274067785
6,3,0.008810670606659514,9.523390925376791,0.04,84,90795,0.0009251610771518256
6,4,0.021803214427468548,18.734129362541253,0.06,135,115997,0.001163823202324198
7,0,0.019894850276825873,14.323373975455699,0.02,130,93594,0.0013889779259354232
7,1,0.04361430393753092,39.2179821006278,0.1,95,85424,0.001112099644128114
7,2,0.07105660570206852,58.64417059660804,0.22,117,96562,0.0012116567593877508
7,3,0.008175776072094677,8.86731046485935,0.0,84,91105,0.0009220130618517096
7,4,0.09818992022199134,77.56469330624543,0.32,147,116122,0.0012659099912161347
8,0,0.010177506394225403,9.288237750417906,0.1,141,128680,0.001095741373950886
8,1,0.016174725163559063,23.42878986746783,0.08,81,117327,0.0006903781738218824
8,2,0.055226529862955856,69.88836927171826,0.22,103,130345,0.0007902105949595305
8,3,0.013267230440170813,21.632742939163254,0.06,76,123921,0.0006132939534057989
8,4,0.04046156897122397,42.164508924749335,0.14,148,154229,0.0009596120055242529
9,0,0.028427294715326387,10.019623938215172,0.06,114,40181,0.0028371618426619545
9,1,0.027817430186493637,14.37002081050617,0.06,72,37194,0.0019357960961445394
9,2,0.09727233334010607,41.00807028952192,0.18,100,42158,0.0023720290336353717
9,3,0.04329315968854743,22.301599727873167,0.08,77,39665,0.001941258036051935
9,4,0.14029642108139645,65.6760950991798,0.26,105,49153,0.0021361870079140643
