window,client,auprc,ap_lift,p_at_budget,positives,transactions,prevalence
0,0,7.547485847375517e-05,0.63801728175058,0.0,24,202881,0.00011829594688511985
0,1,0.00017869152726837718,1.7699565958339682,0.0,21,208007,0.00010095814083179893
0,2,0.009793053909005247,21.189395404883037,0.02,113,244500,0.0004621676891615542
0,3,0.0015349674703430155,2.7031550157941395,0.0,139,244786,0.0005678429321938346
0,4,3.882530355556366e-05,0.694759394475034,0.0,12,214734,5.5883092570342844e-05
1,0,0.00019120238736396736,0.6681903322519749,0.0,37,129303,0.00028614958662985393
1,1,0.00017371627736999056,0.8972378912207177,0.0,26,134289,0.0001936122839547543
1,2,0.001272408468182732,1.5013992941848795,0.0,149,175815,0.0008474817279526775
1,3,0.0017145806519499032,2.218074824721398,0.0,136,175937,0.0007730039730130672
1,4,0.00017577523732456755,0.8429574260578244,0.0,29,139074,0.00020852208176941773
2,0,0.0012565154900864004,0.9639758382581031,0.0,44,33756,0.00130347197535253
2,1,0.0029775185825013572,2.386092771885816,0.0,46,36863,0.0012478637115807178
2,2,0.009211576944738356,4.199029116355685,0.04,108,49231,0.0021937397168450773
2,3,0.09729876055970212,36.063456395120866,0.2,133,49296,0.0026979876663420967
2,4,0.0007495044288783253,1.3013440988315579,0.0,22,38198,0.0005759463846274674
3,0,0.0022696545622156537,1.7540818951850752,0.0,44,34005,0.0012939273636229966
3,1,0.009070481252670423,5.111844142274198,0.02,65,36632,0.0017744048918977944
3,2,0.04035531885497972,20.301196117862247,0.14,98,49300,0.0019878296146044624
3,3,0.11371930119689062,46.343458220262846,0.18,120,48903,0.0024538371879025828
3,4,0.0015783505711162325,1.5211353629132691,0.0,40,38550,0.0010376134889753567
4,0,0.004023584411637589,7.691273202102948,0.02,42,80285,0.000523136326835648
4,1,0.002769718379641596,3.7779405427082278,0.0,62,84569,0.0007331291608036042
4,2,0.04085417558199328,36.30796092711333,0.18,129,114645,0.001125212612848358
4,3,0.05601888373462339,44.96186068311618,0.16,142,113972,0.0012459200505387288
4,4,0.0008774598518728578,1.5642125795396686,0.0,50,89133,0.0005609594650690541
5,0,0.006605567070293682,5.640170470169272,0.04,94,80262,0.0011711644364705588
5,1,0.011342984155266012,11.560004141272788,0.06,83,84588,0.0009812266515344967
5,2,0.10586946833850003,77.36750724054923,0.36,156,114002,0.0013683970456658655
5,3,0.12605301146594663,87.5169149057749,0.34,164,113863,0.0014403274110114787
5,4,0.0048312249304909285,8.637263930731683,0.02,50,89390,0.0005593466830741693
6,0,0.01625601564158367,12.974392840432685,0.04,101,80611,0.0012529307414620833
6,1,0.00743551368601709,7.682517823586731,0.0,82,84724,0.0009678485435059723
6,2,0.022077762202666558,18.439121379498616,0.04,137,114421,0.0011973326574667238
6,3,0.06604351952109272,51.17159718648584,0.22,147,113898,0.0012906284570405099
6,4,0.008287707402302653,14.203696076650195,0.06,52,89119,0.0005834894915786757
7,0,0.023030335261246773,23.58394908964213,0.04,78,79875,0.0009765258215962442
7,1,0.027620535675131792,20.319107114053477,0.12,115,84600,0.001359338061465721
7,2,0.05913874245424103,45.70625619517504,0.16,148,114384,0.0012938872569590153
7,3,0.10260104502497867,57.72395443969354,0.3,203,114209,0.001777443108686706
7,4,0.00505688520842091,10.08623848626264,0.0,45,89755,0.0005013648264720628
8,0,0.015732480979789302,20.04657755391766,0.04,88,112131,0.0007847963542642088
8,1,0.004826898886144936,8.401469662769612,0.04,67,116617,0.0005745303000420179
8,2,0.018694790704372858,21.23100413881162,0.06,134,152179,0.0008805419933105094
8,3,0.08858153787213385,64.96878097239242,0.32,207,151821,0.0013634477443831882
8,4,0.00383099965037499,7.906144363214556,0.04,59,121760,0.0004845597897503285
9,0,0.0413566197438575,16.51716067839853,0.04,86,34347,0.00250385768771654
9,1,0.06150673837998581,33.50832026280391,0.08,67,36501,0.0018355661488726337
9,2,0.11407963066351527,47.9917537776912,0.26,118,49641,0.0023770673435265202
9,3,0.11470553766498663,36.73351130046634,0.32,153,48997,0.0031226401616425495
9,4,0.021978512064456657,14.99088757968326,0.04,57,38878,0.0014661248006584702
