condition,reference,comparison,metric,seed,difference
control,fedtypo,fedavg,auprc,42,0.00788797996907652
control,fedtypo,fedavg,auprc,43,0.00782978376417592
control,fedtypo,fedavg,auprc,44,0.00520427147398562
control,fedtypo,fedavg,auprc,45,0.00849132374140146
control,fedtypo,fedavg,auprc,46,0.0071259162247718
control,fedtypo,fedavg,auprc,47,0.004628473356128699
control,fedtypo,fedavg,auprc,48,0.009947846396267838
control,fedtypo,fedavg,auprc,49,0.008651713071565481
control,fedtypo,fedavg,auprc,50,0.007154727822199079
control,fedtypo,fedavg,auprc,51,0.00633957561203186
control,fedtypo,fedtypo_noreg,auprc,42,0.00784723258898034
control,fedtypo,fedtypo_noreg,auprc,43,0.00783035914116968
control,fedtypo,fedtypo_noreg,auprc,44,0.00515475388046774
control,fedtypo,fedtypo_noreg,auprc,45,0.008421621586599239
control,fedtypo,fedtypo_noreg,auprc,46,0.0070623049278882594
control,fedtypo,fedtypo_noreg,auprc,47,0.004609614517648379
control,fedtypo,fedtypo_noreg,auprc,48,0.009939651019246999
control,fedtypo,fedtypo_noreg,auprc,49,0.0086470914399836
control,fedtypo,fedtypo_noreg,auprc,50,0.007165929443001479
control,fedtypo,fedtypo_noreg,auprc,51,0.0062911985018239604
drift,fedtypo,fedavg,auprc,42,0.00822475948420026
drift,fedtypo,fedavg,auprc,43,0.00795452129054364
drift,fedtypo,fedavg,auprc,44,0.0055019577877972806
drift,fedtypo,fedavg,auprc,45,0.00799658335881516
drift,fedtypo,fedavg,auprc,46,0.007088988366438538
drift,fedtypo,fedavg,auprc,47,0.00504288212303954
drift,fedtypo,fedavg,auprc,48,0.00624857325346902
drift,fedtypo,fedavg,auprc,49,0.007662838272976841
drift,fedtypo,fedavg,auprc,50,0.0064800877288861206
drift,fedtypo,fedavg,auprc,51,0.00768370891849182
drift,fedtypo,fedtypo_noreg,auprc,42,0.0081537618873135
drift,fedtypo,fedtypo_noreg,auprc,43,0.00794823159717178
drift,fedtypo,fedtypo_noreg,auprc,44,0.00548697557402218
drift,fedtypo,fedtypo_noreg,auprc,45,0.00793338239560056
drift,fedtypo,fedtypo_noreg,auprc,46,0.007057092989156119
drift,fedtypo,fedtypo_noreg,auprc,47,0.00505503682414894
drift,fedtypo,fedtypo_noreg,auprc,48,0.006269681943708661
drift,fedtypo,fedtypo_noreg,auprc,49,0.007655390126154881
drift,fedtypo,fedtypo_noreg,auprc,50,0.006488165698393021
drift,fedtypo,fedtypo_noreg,auprc,51,0.00761336988084642
