window,client,budget,precision,recall
1,0,10,0.1,0.007874015748031496
1,0,25,0.04,0.007874015748031496
1,0,50,0.02,0.007874015748031496
1,0,100,0.01,0.007874015748031496
1,0,200,0.005,0.007874015748031496
1,1,10,0.0,0.0
1,1,25,0.0,0.0
1,1,50,0.0,0.0
1,1,100,0.0,0.0
1,1,200,0.005,0.011235955056179775
1,2,10,0.0,0.0
1,2,25,0.0,0.0
1,2,50,0.0,0.0
1,2,100,0.0,0.0
1,2,200,0.0,0.0
1,3,10,0.1,0.020833333333333332
1,3,25,0.04,0.020833333333333332
1,3,50,0.02,0.020833333333333332
1,3,100,0.01,0.020833333333333332
1,3,200,0.005,0.020833333333333332
1,4,10,0.0,0.0
1,4,25,0.0,0.0
1,4,50,0.0,0.0
1,4,100,0.0,0.0
1,4,200,0.0,0.0
2,0,10,0.0,0.0
2,0,25,0.0,0.0
2,0,50,0.0,0.0
2,0,100,0.0,0.0
2,0,200,0.0,0.0
2,1,10,0.0,0.0
2,1,25,0.0,0.0
2,1,50,0.0,0.0
2,1,100,0.0,0.0
2,1,200,0.0,0.0
2,2,10,0.0,0.0
2,2,25,0.04,0.01818181818181818
2,2,50,0.02,0.01818181818181818
2,2,100,0.01,0.01818181818181818
2,2,200,0.005,0.01818181818181818
2,3,10,0.0,0.0
2,3,25,0.0,0.0
2,3,50,0.0,0.0
2,3,100,0.0,0.0
2,3,200,0.0,0.0
2,4,10,0.1,0.011111111111111112
2,4,25,0.04,0.011111111111111112
2,4,50,0.02,0.011111111111111112
2,4,100,0.01,0.011111111111111112
2,4,200,0.005,0.011111111111111112
3,0,10,0.0,0.0
3,0,25,0.0,0.0
3,0,50,0.0,0.0
3,0,100,0.01,0.006944444444444444
3,0,200,0.005,0.006944444444444444
3,1,10,0.0,0.0
3,1,25,0.0,0.0
3,1,50,0.0,0.0
3,1,100,0.0,0.0
3,1,200,0.0,0.0
3,2,10,0.0,0.0
3,2,25,0.04,0.0196078431372549
3,2,50,0.02,0.0196078431372549
3,2,100,0.02,0.0392156862745098
3,2,200,0.01,0.0392156862745098
3,3,10,0.0,0.0
3,3,25,0.0,0.0
3,3,50,0.0,0.0
3,3,100,0.0,0.0
3,3,200,0.0,0.0
3,4,10,0.0,0.0
3,4,25,0.0,0.0
3,4,50,0.0,0.0
3,4,100,0.0,0.0
