window,client,auprc,ap_lift,p_at_budget,positives,transactions,prevalence
0,0,0.006982721361241754,3.541373051417624,0.02,191,96868,0.001971755378453153
0,1,0.004379350511613856,2.734002763515168,0.02,170,106130,0.0016018091020446623
0,2,0.0007133003813965456,0.8179119714779463,0.0,82,94026,0.0008720992066024292
0,3,0.0032092346044988243,8.04918265579417,0.0,38,95309,0.0003987031654932902
0,4,0.0005569833351787875,0.8229471622138523,0.0,65,96038,0.0006768154272267227
1,0,0.0024635635163165895,1.9556426729210497,0.02,127,100816,0.0012597206792572607
1,1,0.0009546826821638077,1.1442998256762755,0.0,89,106677,0.0008342941777515304
1,2,0.00042653825135336137,0.762373933442081,0.0,54,96517,0.0005594869297636686
1,3,0.008865418268494926,18.057010050784893,0.02,48,97766,0.0004909682302641
1,4,0.0003401767759852718,0.9322166571680834,0.0,36,98654,0.0003649117116386563
2,0,0.0011179895303309653,0.6147027628121953,0.0,181,99519,0.001818748178739738
2,1,0.0015224636927300664,1.196031570671652,0.0,134,105269,0.0012729293524209406
2,2,0.0021586162380419355,3.906231944360686,0.02,55,99528,0.0005526083112290009
2,3,0.0013477579454193207,1.9760545374674858,0.0,67,98234,0.0006820449131665207
2,4,0.005437139978421644,6.345806894148755,0.02,90,105041,0.0008568082939042849
3,0,0.0015812380638687332,1.0637779074676903,0.0,144,96876,0.0014864362690449647
3,1,0.0030111602140965644,2.5082723690607254,0.0,125,104124,0.001200491721409089
3,2,0.003529858337924274,6.630665855519282,0.02,51,95801,0.0005323535244934813
3,3,0.002568980643911371,2.5282212499837464,0.0,97,95461,0.0010161217670043264
3,4,0.0011167013557177373,1.2565428209451175,0.0,88,99020,0.0008887093516461321
4,0,0.020663698851758016,20.14238324929795,0.04,105,102351,0.0010258815253392736
4,1,0.00344153209851534,2.975909731153912,0.02,122,105494,0.001156463874722733
4,2,0.001924960707066342,3.955714046325205,0.0,48,98638,0.0004866278716113465
4,3,0.0031478190968069397,3.5386358272902676,0.02,84,94429,0.0008895572334770039
4,4,0.0017208276659368238,1.6995410277091851,0.0,100,98763,0.0010125249334264857
5,0,0.005116964063584556,2.6472285572437806,0.04,195,100882,0.001932951368926072
5,1,0.003797151348344914,2.533784849731299,0.0,154,102762,0.00149860843502462
