typ,positives,captured,capture_rate,mean_score
0,932,2,0.002145922746781116,0.37579346
1,1334,193,0.1446776611694153,0.3898914
2,345,18,0.05217391304347826,0.37907887
3,1870,5,0.00267379679144385,0.37627864
4,394,8,0.02030456852791878,0.3831114
5,656,3,0.004573170731707317,0.362519
6,529,3,0.005671077504725898,0.37585357
7,338,1,0.0029585798816568047,0.36550358
8,382,1,0.002617801047120419,0.35123786
9,364,1,0.0027472527472527475,0.37438726
10,506,5,0.009881422924901186,0.37910396
11,54,3,0.05555555555555555,0.31820324
12,945,6,0.006349206349206349,0.37889132
13,250,6,0.024,0.3529732
14,383,9,0.02349869451697128,0.3582573
15,354,4,0.011299435028248588,0.37432623
16,237,8,0.03375527426160337,0.39818966
