window,auprc,ap_lift,p_at_budget,positive_clients,total_clients,positives,transactions,prevalence
1,0.006355009488811386,11.851029378792607,0.024,5,5,354,500430,0.0007073916431868593
2,0.034304593047316936,24.96156076439126,0.11200000000000002,5,5,527,507591,0.0010382374785998963
3,0.008534810025178776,6.967068271023857,0.044,5,5,505,491282,0.001027922863039965
4,0.0038241578499630226,4.267484381948427,0.016,5,5,459,499675,0.0009185970881072697
5,0.005323855761172548,4.82904881430303,0.008,5,5,545,497384,0.0010957328743988548
6,0.00956002128594994,10.332569446892123,0.016,5,5,447,505985,0.0008834253979861063
7,0.009025987189919,9.036027201196793,0.028000000000000004,5,5,663,547205,0.0012116117360038742
8,0.04280401936262017,52.629345248285134,0.096,5,5,515,526706,0.0009777750775574988
9,0.06083309001578877,43.37462229846906,0.1,5,5,549,495320,0.0011083743842364533
10,0.024083709701070637,30.58737869792328,0.04,5,5,433,505142,0.0008571847124174985
11,0.02140546741923331,20.73729872517481,0.044,5,5,596,515249,0.001156722283789003
12,0.061968890366762897,45.10876478553397,0.12000000000000002,5,5,541,498124,0.0010860749532244983
13,0.020777493705824424,23.689750795016742,0.064,5,5,384,505970,0.0007589382769729431
14,0.04927631256290009,41.4517026111844,0.10800000000000001,5,5,639,500366,0.0012770651882821774
15,0.030119116184855958,33.67785453885231,0.076,5,5,496,514226,0.0009645564401644413
16,0.04780454132158658,39.54517062757545,0.11599999999999999,5,5,620,500613,0.0012384816215320017
17,0.04302490757844566,43.206381999653225,0.11200000000000002,5,5,450,491817,0.0009149744722122253
18,0.10040305510006046,77.06098739698207,0.21600000000000003,5,5,604,413396,0.0014610688056972008
