typ,positives,captured,capture_rate,mean_score
0,932,9,0.009656652360515022,0.3933191
1,1334,271,0.20314842578710646,0.44058144
2,345,4,0.011594202898550725,0.42562014
3,1870,5,0.00267379679144385,0.3653709
4,394,3,0.007614213197969543,0.38516724
5,656,3,0.004573170731707317,0.3818478
6,529,3,0.005671077504725898,0.38682258
7,338,1,0.0029585798816568047,0.35498476
8,382,2,0.005235602094240838,0.33664724
9,364,1,0.0027472527472527475,0.36114398
10,506,4,0.007905138339920948,0.37278116
11,54,3,0.05555555555555555,0.35557786
12,945,5,0.005291005291005291,0.3877349
13,250,8,0.032,0.39085552
14,383,8,0.020887728459530026,0.38807917
15,354,0,0.0,0.37563276
16,237,8,0.03375527426160337,0.386161
