typ,positives,captured,capture_rate,mean_score
0,932,2,0.002145922746781116,0.3823719
1,1334,143,0.10719640179910045,0.39886928
2,345,3,0.008695652173913044,0.3862533
3,1870,3,0.0016042780748663102,0.3790657
4,394,0,0.0,0.39009738
5,656,5,0.007621951219512195,0.3697148
6,529,0,0.0,0.3931767
7,338,1,0.0029585798816568047,0.36798045
8,382,3,0.007853403141361256,0.3463829
9,364,0,0.0,0.3811633
10,506,2,0.003952569169960474,0.37803718
11,54,4,0.07407407407407407,0.35277387
12,945,7,0.007407407407407408,0.38278446
13,250,0,0.0,0.36654416
14,383,3,0.007832898172323759,0.37084454
15,354,2,0.005649717514124294,0.38199082
16,237,5,0.02109704641350211,0.38760135
