window,auprc,ap_lift,p_at_budget,positive_clients,total_clients,positives,transactions,prevalence
1,0.00105475142842512,1.4938345892103677,0.004,5,5,354,500430,0.0007073916431868593
2,0.005850750229952772,12.310690943765174,0.008,5,5,527,507591,0.0010382374785998963
3,0.001563632417092516,1.653013642877788,0.004,5,5,505,491282,0.001027922863039965
4,0.0021456322282803753,2.3922407302022,0.004,5,5,459,499675,0.0009185970881072697
5,0.002406977765515164,2.1851670648742623,0.004,5,5,545,497384,0.0010957328743988548
6,0.0023334793663119693,2.850332389524736,0.004,5,5,447,505985,0.0008834253979861063
7,0.004208509606930057,4.002033593333303,0.004,5,5,663,547205,0.0012116117360038742
8,0.005490225496423728,6.049814520218603,0.008,5,5,515,526706,0.0009777750775574988
9,0.013487739594260667,10.560553597982457,0.04,5,5,549,495320,0.0011083743842364533
10,0.014423728622228021,18.35789017769269,0.008,5,5,433,505142,0.0008571847124174985
11,0.010387152557822578,10.112362960167,0.008,5,5,596,515249,0.001156722283789003
12,0.02947358909553286,36.97758090130928,0.06000000000000001,5,5,541,498124,0.0010860749532244983
13,0.01737751281977056,22.105136595181612,0.044,5,5,384,505970,0.0007589382769729431
14,0.049268427518576366,37.73377125443634,0.10800000000000001,5,5,639,500366,0.0012770651882821774
15,0.018854586299804594,18.084908997950627,0.04,5,5,496,514226,0.0009645564401644413
16,0.02565380409276633,22.658168000285684,0.064,5,5,620,500613,0.0012384816215320017
17,0.03665451086187917,37.9352824303244,0.076,5,5,450,491817,0.0009149744722122253
18,0.08621731378565883,56.64606301386476,0.184,5,5,604,413396,0.0014610688056972008
