window,transactions,positives,prevalence,positive_clients
0,488371,546,0.0011180025021960763,5
1,500430,354,0.0007073916431868593,5
2,507591,527,0.0010382374785998963,5
3,491282,505,0.001027922863039965,5
4,499675,459,0.0009185970881072697,5
5,497384,545,0.0010957328743988548,5
6,505985,447,0.0008834253979861063,5
7,547205,663,0.0012116117360038742,5
8,526706,515,0.0009777750775574988,5
9,495320,549,0.0011083743842364533,5
10,505142,433,0.0008571847124174985,5
11,515249,596,0.001156722283789003,5
12,498124,541,0.0010860749532244983,5
13,505970,384,0.0007589382769729431,5
14,500366,639,0.0012770651882821774,5
15,514226,496,0.0009645564401644413,5
16,500613,620,0.0012384816215320017,5
17,491817,450,0.0009149744722122253,5
18,413396,604,0.0014610688056972008,5
