window,client,purity,nmi,ari,named_purity,named_nmi,named_ari,cosine_gap,confirmed_positives
1,0,0.5535714285714286,0.2534508238005259,0.09274616052450378,0.5535714285714286,0.2534508238005259,0.09274616052450378,0.040645062923431396,56
1,1,0.9333333333333333,0.6983432906420166,0.49743589743589745,0.9333333333333333,0.6983432906420166,0.49743589743589745,0.4747794568538666,15
1,2,0.4583333333333333,0.3577299627258602,0.02399872854418309,0.4583333333333333,0.3577299627258602,0.02399872854418309,0.04209864139556885,24
1,3,0.7,0.4511926401070352,0.047058823529411764,0.7,0.4511926401070352,0.047058823529411764,0.05907928943634033,10
1,4,0.3888888888888889,0.5399791335755265,0.14377959535083942,0.3888888888888889,0.5399791335755265,0.14377959535083942,0.1131739616394043,18
2,0,0.5416666666666666,0.38745656603101536,0.21834984897258952,0.5416666666666666,0.38745656603101536,0.21834984897258952,0.06248736381530762,120
2,1,0.8431372549019608,0.5524380887967876,0.40069519357545247,0.8431372549019608,0.5524380887967876,0.40069519357545247,0.46870285272598267,51
2,2,0.3958333333333333,0.2551767002870184,0.003257689716590223,0.3958333333333333,0.2551767002870184,0.003257689716590223,0.038383424282073975,48
2,3,0.5555555555555556,0.3977579632897906,0.1309350422371104,0.5555555555555556,0.3977579632897906,0.1309350422371104,0.059364378452301025,27
2,4,0.4166666666666667,0.44332521532305197,0.22577519379844962,0.4166666666666667,0.44332521532305197,0.22577519379844962,0.14475774765014648,48
3,0,0.5732758620689655,0.3973324522070545,0.2841366990544326,0.5732758620689655,0.3973324522070545,0.2841366990544326,0.06761133670806885,232
3,1,0.8130081300813008,0.5352645424739692,0.42699866832418854,0.8130081300813008,0.5352645424739692,0.42699866832418854,0.4152623414993286,123
3,2,0.36904761904761907,0.18368253832835557,0.026846646423954543,0.36904761904761907,0.18368253832835557,0.026846646423954543,0.048044681549072266,84
3,3,0.40625,0.330028305442131,0.10999413217010064,0.40625,0.330028305442131,0.10999413217010064,0.0462266206741333,64
3,4,0.36363636363636365,0.3101448876281899,0.18419155638769796,0.36363636363636365,0.3101448876281899,0.18419155638769796,0.0936693549156189,88
4,0,0.5682451253481894,0.37641331446300424,0.2712341166565815,0.5682451253481894,0.37641331446300424,0.2712341166565815,0.061104774475097656,359
4,1,0.78125,0.5094553476161142,0.45863322322140443,0.78125,0.5094553476161142,0.45863322322140443,0.38678234815597534,192
4,2,0.3953488372093023,0.23274606653377888,0.083321980434287,0.3953488372093023,0.23274606653377888,0.083321980434287,0.039848387241363525,129
4,3,0.36936936936936937,0.16145795475146096,0.031865383019903645,0.36936936936936937,0.16145795475146096,0.031865383019903645,0.04661977291107178,111
4,4,0.3805970149253731,0.35314709533613425,0.19308554832912048,0.3805970149253731,0.35314709533613425,0.19308554832912048,0.07416701316833496,134
5,0,0.5635593220338984,0.36240566117892165,0.25935289296090636,0.5635593220338984,0.36240566117892165,0.25935289296090636,0.0628935694694519,472
5,1,0.7824561403508772,0.6081998817743471,0.9073059363948632,0.7824561403508772,0.6081998817743471,0.9073059363948632,0.3924006223678589,285
5,2,0.32620320855614976,0.12465402741650936,0.01021765285941492,0.32620320855614976,0.12465402741650936,0.01021765285941492,0.02776920795440674,187
5,3,0.4161490683229814,0.2235187776638125,0.09818880419662877,0.4161490683229814,0.2235187776638125,0.09818880419662877,0.04037851095199585,161
5,4,0.3422459893048128,0.29980284145820896,0.15545763826205794,0.3422459893048128,0.29980284145820896,0.15545763826205794,0.0648183822631836,187
6,0,0.5626016260162602,0.37954089779852845,0.29067804652656726,0.5626016260162602,0.37954089779852845,0.29067804652656726,0.05872851610183716,615
6,1,0.7506775067750677,0.5072296763232595,0.4685809875090409,0.7506775067750677,0.5072296763232595,0.4685809875090409,0.37271231412887573,369
6,2,0.3359683794466403,0.10926860034671514,0.015305629193989694,0.3359683794466403,0.10926860034671514,0.015305629193989694,0.027034997940063477,253
6,3,0.41116751269035534,0.2163015913513174,0.0890809586335342,0.41116751269035534,0.2163015913513174,0.0890809586335342,0.04043072462081909,197
6,4,0.3487394957983193,0.335403942684219,0.15965234486148117,0.3487394957983193,0.335403942684219,0.15965234486148117,0.06815159320831299,238
7,0,0.5569948186528497,0.3557022565338647,0.277296004713845,0.5569948186528497,0.3557022565338647,0.277296004713845,0.06512415409088135,772
7,1,0.7478632478632479,0.527196898890189,0.43934085282784907,0.7478632478632479,0.527196898890189,0.43934085282784907,0.3882768154144287,468
7,2,0.33440514469453375,0.10923490946149401,0.01786021536769391,0.33440514469453375,0.10923490946149401,0.01786021536769391,0.03142648935317993,311
7,3,0.4156378600823045,0.20881184011187248,0.08597623341585436,0.4156378600823045,0.20881184011187248,0.08597623341585436,0.04302603006362915,243
7,4,0.28668941979522183,0.25716596279988324,0.11238194324598966,0.28668941979522183,0.25716596279988324,0.11238194324598966,0.08024317026138306,293
8,0,0.5651720542231491,0.3602685088136769,0.28319958940946216,0.5651720542231491,0.3602685088136769,0.28319958940946216,0.06483578681945801,959
8,1,0.7455516014234875,0.5689891470539324,0.8909042031187738,0.7455516014234875,0.5689891470539324,0.8909042031187738,0.38040924072265625,562
