window,auprc,ap_lift,p_at_budget,positive_clients,total_clients,positives,transactions,prevalence
1,0.00614478365816765,7.692813993321858,0.024,5,5,354,500430,0.0007073916431868593
2,0.004064468292194004,5.034582016730175,0.008,5,5,527,507591,0.0010382374785998963
3,0.004175456580559784,5.582982534722211,0.004,5,5,505,491282,0.001027922863039965
4,0.004698388135784998,4.577859595519277,0.008,5,5,459,499675,0.0009185970881072697
5,0.0016595563063177491,1.4997032082102164,0.0,5,5,545,497384,0.0010957328743988548
6,0.02912780671798006,29.156884942992104,0.05600000000000001,5,5,447,505985,0.0008834253979861063
7,0.01513258452912573,12.405845464294867,0.048,5,5,663,547205,0.0012116117360038742
8,0.02441658703129582,22.419905233373076,0.064,5,5,515,526706,0.0009777750775574988
9,0.08269291353586061,58.802257866678175,0.148,5,5,549,495320,0.0011083743842364533
10,0.010689327837997647,13.757080871600792,0.012,5,5,433,505142,0.0008571847124174985
11,0.021338974464214212,22.80544147614754,0.048,5,5,596,515249,0.001156722283789003
12,0.020319137721807875,16.647959657006002,0.036,5,5,541,498124,0.0010860749532244983
13,0.04760795379999358,69.0896641343393,0.05600000000000001,5,5,384,505970,0.0007589382769729431
14,0.0435826996656635,31.138568731657454,0.076,5,5,639,500366,0.0012770651882821774
15,0.06847549724000059,78.80322696963295,0.08399999999999999,5,5,496,514226,0.0009645564401644413
16,0.0392243046512602,27.174697964440707,0.092,5,5,620,500613,0.0012384816215320017
17,0.04447206276081577,48.97485690620347,0.07200000000000001,5,5,450,491817,0.0009149744722122253
18,0.07377855308893848,42.75683920717381,0.15199999999999997,5,5,604,413396,0.0014610688056972008
