window,auprc,ap_lift,p_at_budget,positive_clients,total_clients,positives,transactions,prevalence
1,0.0027130302661767963,4.941833684372124,0.008,5,5,291,500367,0.0005815731253260107
2,0.002215969215879633,3.2262006744164333,0.008,5,5,358,507422,0.0007055271549124792
3,0.0025260341921272077,3.7015308852394804,0.004,5,5,383,491160,0.0007797866275755355
4,0.003509542298500131,4.474603433718067,0.008,5,5,377,499593,0.0007546142560043875
5,0.005782552079592482,11.330259073516887,0.008,5,5,401,497240,0.0008064516129032258
6,0.007193468505036207,15.251629048248635,0.008,5,5,422,505960,0.0008340580283026326
7,0.007548598003989371,8.484657248021549,0.008,5,5,581,547123,0.0010619184351599183
8,0.004480144411400494,4.791156358471887,0.016,5,5,476,526667,0.0009037968963310783
9,0.013023785779256187,10.521762697626418,0.012,5,5,632,495403,0.0012757290529124773
10,0.009273278585621558,9.729173295710357,0.004,5,5,521,505230,0.0010312135067197118
11,0.010998553496401428,10.034559252191768,0.008,5,5,665,515318,0.0012904653049185164
12,0.014116380501156883,15.719581944067993,0.036,5,5,619,498202,0.001242467914620977
13,0.007581966897955627,9.532727426148167,0.008,5,5,489,506075,0.0009662599417082448
14,0.022649524900066925,22.83955957847295,0.06,5,5,738,500465,0.0014746285954062722
15,0.02157805977639043,18.74803188819207,0.052000000000000005,5,5,579,514309,0.0011257823604097926
16,0.05913756234044511,54.00120138916962,0.148,5,5,735,500728,0.0014678627917751753
17,0.02650396140257072,26.099541781100385,0.10800000000000001,5,5,534,491901,0.0010855842944007025
18,0.06394669196526939,36.745455777495906,0.172,5,5,696,413488,0.0016832411097782766
