window,transactions,positives,prevalence,positive_clients
0,488201,376,0.0007701745797325282,5
1,500367,291,0.0005815731253260107,5
2,507422,358,0.0007055271549124792,5
3,491160,383,0.0007797866275755355,5
4,499593,377,0.0007546142560043875,5
5,497240,401,0.0008064516129032258,5
6,505960,422,0.0008340580283026326,5
7,547123,581,0.0010619184351599183,5
8,526667,476,0.0009037968963310783,5
9,495403,632,0.0012757290529124773,5
10,505230,521,0.0010312135067197118,5
11,515318,665,0.0012904653049185164,5
12,498202,619,0.001242467914620977,5
13,506075,489,0.0009662599417082448,5
14,500465,738,0.0014746285954062722,5
15,514309,579,0.0011257823604097926,5
16,500728,735,0.0014678627917751753,5
17,491901,534,0.0010855842944007025,5
18,413488,696,0.0016832411097782766,5
