window,typology,positives
0,0,57
0,1,1
0,2,13
0,3,26
0,4,36
0,5,12
0,6,38
0,7,11
0,8,12
0,9,16
0,10,39
0,11,2
0,12,29
0,13,12
0,14,11
0,15,11
0,16,7
1,0,19
1,2,13
1,3,9
1,4,19
1,5,17
1,6,37
1,8,4
1,9,21
1,10,22
1,11,3
1,12,64
1,13,16
1,14,11
1,15,20
1,16,7
2,0,66
2,2,8
2,3,31
2,4,4
2,5,32
2,6,22
2,7,3
2,9,20
2,10,31
2,11,3
2,12,42
2,13,24
2,14,5
2,15,37
2,16,7
3,0,35
3,2,16
3,3,18
3,4,20
3,5,36
3,6,36
3,7,7
3,8,27
3,9,22
3,10,17
3,11,2
3,12,41
3,13,11
3,14,32
3,15,21
3,16,19
4,0,19
4,2,20
4,3,14
4,4,26
4,5,20
4,6,46
4,7,18
4,8,27
4,9,34
4,10,16
4,11,3
4,12,36
4,13,11
4,14,37
4,15,14
4,16,12
5,0,83
5,1,5
5,2,15
5,3,18
5,4,26
5,5,22
5,6,14
5,7,22
5,8,24
5,9,4
5,10,40
5,11,4
5,12,56
5,13,10
5,14,20
5,15,7
5,16,1
6,0,51
6,1,36
6,2,19
6,3,19
6,4,7
6,5,25
6,6,24
6,7,23
6,8,26
6,9,11
6,10,39
6,11,1
6,12,38
6,13,24
6,14,22
6,15,6
6,16,4
7,0,78
7,1,77
7,2,22
7,3,32
7,4,16
7,5,56
7,6,48
7,7,30
7,8,30
7,9,6
7,10,2
7,11,4
7,12,57
7,13,15
7,14,24
7,15,24
7,16,17
8,0,22
8,1,43
8,2,12
8,3,16
8,4,2
8,5,83
8,6,33
8,7,24
8,8,48
8,9,5
8,10,4
8,11,1
8,12,65
8,13,10
8,14,30
8,15,32
9,0,71
9,1,129
9,2,6
9,3,166
9,4,14
9,5,55
9,6,28
9,7,20
9,8,15
9,9,10
9,10,20
9,11,1
9,12,54
9,13,15
9,14,24
9,15,9
9,16,10
10,0,17
10,1,57
10,2,18
10,3,145
10,4,31
10,5,37
10,6,16
10,7,25
10,8,17
10,9,38
10,10,6
10,11,2
10,12,63
10,13,9
10,14,30
10,15,30
10,16,1
11,0,67
11,1,87
11,2,26
11,3,199
11,4,36
11,5,36
11,6,17
11,7,27
11,8,11
11,9,36
11,10,27
11,11,1
11,12,52
11,13,15
11,14,39
11,15,12
11,16,7
12,0,52
12,1,142
12,2,7
12,3,169
12,4,22
12,5,44
12,6,13
12,7,36
12,8,24
12,9,34
12,10,12
12,11,5
12,12,45
12,13,9
12,14,32
12,15,6
13,0,32
13,1,79
13,2,27
13,3,104
13,4,10
13,5,12
13,6,29
13,7,6
13,8,37
13,9,28
13,10,40
13,11,10
13,12,48
13,13,14
13,14,14
13,15,2
13,16,26
14,0,83
14,1,172
14,2,29
14,3,204
14,4,34
14,5,12
14,6,19
14,7,11
14,8,30
14,9,15
14,10,22
14,11,2
14,12,42
14,13,10
14,14,8
14,15,22
14,16,42
15,0,30
15,1,108
15,2,35
15,3,123
15,4,29
15,5,70
15,6,9
15,7,30
15,8,1
15,9,28
15,10,44
15,11,4
15,12,50
15,13,12
15,14,19
15,15,19
15,16,19
16,0,63
16,1,144
16,2,27
16,3,248
16,4,41
16,5,30
16,6,19
16,7,25
16,8,16
16,10,30
16,11,2
16,12,55
16,13,12
16,14,14
16,15,17
16,16,10
17,0,23
17,1,109
17,2,17
17,3,129
17,4,12
17,5,18
17,6,59
17,7,13
17,8,28
17,9,18
17,10,27
17,11,1
17,12,65
17,13,15
17,14,4
17,15,40
17,16,10
18,0,64
18,1,145
18,2,15
18,3,200
18,4,9
18,5,39
18,6,22
18,7,7
18,8,5
18,9,18
18,10,68
18,11,3
18,12,43
18,13,6
18,14,7
18,15,25
18,16,38
