window,client,auprc,ap_lift,p_at_budget,positives,transactions,prevalence
0,0,0.01549370134704016,22.330016383426212,0.02,69,99445,0.0006938508723414954
0,1,0.009762230230396947,15.814635478147956,0.04,55,89099,0.0006172908786855071
0,2,0.00024044393401915872,0.7623274928077428,0.0,30,95115,0.00031540766440624505
0,3,0.000597684974819447,0.8498499259318129,0.0,72,102377,0.0007032829639469802
0,4,0.002189736465228225,1.2571670707363372,0.0,178,102193,0.0017418022760854461
1,0,0.0008622511640731217,1.0300308697490166,0.0,84,100345,0.0008371119637251483
1,1,0.009166675339440985,17.900459112852044,0.06,49,95686,0.0005120916330497669
1,2,0.0003086476188227258,0.7388593323520024,0.0,43,102936,0.00041773529183181785
1,3,0.0005068243637098432,0.8866162072410225,0.0,59,103212,0.0005716389567104601
1,4,0.0009463634840955411,1.4296931545804592,0.0,65,98197,0.0006619346823222705
2,0,0.0010238892464978634,1.386588539842804,0.0,76,102922,0.0007384232719923826
2,1,0.001557713306674795,2.568293242943057,0.0,58,95628,0.0006065169197306228
2,2,0.011188599486355137,33.7261683850365,0.02,33,99473,0.0003317483136127391
2,3,0.0018433579309185474,2.414591511736069,0.0,80,104791,0.0007634243398765161
2,4,0.0021260882451217705,1.6852309621124677,0.0,132,104629,0.0012616005122862686
3,0,0.0012622858389747826,1.4400277068723268,0.0,84,95828,0.0008765705221855826
3,1,0.00108149870434771,2.1701076874112375,0.0,47,94309,0.0004983617682299675
3,2,0.00208632511379525,3.031749134459106,0.0,72,104627,0.000688158888241085
3,3,0.0011454294062389339,1.5216342404240493,0.0,75,99633,0.0007527626388847069
3,4,0.0024035732277427665,1.8912213053184772,0.0,123,96781,0.0012709106126202456
4,0,0.0008369110839022031,1.0792073040804395,0.0,80,103161,0.0007754868603445101
4,1,0.0010243146580063338,1.8483854637182595,0.0,53,95639,0.0005541672330325495
4,2,0.007421195882986043,14.76599710247076,0.02,51,101475,0.0005025868440502587
4,3,0.005201128989924348,6.135880730253078,0.02,86,101456,0.0008476580980917837
4,4,0.0023320853078446727,1.8261160794546927,0.0,125,97880,0.0012770739681242337
5,0,0.0019395805963345718,1.940662285513297,0.0,104,104058,0.0009994426185396606
5,1,0.0008023949812403853,2.0256684188908314,0.0,36,90883,0.0003961136846274881
5,2,0.0009405760921239992,1.4582750518296241,0.0,64,99226,0.0006449922399371133
5,3,0.0021523851982873923,3.3468937595430077,0.0,66,102628,0.0006430993491055073
5,4,0.003926591934879302,2.6474980238508676,0.0,149,100463,0.001483133093775818
6,0,0.0017444247126760888,2.094404991658801,0.0,86,103254,0.0008328975148662521
6,1,0.001146163006722989,0.9066332769259918,0.0,125,98877,0.0012641969315412079
6,2,0.0006414617830403243,1.3020647856865717,0.0,50,101492,0.0004926496669688252
6,3,0.001587393694292116,2.8858533899070973,0.0,56,101807,0.0005500604084198533
6,4,0.005211048199415688,4.061951477860815,0.02,129,100554,0.0012828927740318634
7,0,0.0043679214706455445,5.125456988017713,0.02,95,111476,0.0008522013706986257
7,1,0.0022283631448122834,1.3822748812332004,0.0,168,104212,0.0016120984147698922
7,2,0.0014515595413577848,3.925253300221904,0.0,43,116279,0.0003698002218801331
7,3,0.013229438138537246,13.186442464587001,0.02,108,107649,0.001003260596940055
7,4,0.005703024776995926,3.0818973944390193,0.0,199,107539,0.0018504914496136286
8,0,0.009814004536377777,11.092674353230352,0.08,93,105117,0.0008847284454465025
8,1,0.002411744308128557,1.7620965518652962,0.0,133,97174,0.0013686788647168996
8,2,0.003185599608454663,6.566737112875561,0.0,55,113376,0.0004851114874400226
8,3,0.011907344989511553,9.813808719662706,0.02,127,104671,0.0012133255629544
8,4,0.0040876384621580724,4.576261855592463,0.0,95,106356,0.0008932265222460416
9,0,0.007407972739018636,8.358459217744956,0.0,85,95906,0.0008862844868934165
9,1,0.0046752500662490095,2.5490799146922813,0.0,175,95415,0.0018340931719331341
9,2,0.010353113583862678,10.696201417181374,0.0,101,104347,0.0009679243294009411
9,3,0.00629837832678682,4.959948520025525,0.0,129,101587,0.0012698475198598246
9,4,0.009132891627368382,7.169758306282294,0.02,125,98131,0.0012738074614545862
10,0,0.009043701315278244,8.667501073310346,0.0,102,97757,0.001043403541434373
10,1,0.00411118450900662,4.565730299720812,0.02,87,96619,0.0009004440120473199
10,2,0.013420667898054758,11.440145302357145,0.0,124,105701,0.0011731204056726048
10,3,0.004280958723753722,3.9563913577619725,0.0,109,100736,0.001082036213468869
10,4,0.009402818754253061,11.549205722356264,0.0,85,104403,0.0008141528500138884
11,0,0.017747830132509353,13.695014522694551,0.0,135,104172,0.0012959336481972122
11,1,0.017304850650320554,13.553637374796189,0.14,123,96337,0.0012767680122901897
11,2,0.009752685737901562,6.634492035874755,0.0,150,102041,0.0014699973540047628
11,3,0.006997450972078811,6.010262758417884,0.02,115,98776,0.001164250425204503
11,4,0.009387052791200152,6.949101080571312,0.0,154,114004,0.001350829795445774
12,0,0.018047625096166434,17.681884448809427,0.06,98,96014,0.0010206844835128211
12,1,0.008290146646013742,6.208503384027943,0.0,132,98855,0.0013352890597339538
12,2,0.009270948690933449,8.267264092564554,0.0,111,98983,0.001121404685653092
12,3,0.0034460310476280803,3.0231281243656882,0.0,115,100887,0.0011398891829472579
12,4,0.03168034326575625,22.757926588770065,0.18,144,103444,0.001392057538378253
13,0,0.016466648336773547,15.307184795629171,0.0,109,101325,0.001075746360720454
13,1,0.11249927202339856,108.98111297103047,0.28,99,95904,0.0010322822822822822
13,2,0.006767625767664404,6.401351741304174,0.02,107,101209,0.0010572182315801955
13,3,0.0051996262958217765,7.629682630300061,0.02,71,104182,0.0006814996832466261
13,4,0.004223492708425771,6.423435528020489,0.02,68,103420,0.0006575130535679752
14,0,0.027858058096642012,31.377663524522156,0.12,91,102497,0.0008878308633423418
14,1,0.17158927935883136,95.76094876405745,0.38,170,94874,0.0017918502434808273
14,2,0.008912987911437359,4.7890311026412755,0.0,194,104238,0.0018611255012567394
14,3,0.0036972859821272725,3.645705217886418,0.0,102,100577,0.0010141483639400659
14,4,0.04012428462611379,25.271611933680667,0.16,156,98254,0.0015877216194760519
15,0,0.02410858993622558,18.753012794559346,0.0,132,102677,0.0012855848924296582
15,1,0.115957167636544,103.99717033682386,0.22,106,95067,0.0011150031030746736
15,2,0.004412959627719892,4.295953155304919,0.0,105,102216,0.0010272364404789857
15,3,0.008151202553547328,8.434416885407835,0.02,102,105544,0.0009664215872053362
15,4,0.016022208556040907,13.834668446599862,0.08,126,108797,0.0011581201687546532
16,0,0.11277285931466721,110.5776965284035,0.26,101,99034,0.0010198517680796494
16,1,0.3239759339578016,197.2508540243597,0.5,154,93762,0.0016424564322433395
16,2,0.010871172465235853,6.430726031205303,0.02,178,105294,0.0016905046821281365
16,3,0.006522975250715318,6.446439007773591,0.0,105,103768,0.0010118726389638424
16,4,0.03034958485024789,19.994913491040315,0.1,150,98823,0.001517865274278255
17,0,0.012063008570319623,12.00316199382027,0.0,103,102489,0.001004985900925953
17,1,0.1478421546678324,112.87142598419054,0.3,122,93142,0.0013098280045521892
17,2,0.011414674564988469,9.621204799790323,0.0,117,98617,0.0011864080229575023
17,3,0.006725607666898162,8.229226653247105,0.0,83,101556,0.0008172830753475915
17,4,0.03234108850763455,35.30911840294883,0.12,88,96076,0.0009159415462758649
18,0,0.04154165809998859,31.674338593936582,0.18,106,80822,0.0013115240899755018
18,1,0.15263152995693963,93.19347337698953,0.3,128,78154,0.0016377920515904497
18,2,0.01647250694020529,8.574753319509703,0.08,162,84329,0.0019210473265424705
18,3,0.00669948823343929,5.111829155832631,0.02,112,85458,0.0013105853167637905
18,4,0.016434884582529532,8.335930920231027,0.1,167,84704,0.0019715715904797884
