typ,positives,captured,capture_rate,mean_score
0,932,0,0.0,0.35335782
1,1334,6,0.004497751124437781,0.32576022
2,345,6,0.017391304347826087,0.38555178
3,1870,2,0.0010695187165775401,0.36947763
4,394,5,0.012690355329949238,0.39437592
5,656,7,0.010670731707317074,0.37280887
6,529,0,0.0,0.3703417
7,338,2,0.005917159763313609,0.36071196
8,382,6,0.015706806282722512,0.35095623
9,364,0,0.0,0.3852463
10,506,0,0.0,0.37806842
11,54,12,0.2222222222222222,0.38739085
12,945,5,0.005291005291005291,0.36157188
13,250,34,0.136,0.37865168
14,383,5,0.013054830287206266,0.3700507
15,354,0,0.0,0.39300337
16,237,1,0.004219409282700422,0.3939655
