typ,positives,captured,capture_rate,mean_score
0,932,45,0.048283261802575105,0.45997345
1,1334,23,0.017241379310344827,0.40672752
2,345,1,0.002898550724637681,0.4886214
3,1870,2,0.0010695187165775401,0.48089632
4,394,8,0.02030456852791878,0.4694098
5,656,8,0.012195121951219513,0.46700123
6,529,2,0.003780718336483932,0.46082103
7,338,4,0.011834319526627219,0.4606652
8,382,11,0.028795811518324606,0.46807775
9,364,1,0.0027472527472527475,0.456886
10,506,1,0.001976284584980237,0.46034223
11,54,7,0.12962962962962962,0.44310114
12,945,10,0.010582010582010581,0.48622912
13,250,11,0.044,0.4590065
14,383,3,0.007832898172323759,0.47174063
15,354,0,0.0,0.44744864
16,237,9,0.0379746835443038,0.4835992
