window,auprc,ap_lift,p_at_budget,positive_clients,total_clients,positives,transactions,prevalence
1,0.0006461291933391296,1.1781133225996592,0.0,5,5,276,500352,0.0005516116653875671
2,0.0013759913161588014,2.1007125213001934,0.0,5,5,319,507383,0.0006287163740212029
3,0.0017833925652607433,2.584755124204662,0.008,5,5,376,491153,0.0007655455631951755
4,0.002345913918254265,3.501449449709086,0.004,5,5,355,499571,0.0007106097031252815
5,0.011122396758083627,16.638390752377017,0.028000000000000004,5,5,370,497209,0.0007441538668849518
6,0.002851019353945336,4.063829196140828,0.012,5,5,394,505932,0.0007787607820813864
7,0.0055777819619510435,6.192508059101443,0.008,5,5,522,547064,0.0009541845195443312
8,0.003548879346156543,4.664236535833607,0.0,5,5,452,526643,0.0008582664157693162
9,0.00998178196888899,8.431769514264804,0.004,5,5,645,495416,0.0013019361506289664
10,0.009935452568594808,11.623521472881757,0.012,5,5,545,505254,0.001078665384143421
11,0.011280061945657355,10.50465637163455,0.02,5,5,695,515348,0.0013486032739042355
12,0.01351519562468807,13.772440761498874,0.032,5,5,668,498251,0.001340689732684932
13,0.018670279337847172,23.367611681597186,0.06000000000000001,5,5,493,506079,0.0009741562088132485
14,0.055801973874983236,39.25171164320793,0.148,5,5,772,500499,0.0015424606242969516
15,0.025844409532496095,25.974726899813493,0.08399999999999999,5,5,606,514336,0.0011782181297828656
16,0.026964153728924967,22.680617337504483,0.064,5,5,747,500740,0.00149179214762152
17,0.016738289702950538,20.795389676623802,0.032,5,5,585,491952,0.001189140403941848
18,0.022644365438337654,13.881563361670425,0.048,5,5,735,413527,0.0017773930118226862
