window,auprc,ap_lift,p_at_budget,positive_clients,total_clients,positives,transactions,prevalence
1,0.0008279375579741208,1.4092672271720228,0.0,5,5,274,500350,0.0005476166683321675
2,0.001403844699823468,2.2277484211435765,0.004,5,5,307,507371,0.0006050799119382069
3,0.0020858455346554365,2.8146264085105726,0.004,5,5,343,491120,0.0006984036488027366
4,0.0032780202366508608,5.3353308831669235,0.02,5,5,339,499555,0.0006786039575221947
5,0.019063983434793964,46.69122914017119,0.024,5,5,349,497188,0.000701947754169449
6,0.0021570873376283656,3.152056512088377,0.0,5,5,377,505915,0.0007451844677465583
7,0.005199063321725265,5.890205780296499,0.0,5,5,490,547032,0.0008957428450255195
8,0.006578203471524924,9.127036322385807,0.012,5,5,428,526619,0.0008127317852185356
9,0.01011481752198451,8.463898259378665,0.008,5,5,685,495456,0.001382564748433766
10,0.011024739138196191,14.540030304935945,0.008,5,5,559,505268,0.0011063435642075096
11,0.007097581161913552,7.218669982157136,0.016,5,5,710,515363,0.0013776697201778165
12,0.013882211777721032,16.592778771163875,0.024,5,5,664,498247,0.0013326723492564933
13,0.017670336540558673,23.96417233864315,0.04,5,5,526,506112,0.0010392956499747092
14,0.018273115602142332,15.501130349543548,0.024,5,5,793,500520,0.0015843522736354193
15,0.009325099910734738,9.657573152778701,0.012,5,5,639,514369,0.0012422988166083105
16,0.016261859844277485,11.046016332974315,0.088,5,5,764,500757,0.0015256901051807564
17,0.011115868265518409,12.041215725858901,0.044,5,5,589,491956,0.0011972615437152916
18,0.023478386238750624,13.814019136357938,0.08,5,5,726,413518,0.0017556672260941482
