window,client,auprc,ap_lift,p_at_budget,positives,transactions,prevalence
0,0,0.0013379534646001797,0.8332272444980694,0.0,160,99642,0.0016057485799160997
0,1,0.0003506501515292953,1.008489316362227,0.0,36,103538,0.00034769842956209316
0,2,0.00421796486122007,7.191780729982407,0.02,56,95482,0.0005864979786766092
0,3,0.0007533971532974323,1.0730961751690635,0.0,67,95431,0.0007020779411302407
0,4,0.003986918510326527,4.7504891060384296,0.04,79,94130,0.0008392648464888983
1,0,0.0005111033803251927,0.8847034641370917,0.0,62,107320,0.0005777115169586284
1,1,0.00039284461205162666,1.006457823137497,0.0,39,99917,0.00039032396889418215
1,2,0.00031640026688166054,1.2824625650825439,0.0,24,97279,0.00024671306242868453
1,3,0.0010493839262457456,1.4630881070515682,0.0,68,94808,0.0007172390515568307
1,4,0.018285326125459824,18.662853464858205,0.06,99,101044,0.0009797711887890425
2,0,0.0020923120031167315,1.1928503208879944,0.02,180,102620,0.0017540440459949329
2,1,0.00116371644387888,2.6736756696982336,0.0,47,107984,0.00043524966661727664
2,2,0.00017549608055784683,0.7263248655783234,0.0,23,95190,0.00024162201911965542
2,3,0.0010649660076105308,2.625478880908713,0.0,41,101078,0.00040562733730386435
2,4,0.014101415459611069,18.416082319720637,0.02,77,100560,0.0007657120127287192
3,0,0.0013920188124170738,1.1096763920535644,0.0,129,102835,0.0012544367190158992
3,1,0.0007051533932429603,1.658403255341902,0.0,42,98777,0.00042520019842675927
3,2,0.0004500389682084063,0.8052447249493412,0.0,54,96621,0.0005588847145030583
3,3,0.001468171105018758,1.505988611284296,0.0,91,93344,0.0009748885841618101
3,4,0.015755383671922005,23.073295993892366,0.02,68,99584,0.000682840616966581
4,0,0.006263673604826579,6.708457700199618,0.02,99,106030,0.0009336980099971706
4,1,0.001899783196393644,3.015408262009188,0.0,63,99996,0.0006300252010080403
4,2,0.0004922703120713344,0.8335918741394157,0.0,58,98215,0.0005905411597006568
4,3,0.013948324723330695,12.339276695154913,0.02,109,96426,0.0011304005143840873
4,4,0.00085340680102242,1.3402686079358612,0.0,63,98941,0.0006367431095299219
5,0,0.0029142270563392992,1.5892410794617107,0.0,183,99797,0.0018337224565868713
5,1,0.0005479404397667086,1.3955358075308362,0.0,40,101875,0.00039263803680981594
