typ,positives,captured,capture_rate,mean_score
0,932,7,0.0075107296137339056,0.3793398
1,1334,112,0.08395802098950525,0.34365562
2,345,0,0.0,0.38574576
3,1870,1,0.0005347593582887701,0.36599556
4,394,10,0.025380710659898477,0.37281966
5,656,3,0.004573170731707317,0.3772479
6,529,0,0.0,0.3657635
7,338,2,0.005917159763313609,0.35836443
8,382,1,0.002617801047120419,0.3263439
9,364,1,0.0027472527472527475,0.38705105
10,506,1,0.001976284584980237,0.39855102
11,54,4,0.07407407407407407,0.34735566
12,945,1,0.0010582010582010583,0.3832812
13,250,13,0.052,0.3800696
14,383,1,0.0026109660574412533,0.35908365
15,354,0,0.0,0.3973696
16,237,3,0.012658227848101266,0.4096536
