condition,reference,comparison,metric,seed,difference
control,fedtypo,fedavg,auprc,42,0.00544937757090268
control,fedtypo,fedavg,auprc,43,0.006598834410907519
control,fedtypo,fedavg,auprc,44,-0.0006795437473262793
control,fedtypo,fedavg,auprc,45,-0.0003897567485467595
control,fedtypo,fedavg,auprc,46,-0.0001969346676650805
control,fedtypo,fedavg,auprc,47,-7.385792747002101e-05
control,fedtypo,fedavg,auprc,48,0.0008544670053948602
control,fedtypo,fedavg,auprc,49,-0.00084307554502584
control,fedtypo,fedavg,auprc,50,-0.0015504911937436801
control,fedtypo,fedavg,auprc,51,0.0008071844537785207
control,fedtypo,fedtypo_noreg,auprc,42,0.006252382187198299
control,fedtypo,fedtypo_noreg,auprc,43,0.0
control,fedtypo,fedtypo_noreg,auprc,44,0.00010575991490588063
control,fedtypo,fedtypo_noreg,auprc,45,0.0
control,fedtypo,fedtypo_noreg,auprc,46,0.0004460204643682419
control,fedtypo,fedtypo_noreg,auprc,47,0.0
control,fedtypo,fedtypo_noreg,auprc,48,0.0008778912454996809
control,fedtypo,fedtypo_noreg,auprc,49,-0.00040568143467936083
control,fedtypo,fedtypo_noreg,auprc,50,-0.0005469051034014205
control,fedtypo,fedtypo_noreg,auprc,51,-0.0016127756767163395
drift,fedtypo,fedavg,auprc,42,0.008930233567297219
drift,fedtypo,fedavg,auprc,43,0.00774551445644008
drift,fedtypo,fedavg,auprc,44,0.007563470506451139
drift,fedtypo,fedavg,auprc,45,-6.127423556379725e-06
drift,fedtypo,fedavg,auprc,46,0.013449755604713919
drift,fedtypo,fedavg,auprc,47,0.007236084445641981
drift,fedtypo,fedavg,auprc,48,0.0025040284378727
drift,fedtypo,fedavg,auprc,49,-0.00323428592248074
drift,fedtypo,fedavg,auprc,50,0.0034883451704847196
drift,fedtypo,fedavg,auprc,51,0.0015912459888046196
drift,fedtypo,fedtypo_noreg,auprc,42,0.00670293024621978
drift,fedtypo,fedtypo_noreg,auprc,43,0.00772066872824282
drift,fedtypo,fedtypo_noreg,auprc,44,0.006479876595380639
drift,fedtypo,fedtypo_noreg,auprc,45,0.0
drift,fedtypo,fedtypo_noreg,auprc,46,0.004623665055351778
drift,fedtypo,fedtypo_noreg,auprc,47,0.007354945683534781
drift,fedtypo,fedtypo_noreg,auprc,48,0.00248758014928334
drift,fedtypo,fedtypo_noreg,auprc,49,0.0020118396454307597
drift,fedtypo,fedtypo_noreg,auprc,50,0.0032958048021401393
drift,fedtypo,fedtypo_noreg,auprc,51,0.00397277815933074
