condition,seed,method,auprc,ap_lift,p_at_budget,window_macro_auprc,transaction_weighted_window_auprc
control,42,fedavg,0.00621284557157084,4.423176845906325,0.06266666666666666,0.023982585152828896,0.0236906093544515
control,42,fedtypo_noreg,0.005409840955275221,3.9083326696773915,0.06088888888888888,0.023003364103960238,0.022781547600192114
control,42,fedtypo,0.01166222314247352,10.288133936656155,0.07,0.028860597113422974,0.02852489423855982
control,43,fedavg,0.00335308436746048,3.060984271774489,0.06733333333333334,0.029908860063555167,0.028655209210279205
control,43,fedtypo_noreg,0.009951918778367999,8.21492547319502,0.07444444444444445,0.03219050210930331,0.03076835348538568
control,43,fedtypo,0.009951918778367999,8.21492547319502,0.07444444444444445,0.03219050210930331,0.03076835348538568
control,44,fedavg,0.00541286280009294,4.443505358450355,0.07,0.02988348303732001,0.029015369335725343
control,44,fedtypo_noreg,0.00462755913786078,3.8628893915043094,0.06866666666666667,0.029045636191301863,0.028267505685775973
control,44,fedtypo,0.0047333190527666606,4.092198634464825,0.06911111111111111,0.029562415687104313,0.02874933762391659
control,45,fedavg,0.0037469547095375796,3.3692131456532644,0.037333333333333336,0.01815846243262393,0.01721343056767321
control,45,fedtypo_noreg,0.00335719796099082,3.0071932830606136,0.04066666666666667,0.017740256925288064,0.016813907999562002
control,45,fedtypo,0.00335719796099082,3.0071932830606136,0.04066666666666667,0.017740256925288064,0.016813907999562002
control,46,fedavg,0.010991798396035122,10.259871308927583,0.07311111111111111,0.035088718752828596,0.03371279122024376
control,46,fedtypo_noreg,0.0103488432640018,9.433288956318691,0.0731111111111111,0.034862621147319715,0.033517713297116294
control,46,fedtypo,0.010794863728370041,10.055368927470976,0.06755555555555556,0.035310459695430535,0.033919875076385005
control,47,fedavg,0.00427607616921616,3.9451151877281156,0.05533333333333333,0.0306938709554374,0.029256468220053216
control,47,fedtypo_noreg,0.004202218241746139,3.8848599664282886,0.06044444444444444,0.03089482436233944,0.029685854068358258
control,47,fedtypo,0.004202218241746139,3.8848599664282886,0.06044444444444444,0.03089482436233944,0.029685854068358258
control,48,fedavg,0.0031811081881200605,3.0549595836526913,0.06377777777777778,0.027417808203595784,0.026556814231027646
control,48,fedtypo_noreg,0.0031576839480152398,3.0272935751188794,0.07622222222222222,0.03205764325856306,0.030959692254420936
control,48,fedtypo,0.004035575193514921,3.767458866589577,0.07622222222222222,0.031329527914457575,0.030347991231371753
control,49,fedavg,0.0030738693917054397,3.2154129160176295,0.05533333333333333,0.024041655651868915,0.02336402012230564
control,49,fedtypo_noreg,0.0026364752813589605,2.6584316270644788,0.055555555555555566,0.02285380608174276,0.022248801426938494
control,49,fedtypo,0.0022307938466795997,2.2953116684318773,0.05355555555555556,0.022825322413859903,0.022233729501375813
control,50,fedavg,0.0065990458632252,4.953391303433561,0.05488888888888888,0.019086555315557172,0.019224856283347254
control,50,fedtypo_noreg,0.0055954597728829405,4.047910640196142,0.044222222222222225,0.016443350453542355,0.01662916686062225
control,50,fedtypo,0.00504855466948152,4.547958297842414,0.019333333333333334,0.010608778510141626,0.0105912249340947
control,51,fedavg,0.00829740539549648,7.52531994215023,0.043777777777777784,0.025473227803865583,0.024816284810605334
control,51,fedtypo_noreg,0.01071736552599134,9.645961332552794,0.05177777777777777,0.02927053737149088,0.028401295004091134
control,51,fedtypo,0.009104589849275,8.104499390742856,0.05488888888888888,0.030088947556554304,0.02913275589338602
drift,42,fedavg,0.0015660852676749597,1.5481511926894238,0.022444444444444444,0.010766036992711928,0.010516505275655294
drift,42,fedtypo_noreg,0.0037933885887523992,2.900992317745188,0.029555555555555557,0.01296209388352726,0.012486538394347407
drift,42,fedtypo,0.01049631883497218,10.088404225329084,0.03755555555555556,0.015821061367657537,0.015227273556103742
drift,43,fedavg,0.0016897131881545,1.7371111163077717,0.027555555555555555,0.015628377623639965,0.015019969110873908
drift,43,fedtypo_noreg,0.0017145589163517602,1.7597394171835525,0.035555555555555556,0.01679599361282882,0.016130865541059365
drift,43,fedtypo,0.00943522764459458,9.85103633680526,0.060000000000000005,0.028450853871076556,0.027342839150859173
drift,44,fedavg,0.00171891853508282,1.6275330732698563,0.023111111111111114,0.010274775210700911,0.009839196030470907
drift,44,fedtypo_noreg,0.00280251244615332,2.4253759352639315,0.030888888888888893,0.01279079160867301,0.01214708565097658
drift,44,fedtypo,0.009282389041533959,7.713307710690837,0.030444444444444448,0.01541176892228792,0.014640362728647808
drift,45,fedavg,0.0016536914600586996,1.779437583729295,0.013111111111111113,0.007710926356332006,0.007559413863302357
drift,45,fedtypo_noreg,0.0016475640365023198,1.7757310465750016,0.012,0.0074425220684026065,0.0072641002554879154
drift,45,fedtypo,0.0016475640365023198,1.7757310465750016,0.012,0.0074425220684026065,0.0072641002554879154
drift,46,fedavg,0.00316699648743066,3.1429329894806695,0.06866666666666667,0.027186039329305724,0.026599778580017188
drift,46,fedtypo_noreg,0.011993087036792801,10.963654962609699,0.08155555555555555,0.03273378078033675,0.03214033374509607
drift,46,fedtypo,0.01661675209214458,14.477280147664306,0.09311111111111112,0.038736822143966315,0.03802681895687609
drift,47,fedavg,0.0016273900777146598,1.5451738922447844,0.019555555555555555,0.00858448642183448,0.00834184512316369
drift,47,fedtypo_noreg,0.0015085288398218601,1.4335566335946501,0.024888888888888887,0.011667944697948362,0.011106291115772809
drift,47,fedtypo,0.00886347452335664,8.151387393807179,0.04466666666666666,0.02041672819107065,0.01939751970551299
drift,48,fedavg,0.00261338539139902,2.4627868813591123,0.036222222222222225,0.018213739820239407,0.01744644774219394
drift,48,fedtypo_noreg,0.00262983367998838,2.475521339841299,0.04577777777777778,0.020554232823569964,0.019603826604613416
drift,48,fedtypo,0.00511741382927172,4.919017425154189,0.05244444444444445,0.02375686739195752,0.022579151468915815
drift,49,fedavg,0.0072166092369032,7.875422207927677,0.03311111111111112,0.014454016318948323,0.014019186719524287
drift,49,fedtypo_noreg,0.0019704836689917,2.0661351225154663,0.03133333333333334,0.01336819267425097,0.01303547269700543
drift,49,fedtypo,0.00398232331442246,4.187498430064858,0.03244444444444444,0.013119716995334717,0.012779129971692078
drift,50,fedavg,0.0018821590102544802,1.9866800297292584,0.02266666666666667,0.00993544453314295,0.009738414524724378
drift,50,fedtypo_noreg,0.0020746993785990602,2.106926050563433,0.026444444444444448,0.010649610685429654,0.010469835363358649
drift,50,fedtypo,0.0053705041807391996,4.739986803186176,0.032,0.01077584173466695,0.010707007412728004
drift,51,fedavg,0.006213785035095161,5.5256317416826075,0.03311111111111111,0.016739097564605003,0.016170772497291822
drift,51,fedtypo_noreg,0.00383225286456904,3.493741780484908,0.034888888888888886,0.018567678547940628,0.017793885833535524
drift,51,fedtypo,0.00780503102389978,6.977729568193648,0.04733333333333334,0.02429062591835458,0.023423271967959493
