condition,reference,comparison,metric,seed,difference
control,fedtypo_noreg,ablate_g1,auprc,42,4.366720646392002e-05
control,fedtypo_noreg,ablate_g1,auprc,43,-3.263639203000086e-06
control,fedtypo_noreg,ablate_g1,auprc,44,1.7339285837059864e-05
control,fedtypo_noreg,ablate_g1,auprc,45,-3.2659977998839886e-05
control,fedtypo_noreg,ablate_g1,auprc,46,3.155957233766035e-05
control,fedtypo_noreg,ablate_g1,auprc,47,1.3425448338599821e-05
control,fedtypo_noreg,ablate_g1,auprc,48,1.307618551539937e-06
control,fedtypo_noreg,ablate_g1,auprc,49,-6.936653419539751e-06
control,fedtypo_noreg,ablate_g1,auprc,50,-3.491693194600026e-06
control,fedtypo_noreg,ablate_g1,auprc,51,1.817979234432004e-05
control,fedtypo_noreg,ablate_g3,auprc,42,3.0219770800401103e-06
control,fedtypo_noreg,ablate_g3,auprc,43,-3.7809066968800056e-06
control,fedtypo_noreg,ablate_g3,auprc,44,2.0910936714199982e-05
control,fedtypo_noreg,ablate_g3,auprc,45,3.431898530602273e-07
control,fedtypo_noreg,ablate_g3,auprc,46,2.314157528420218e-06
control,fedtypo_noreg,ablate_g3,auprc,47,-1.5003104533719766e-05
control,fedtypo_noreg,ablate_g3,auprc,48,1.0607795101839988e-05
control,fedtypo_noreg,ablate_g3,auprc,49,-1.489137956330001e-05
control,fedtypo_noreg,ablate_g3,auprc,50,1.2963198443580095e-05
control,fedtypo_noreg,ablate_g3,auprc,51,-1.335433413315987e-05
control,fedtypo_noreg,ablate_random,auprc,42,4.217165889486003e-05
control,fedtypo_noreg,ablate_random,auprc,43,1.8046210462659964e-05
control,fedtypo_noreg,ablate_random,auprc,44,1.8243570584279946e-05
control,fedtypo_noreg,ablate_random,auprc,45,-3.767750705519998e-05
control,fedtypo_noreg,ablate_random,auprc,46,2.8926756688060166e-05
control,fedtypo_noreg,ablate_random,auprc,47,1.5214861714819882e-05
control,fedtypo_noreg,ablate_random,auprc,48,1.0226275811539955e-05
control,fedtypo_noreg,ablate_random,auprc,49,3.1399442648200743e-06
control,fedtypo_noreg,ablate_random,auprc,50,2.54048059980601e-05
control,fedtypo_noreg,ablate_random,auprc,51,-8.140284436398276e-07
control,fedtypo_noreg,ablate_nommd,auprc,42,3.161186340038674e-09
control,fedtypo_noreg,ablate_nommd,auprc,43,1.193930594280048e-06
control,fedtypo_noreg,ablate_nommd,auprc,44,-1.218229811199463e-07
control,fedtypo_noreg,ablate_nommd,auprc,45,-8.731472212007013e-08
control,fedtypo_noreg,ablate_nommd,auprc,46,-2.0458615021968357e-07
control,fedtypo_noreg,ablate_nommd,auprc,47,3.5910296235998514e-06
control,fedtypo_noreg,ablate_nommd,auprc,48,-5.403198166400135e-07
control,fedtypo_noreg,ablate_nommd,auprc,49,-1.3640385035998404e-06
control,fedtypo_noreg,ablate_nommd,auprc,50,9.24026047600078e-08
control,fedtypo_noreg,ablate_nommd,auprc,51,5.045713698700145e-06
control,fedtypo_noreg,ablate_samplewt,auprc,42,-1.7332962502802397e-06
control,fedtypo_noreg,ablate_samplewt,auprc,43,1.742975868020179e-06
control,fedtypo_noreg,ablate_samplewt,auprc,44,-6.67167530600055e-07
control,fedtypo_noreg,ablate_samplewt,auprc,45,-1.9687355069619977e-05
control,fedtypo_noreg,ablate_samplewt,auprc,46,-8.850392292779558e-06
control,fedtypo_noreg,ablate_samplewt,auprc,47,-4.45997939143997e-06
control,fedtypo_noreg,ablate_samplewt,auprc,48,3.555041340600135e-06
control,fedtypo_noreg,ablate_samplewt,auprc,49,5.133438543900243e-06
control,fedtypo_noreg,ablate_samplewt,auprc,50,1.2864758859802271e-06
control,fedtypo_noreg,ablate_samplewt,auprc,51,2.846566063080232e-06
control,fedtypo_noreg,ablate_rho0,auprc,42,-1.3832109405200257e-06
control,fedtypo_noreg,ablate_rho0,auprc,43,-3.8973450713973394e-07
control,fedtypo_noreg,ablate_rho0,auprc,44,-4.3140518775981913e-07
control,fedtypo_noreg,ablate_rho0,auprc,45,-3.764791087892006e-05
control,fedtypo_noreg,ablate_rho0,auprc,46,1.7418350706402234e-06
control,fedtypo_noreg,ablate_rho0,auprc,47,8.460629007998963e-07
control,fedtypo_noreg,ablate_rho0,auprc,48,-1.07973244877998e-06
control,fedtypo_noreg,ablate_rho0,auprc,49,-2.1958678835999872e-05
control,fedtypo_noreg,ablate_rho0,auprc,50,-1.4015108226398797e-06
control,fedtypo_noreg,ablate_rho0,auprc,51,-9.33793802643983e-06
drift,fedtypo_noreg,ablate_g1,auprc,42,4.52017475422999e-05
drift,fedtypo_noreg,ablate_g1,auprc,43,1.7364415891200132e-05
drift,fedtypo_noreg,ablate_g1,auprc,44,8.242206558240015e-06
drift,fedtypo_noreg,ablate_g1,auprc,45,5.153463501940099e-06
drift,fedtypo_noreg,ablate_g1,auprc,46,2.5527341307059886e-05
drift,fedtypo_noreg,ablate_g1,auprc,47,1.4797528002802058e-06
drift,fedtypo_noreg,ablate_g1,auprc,48,4.048408297820235e-06
drift,fedtypo_noreg,ablate_g1,auprc,49,-1.1035186727559798e-05
drift,fedtypo_noreg,ablate_g1,auprc,50,-6.979618232200082e-06
drift,fedtypo_noreg,ablate_g1,auprc,51,1.2065427671598995e-06
drift,fedtypo_noreg,ablate_g3,auprc,42,-4.0282047062008795e-07
drift,fedtypo_noreg,ablate_g3,auprc,43,-2.5791855368601305e-06
drift,fedtypo_noreg,ablate_g3,auprc,44,-2.0150848322199842e-06
drift,fedtypo_noreg,ablate_g3,auprc,45,2.220942441904009e-05
drift,fedtypo_noreg,ablate_g3,auprc,46,3.732485387280063e-06
drift,fedtypo_noreg,ablate_g3,auprc,47,5.761809314880047e-06
drift,fedtypo_noreg,ablate_g3,auprc,48,-3.0447939398999414e-06
drift,fedtypo_noreg,ablate_g3,auprc,49,-4.631812108798778e-07
drift,fedtypo_noreg,ablate_g3,auprc,50,1.3430284169040118e-05
drift,fedtypo_noreg,ablate_g3,auprc,51,-2.964370174716015e-05
drift,fedtypo_noreg,ablate_random,auprc,42,4.010857121213994e-05
drift,fedtypo_noreg,ablate_random,auprc,43,1.0088924670540117e-05
drift,fedtypo_noreg,ablate_random,auprc,44,1.0224909352540184e-05
drift,fedtypo_noreg,ablate_random,auprc,45,-1.9669213805200043e-06
drift,fedtypo_noreg,ablate_random,auprc,46,2.8724298593760115e-05
drift,fedtypo_noreg,ablate_random,auprc,47,1.5916023603080144e-05
drift,fedtypo_noreg,ablate_random,auprc,48,-7.111993378400988e-07
drift,fedtypo_noreg,ablate_random,auprc,49,-1.6381871913799832e-05
drift,fedtypo_noreg,ablate_random,auprc,50,2.7740021529740286e-05
drift,fedtypo_noreg,ablate_random,auprc,51,-2.9896064813700156e-05
drift,fedtypo_noreg,ablate_nommd,auprc,42,1.1486431843979635e-07
drift,fedtypo_noreg,ablate_nommd,auprc,43,5.138082089402567e-07
drift,fedtypo_noreg,ablate_nommd,auprc,44,-8.910635720398193e-07
drift,fedtypo_noreg,ablate_nommd,auprc,45,-1.0906310085197733e-06
drift,fedtypo_noreg,ablate_nommd,auprc,46,3.61485824520091e-07
drift,fedtypo_noreg,ablate_nommd,auprc,47,1.4221632795399005e-06
drift,fedtypo_noreg,ablate_nommd,auprc,48,1.1637211202010847e-07
drift,fedtypo_noreg,ablate_nommd,auprc,49,1.801201053300153e-06
drift,fedtypo_noreg,ablate_nommd,auprc,50,4.6048527052003525e-06
drift,fedtypo_noreg,ablate_nommd,auprc,51,-2.047962087401746e-07
drift,fedtypo_noreg,ablate_samplewt,auprc,42,1.7250923945600488e-06
drift,fedtypo_noreg,ablate_samplewt,auprc,43,-2.15686018239852e-07
drift,fedtypo_noreg,ablate_samplewt,auprc,44,-1.493888784460072e-06
drift,fedtypo_noreg,ablate_samplewt,auprc,45,1.912300367739976e-05
drift,fedtypo_noreg,ablate_samplewt,auprc,46,1.3291270952800471e-06
drift,fedtypo_noreg,ablate_samplewt,auprc,47,-2.1346800590008562e-07
drift,fedtypo_noreg,ablate_samplewt,auprc,48,1.6522327119202537e-06
drift,fedtypo_noreg,ablate_samplewt,auprc,49,7.496520826060079e-06
drift,fedtypo_noreg,ablate_samplewt,auprc,50,-6.233688717399537e-07
drift,fedtypo_noreg,ablate_samplewt,auprc,51,-5.301181244939937e-06
drift,fedtypo_noreg,ablate_rho0,auprc,42,4.674044879279847e-06
drift,fedtypo_noreg,ablate_rho0,auprc,43,-2.9413462527797148e-06
drift,fedtypo_noreg,ablate_rho0,auprc,44,-2.3532183469399982e-06
drift,fedtypo_noreg,ablate_rho0,auprc,45,-2.0278066143199734e-06
drift,fedtypo_noreg,ablate_rho0,auprc,46,-6.714622422200264e-07
drift,fedtypo_noreg,ablate_rho0,auprc,47,3.635571301601175e-07
drift,fedtypo_noreg,ablate_rho0,auprc,48,3.2761809608602022e-06
drift,fedtypo_noreg,ablate_rho0,auprc,49,6.939569422940084e-06
drift,fedtypo_noreg,ablate_rho0,auprc,50,5.191403515359891e-06
drift,fedtypo_noreg,ablate_rho0,auprc,51,-4.248584083499981e-06
