window,client,budget,precision,recall
1,0,10,0.0,0.0
1,0,25,0.0,0.0
1,0,50,0.0,0.0
1,0,100,0.0,0.0
1,0,200,0.0,0.0
1,1,10,0.0,0.0
1,1,25,0.0,0.0
1,1,50,0.0,0.0
1,1,100,0.0,0.0
1,1,200,0.0,0.0
1,2,10,0.0,0.0
1,2,25,0.0,0.0
1,2,50,0.0,0.0
1,2,100,0.0,0.0
1,2,200,0.0,0.0
1,3,10,0.0,0.0
1,3,25,0.0,0.0
1,3,50,0.0,0.0
1,3,100,0.0,0.0
1,3,200,0.0,0.0
1,4,10,0.0,0.0
1,4,25,0.0,0.0
1,4,50,0.0,0.0
1,4,100,0.0,0.0
1,4,200,0.0,0.0
2,0,10,0.1,0.01639344262295082
2,0,25,0.04,0.01639344262295082
2,0,50,0.04,0.03278688524590164
2,0,100,0.03,0.04918032786885246
2,0,200,0.015,0.04918032786885246
2,1,10,0.0,0.0
2,1,25,0.0,0.0
2,1,50,0.0,0.0
2,1,100,0.0,0.0
2,1,200,0.015,0.0379746835443038
2,2,10,0.0,0.0
2,2,25,0.04,0.011627906976744186
2,2,50,0.02,0.011627906976744186
2,2,100,0.01,0.011627906976744186
2,2,200,0.025,0.05813953488372093
2,3,10,0.1,0.012195121951219513
2,3,25,0.04,0.012195121951219513
2,3,50,0.02,0.012195121951219513
2,3,100,0.01,0.012195121951219513
2,3,200,0.015,0.036585365853658534
2,4,10,0.1,0.012048192771084338
2,4,25,0.04,0.012048192771084338
2,4,50,0.02,0.012048192771084338
2,4,100,0.02,0.024096385542168676
2,4,200,0.01,0.024096385542168676
3,0,10,0.0,0.0
3,0,25,0.04,0.012987012987012988
3,0,50,0.04,0.025974025974025976
3,0,100,0.03,0.03896103896103896
3,0,200,0.025,0.06493506493506493
3,1,10,0.0,0.0
3,1,25,0.0,0.0
3,1,50,0.04,0.030303030303030304
3,1,100,0.02,0.030303030303030304
3,1,200,0.01,0.030303030303030304
3,2,10,0.0,0.0
3,2,25,0.0,0.0
3,2,50,0.02,0.011235955056179775
3,2,100,0.01,0.011235955056179775
3,2,200,0.02,0.0449438202247191
3,3,10,0.0,0.0
3,3,25,0.0,0.0
3,3,50,0.0,0.0
3,3,100,0.01,0.011627906976744186
3,3,200,0.01,0.023255813953488372
3,4,10,0.0,0.0
3,4,25,0.0,0.0
3,4,50,0.0,0.0
3,4,100,0.0,0.0
3,4,200,0.01,0.02247191011235955
4,0,10,0.0,0.0
4,0,25,0.0,0.0
4,0,50,0.0,0.0
4,0,100,0.0,0.0
4,0,200,0.005,0.011764705882352941
4,1,10,0.0,0.0
4,1,25,0.0,0.0
4,1,50,0.0,0.0
4,1,100,0.01,0.010752688172043012
4,1,200,0.01,0.021505376344086023
4,2,10,0.0,0.0
4,2,25,0.0,0.0
4,2,50,0.0,0.0
4,2,100,0.01,0.007936507936507936
4,2,200,0.005,0.007936507936507936
4,3,10,0.0,0.0
4,3,25,0.0,0.0
4,3,50,0.0,0.0
4,3,100,0.0,0.0
4,3,200,0.0,0.0
4,4,10,0.0,0.0
4,4,25,0.0,0.0
4,4,50,0.0,0.0
4,4,100,0.0,0.0
4,4,200,0.005,0.013333333333333334
5,0,10,0.0,0.0
5,0,25,0.08,0.01904761904761905
5,0,50,0.04,0.01904761904761905
5,0,100,0.03,0.02857142857142857
5,0,200,0.025,0.047619047619047616
5,1,10,0.0,0.0
5,1,25,0.0,0.0
5,1,50,0.0,0.0
5,1,100,0.0,0.0
5,1,200,0.01,0.021739130434782608
5,2,10,0.1,0.007633587786259542
5,2,25,0.04,0.007633587786259542
5,2,50,0.02,0.007633587786259542
