window,client,auprc,ap_lift,p_at_budget,positives,transactions,prevalence
0,0,0.0016150927282312293,5.946186650394061,0.0,58,213535,0.00027161823588638866
0,1,0.000196829027542145,1.005327690198594,0.0,42,214520,0.00019578594070482938
0,2,0.0006179818649044369,1.4969814308927376,0.0,97,234970,0.0004128186577009831
0,3,0.00025644990565550416,0.9000740994717727,0.0,67,235153,0.0002849208812985588
0,4,0.00041114735033125337,1.5364363819456353,0.0,58,216743,0.0002675980308475937
1,0,0.00042187506044162387,0.9492733214853236,0.0,62,139508,0.0004444189580525848
1,1,0.0005436752822907344,1.040939797578353,0.0,74,141683,0.0005222927238977154
1,2,0.0023467939990598646,3.854280592295959,0.0,100,164236,0.000608879904527631
1,3,0.0006254762096690994,1.0102360604111351,0.0,102,164745,0.000619138668851862
1,4,0.0006064452720765197,1.2499443502769148,0.0,70,144277,0.00048517781767017614
2,0,0.006206309065592139,3.8630712936306213,0.04,61,37969,0.0016065737838763202
2,1,0.017275290238267346,8.510157850666458,0.0,79,38917,0.0020299611994758077
2,2,0.012742914690554653,6.732259639131984,0.02,86,45435,0.001892813909981292
2,3,0.009121781015807464,5.064034599787844,0.02,82,45523,0.001801287261384355
2,4,0.008595727735617419,4.0946732916968855,0.04,83,39538,0.0020992462947038294
3,0,0.008553919796528505,4.2269694578949295,0.04,77,38050,0.00202365308804205
3,1,0.011333044902033487,6.666062668815788,0.04,66,38821,0.0017001107647922516
3,2,0.013263590963159553,6.773671196152,0.02,89,45452,0.001958109654140632
3,3,0.006152309557991058,3.260652527252028,0.0,86,45579,0.0018868338489216525
3,4,0.010146808190512717,4.506550945557153,0.0,89,39528,0.0022515685083991095
4,0,0.0032061952795676175,3.3491161491474024,0.0,85,88789,0.0009573257948619761
4,1,0.004578184973349024,4.413271858717635,0.0,93,89650,0.001037367540435025
4,2,0.004425322846793379,3.7197297039991017,0.0,126,105910,0.0011896893588896232
4,3,0.0031704495747508924,3.6705879951678457,0.0,92,106513,0.0008637443316778234
4,4,0.0037026081497407376,4.531399957978705,0.0,75,91788,0.0008171002745456922
5,0,0.009323012879408583,7.879899276274986,0.04,105,88747,0.0011831385849662523
5,1,0.008116055774885689,7.898598410917284,0.0,92,89535,0.0010275311330764506
5,2,0.007537727703509568,6.081277599454345,0.02,131,105688,0.001239497388539853
5,3,0.011216019212483174,10.647907810765165,0.04,112,106327,0.0010533542750195152
5,4,0.020075802532990402,20.250528198991812,0.02,91,91792,0.0009913717971065017
6,0,0.00990448732556613,8.799245584906204,0.0,100,88841,0.0011256064204590223
6,1,0.008498255283383778,8.65566614829191,0.0,88,89630,0.0009818141247350217
6,2,0.008741841160683207,7.9109179508716005,0.02,117,105879,0.0011050349927747712
6,3,0.00707506725360359,7.316993339692831,0.0,103,106522,0.0009669364075026755
6,4,0.009645789967425374,9.957815015922202,0.0,89,91879,0.0009686653098096409
7,0,0.01621636239501146,14.127313357065866,0.02,102,88860,0.0011478730587440918
7,1,0.014235919181414446,15.373763613336173,0.0,83,89634,0.0009259879063748132
7,2,0.014617210140502055,11.1393657249144,0.0,139,105928,0.0013122120685748811
7,3,0.0142701686702717,12.670839516551,0.04,120,106551,0.001126221246163809
7,4,0.014499411420931807,14.011010194121473,0.0,95,91800,0.0010348583877995642
8,0,0.0032642302783638245,4.252976159455319,0.0,93,121170,0.0007675167120574399
8,1,0.006102313967853403,8.075067402729882,0.02,93,123065,0.0007556982082639256
8,2,0.004073060837874593,4.569845974714573,0.0,127,142490,0.0008912906168853955
8,3,0.00318469239053701,4.211490295452651,0.0,108,142821,0.0007561913164030499
8,4,0.004686717487737633,6.295370271888956,0.02,93,124921,0.0007444705053593872
9,0,0.026160683642338065,11.467099663224852,0.04,87,38135,0.0022813688212927757
9,1,0.021543807021085867,10.25432668332904,0.0,82,39030,0.0021009479887266207
9,2,0.01887579039938199,8.610758064390076,0.02,100,45618,0.0021921171467403217
9,3,0.016006413741542564,8.696055922726625,0.0,84,45636,0.0018406521167499343
9,4,0.01752578453726216,7.858246716224538,0.0,89,39906,0.0022302410665062896
