window,client,budget,precision,recall
1,0,10,0.0,0.0
1,0,25,0.0,0.0
1,0,50,0.0,0.0
1,0,100,0.0,0.0
1,0,200,0.0,0.0
1,1,10,0.1,0.008849557522123894
1,1,25,0.04,0.008849557522123894
1,1,50,0.02,0.008849557522123894
1,1,100,0.03,0.02654867256637168
1,1,200,0.015,0.02654867256637168
1,2,10,0.0,0.0
1,2,25,0.0,0.0
1,2,50,0.0,0.0
1,2,100,0.0,0.0
1,2,200,0.0,0.0
1,3,10,0.0,0.0
1,3,25,0.0,0.0
1,3,50,0.0,0.0
1,3,100,0.0,0.0
1,3,200,0.0,0.0
1,4,10,0.0,0.0
1,4,25,0.0,0.0
1,4,50,0.0,0.0
1,4,100,0.0,0.0
1,4,200,0.0,0.0
2,0,10,0.0,0.0
2,0,25,0.0,0.0
2,0,50,0.0,0.0
2,0,100,0.0,0.0
2,0,200,0.0,0.0
2,1,10,0.0,0.0
2,1,25,0.0,0.0
2,1,50,0.0,0.0
2,1,100,0.0,0.0
2,1,200,0.01,0.01904761904761905
2,2,10,0.0,0.0
2,2,25,0.0,0.0
2,2,50,0.0,0.0
2,2,100,0.01,0.014285714285714285
2,2,200,0.015,0.04285714285714286
2,3,10,0.0,0.0
2,3,25,0.0,0.0
2,3,50,0.0,0.0
2,3,100,0.0,0.0
2,3,200,0.005,0.014492753623188406
2,4,10,0.0,0.0
2,4,25,0.0,0.0
2,4,50,0.0,0.0
2,4,100,0.0,0.0
2,4,200,0.0,0.0
3,0,10,0.0,0.0
3,0,25,0.0,0.0
3,0,50,0.0,0.0
3,0,100,0.0,0.0
3,0,200,0.0,0.0
3,1,10,0.0,0.0
3,1,25,0.0,0.0
3,1,50,0.02,0.009708737864077669
3,1,100,0.03,0.02912621359223301
3,1,200,0.015,0.02912621359223301
3,2,10,0.0,0.0
3,2,25,0.0,0.0
3,2,50,0.04,0.024096385542168676
3,2,100,0.04,0.04819277108433735
3,2,200,0.03,0.07228915662650602
3,3,10,0.0,0.0
3,3,25,0.0,0.0
3,3,50,0.02,0.016129032258064516
3,3,100,0.01,0.016129032258064516
3,3,200,0.015,0.04838709677419355
3,4,10,0.0,0.0
3,4,25,0.0,0.0
3,4,50,0.0,0.0
3,4,100,0.0,0.0
3,4,200,0.0,0.0
4,0,10,0.0,0.0
4,0,25,0.0,0.0
4,0,50,0.0,0.0
4,0,100,0.0,0.0
4,0,200,0.0,0.0
4,1,10,0.0,0.0
4,1,25,0.0,0.0
4,1,50,0.0,0.0
4,1,100,0.01,0.008130081300813009
4,1,200,0.005,0.008130081300813009
4,2,10,0.0,0.0
4,2,25,0.0,0.0
4,2,50,0.0,0.0
4,2,100,0.01,0.011904761904761904
4,2,200,0.005,0.011904761904761904
4,3,10,0.0,0.0
4,3,25,0.04,0.014084507042253521
4,3,50,0.02,0.014084507042253521
4,3,100,0.01,0.014084507042253521
4,3,200,0.005,0.014084507042253521
4,4,10,0.0,0.0
4,4,25,0.08,0.021739130434782608
4,4,50,0.04,0.021739130434782608
4,4,100,0.03,0.03260869565217391
4,4,200,0.015,0.03260869565217391
5,0,10,0.0,0.0
5,0,25,0.0,0.0
5,0,50,0.0,0.0
5,0,100,0.02,0.017857142857142856
5,0,200,0.02,0.03571428571428571
5,1,10,0.0,0.0
5,1,25,0.04,0.007462686567164179
5,1,50,0.04,0.014925373134328358
5,1,100,0.03,0.022388059701492536
5,1,200,0.03,0.04477611940298507
5,2,10,0.0,0.0
5,2,25,0.04,0.012658227848101266
5,2,50,0.02,0.012658227848101266
5,2,100,0.02,0.02531645569620253
5,2,200,0.01,0.02531645569620253
