window,client,auprc,ap_lift,p_at_budget,positives,transactions,prevalence
0,0,0.0003150772199441362,0.9045508035864568,0.0,79,226800,0.00034832451499118165
0,1,0.00044981351592951414,1.6854047117552071,0.0,58,217320,0.000266887539112829
0,2,0.0001687004132408437,0.7311104768949036,0.0,50,216689,0.00023074544623861849
0,3,0.00018150002976282834,0.6562356731849358,0.0,61,220553,0.00027657751198124713
0,4,0.0003004569094102766,0.948302909526416,0.0,74,233559,0.0003168364310516829
1,0,0.0006346097721765412,1.0440666772877107,0.0,95,156295,0.0006078249464154323
1,1,0.0011096377683105772,1.61159754422998,0.0,99,143784,0.0006885327991987982
1,2,0.0004510766033837511,1.2858119010095177,0.0,50,142527,0.00035081072358219846
1,3,0.0004213789566264902,0.9559921630282866,0.0,65,147467,0.00044077658052310006
1,4,0.000586121608357835,0.9731750050043181,0.0,99,164376,0.0006022777047744196
2,0,0.009874703189495652,4.738082303418229,0.0,89,42704,0.002084113900337205
2,1,0.011615475154339026,5.945162224774744,0.0,77,39411,0.0019537692522392227
2,2,0.012288130794718447,7.6147400988223515,0.04,63,39040,0.0016137295081967214
2,3,0.007480860631840419,4.07886445090467,0.02,75,40893,0.0018340547281930893
2,4,0.009906405584975766,5.162034376888406,0.04,87,45334,0.0019190894251555125
3,0,0.011782244653459397,5.71385310035265,0.0,88,42676,0.002062048926797263
3,1,0.012902950700408703,6.206004580781942,0.02,82,39440,0.002079107505070994
3,2,0.017460748162766188,8.525210290470591,0.02,80,39060,0.002048131080389145
3,3,0.012704732523240203,7.3152418349659545,0.02,71,40881,0.0017367481225997407
3,4,0.019446833404043774,10.260013628391606,0.02,86,45373,0.0018954003482247151
4,0,0.006379819116940322,7.581503617752581,0.02,84,99822,0.0008414978662018393
4,1,0.005507145522497697,5.661221841048475,0.02,89,91490,0.0009727839108099246
4,2,0.006307637757857139,6.431309981311753,0.0,89,90745,0.0009807702903741253
4,3,0.007403307733393474,7.45355571566906,0.02,94,94638,0.0009932585219467867
4,4,0.006305461505571757,5.809523250633526,0.0,115,105955,0.0010853664291444482
5,0,0.010440485326449835,9.6394680911261,0.02,108,99714,0.001083097659305614
5,1,0.01114919577023804,10.506795201579687,0.04,97,91411,0.0010611414381201387
5,2,0.01792224264185586,16.58154916422887,0.04,98,90669,0.0010808545368317726
5,3,0.016449389397227572,13.519395550159663,0.04,115,94516,0.0012167252105463626
5,4,0.011289694258586724,10.568252822823407,0.0,113,105779,0.0010682649675266358
6,0,0.008780986798307522,6.9683402377997545,0.0,126,99990,0.0012601260126012602
6,1,0.007944506059172803,8.263911314142728,0.0,88,91538,0.0009613493849548821
6,2,0.012177462674190866,12.01293456436457,0.02,92,90757,0.0010136959132628887
6,3,0.015054744774879369,16.002009614647058,0.04,89,94600,0.0009408033826638478
6,4,0.013329989188850942,13.835221916342096,0.04,102,105866,0.0009634821377968375
7,0,0.014253762892135566,11.302894598156549,0.04,126,99915,0.0012610719111244557
7,1,0.011245034965764634,12.705778890576678,0.0,81,91522,0.0008850331067939949
7,2,0.016144288390283524,13.949895210225177,0.04,105,90728,0.0011573053522617052
7,3,0.01725869890377702,14.99210922664337,0.02,109,94685,0.0011511855098484448
7,4,0.014025151331496528,12.58971274988226,0.02,118,105923,0.0011140167857783484
8,0,0.005210153558080249,6.174580403541735,0.04,114,135102,0.0008438069014522361
8,1,0.001971570261913577,3.2736215504847954,0.0,75,124531,0.0006022596783130305
8,2,0.0027343102318543805,3.3918298133084033,0.02,100,124047,0.0008061460575427056
8,3,0.004909513003274786,7.065285679319489,0.02,89,128080,0.0006948782011242973
8,4,0.0030166890291396424,3.1654605976575807,0.02,136,142707,0.0009530016046865255
9,0,0.018795523022198075,8.48845389204617,0.04,95,42904,0.002214245757971285
9,1,0.017191307045899072,7.467072552705568,0.0,91,39526,0.002302282042200071
9,2,0.014448459546064213,7.759812396753336,0.0,73,39206,0.0018619599040963118
9,3,0.027020611464434026,10.768631844694681,0.02,103,41049,0.0025091963263416893
9,4,0.010814219883677324,6.169512443637913,0.0,80,45640,0.0017528483786152498
