window,client,auprc,ap_lift,p_at_budget,positives,transactions,prevalence
0,0,0.00022952237820466015,0.7776149659431139,0.0,67,226994,0.00029516198666044036
0,1,0.00023046123035785874,0.9779576217989664,0.0,50,212174,0.00023565564112473724
0,2,0.00014376021670548935,0.6135178659990148,0.0,51,217650,0.0002343211578221916
0,3,0.00016256107431285533,0.6818225828047048,0.0,51,213907,0.00023842137003464122
0,4,0.004445393749064351,10.539294873267169,0.02,103,244196,0.00042179233075070844
1,0,0.0004481720019886626,0.7933153721565224,0.0,88,155770,0.0005649354818000899
1,1,0.0005233146508090645,0.9516063781817463,0.0,76,138200,0.0005499276410998552
1,2,0.00048236535597616576,1.1014391791103386,0.0,63,143855,0.00043794098223906016
1,3,0.00028487848979919173,0.6672518947573269,0.0,60,140534,0.0004269429461909573
1,4,0.0035765962302347814,5.204982067620187,0.0,121,176090,0.0006871486171843944
2,0,0.0015715156843934429,0.9336985825969819,0.0,72,42778,0.0016831081396979756
2,1,0.005533749458942414,2.3667038135413936,0.0,89,38064,0.002338167297183691
2,2,0.009787019628880109,6.213494623096433,0.0,62,39362,0.0015751232152837762
2,3,0.0012451632544586387,0.6907276333411915,0.0,70,38831,0.001802683423038294
2,4,0.01877682681192087,9.263298427305493,0.02,98,48347,0.0020270130514819947
3,0,0.008629709700598018,4.805515487561582,0.0,77,42878,0.0017957927142124167
3,1,0.004076454766730691,1.7628813932125362,0.0,88,38056,0.002312381753205802
3,2,0.012283674619692311,6.893422715505329,0.0,70,39283,0.001781941297762391
3,3,0.0041487318532829436,1.7343483547519816,0.04,93,38878,0.002392098358969083
3,4,0.010483918017312065,6.414432624895932,0.0,79,48335,0.0016344263990896867
4,0,0.003109572512414021,4.029763671736955,0.02,77,99786,0.0007716513338544485
4,1,0.006258146719843277,7.116731939952684,0.04,77,87564,0.0008793568133022703
4,2,0.00476822467151853,4.742414064057484,0.02,92,91502,0.0010054425039889838
4,3,0.003470375115290961,3.4852704332015363,0.02,89,89382,0.0009957262088563692
4,4,0.0035491157301214874,2.9858501865998535,0.0,136,114416,0.0011886449447629703
5,0,0.008499918517448234,9.63349855972974,0.0,88,99736,0.0008823293494826342
5,1,0.01271492718148041,11.015029540574172,0.04,101,87497,0.0011543252911528396
5,2,0.010117439772271265,7.968530452364201,0.0,116,91362,0.0012696744817320112
5,3,0.008788245146018094,8.086906943179681,0.04,97,89259,0.0010867251481643308
5,4,0.009842946185885873,8.716348508098237,0.04,129,114235,0.0011292511051779227
6,0,0.009207700346126987,9.288337479461251,0.04,99,99867,0.0009913184535432125
6,1,0.009496363177274902,9.565566559509296,0.0,87,87634,0.0009927653650409658
6,2,0.00830905280561759,8.734533613077664,0.0,87,91455,0.0009512875184516976
6,3,0.011534823220494332,10.315477057855876,0.04,100,89429,0.0011182055038074898
6,4,0.009740344131505865,8.98358223341774,0.02,124,114366,0.0010842383225783887
7,0,0.013828631040291178,13.938002940337118,0.02,99,99783,0.0009921529719491295
7,1,0.02123574247306246,17.886620857262745,0.02,104,87598,0.0011872417178474394
7,2,0.018305330882673495,17.09531115351065,0.02,98,91522,0.001070780795874216
7,3,0.018172797303763734,14.908529428439053,0.02,109,89421,0.001218953042350231
7,4,0.013044751328521047,11.573323603084539,0.0,129,114449,0.0011271395992975036
8,0,0.004317710894690814,6.21180798462135,0.0,94,135236,0.00069508119139874
8,1,0.004109679321510601,6.160203818978315,0.0,80,119916,0.0006671336602288269
8,2,0.006439131852808819,9.92405360791293,0.0,81,124838,0.0006488408978035534
8,3,0.0037450600946738336,4.4820658915403815,0.02,102,122073,0.0008355656041876582
8,4,0.004660415019449767,4.523986564485492,0.0,157,152404,0.0010301566888008189
9,0,0.023942931242596284,11.071674818148958,0.02,93,43005,0.0021625392396232997
9,1,0.017623494061207882,9.755753321186903,0.02,69,38196,0.0018064718818724473
9,2,0.01817535806998721,8.989759293391549,0.02,80,39569,0.002021784730470823
9,3,0.02175404801546324,9.420227925629431,0.02,90,38973,0.002309291047648372
9,4,0.03637457684153018,16.064997201047444,0.02,110,48582,0.002264213083034869
