window,client,budget,precision,recall
1,0,10,0.0,0.0
1,0,25,0.0,0.0
1,0,50,0.0,0.0
1,0,100,0.0,0.0
1,0,200,0.0,0.0
1,1,10,0.0,0.0
1,1,25,0.0,0.0
1,1,50,0.0,0.0
1,1,100,0.0,0.0
1,1,200,0.0,0.0
1,2,10,0.0,0.0
1,2,25,0.0,0.0
1,2,50,0.0,0.0
1,2,100,0.0,0.0
1,2,200,0.0,0.0
1,3,10,0.0,0.0
1,3,25,0.0,0.0
1,3,50,0.0,0.0
1,3,100,0.0,0.0
1,3,200,0.0,0.0
1,4,10,0.0,0.0
1,4,25,0.0,0.0
1,4,50,0.0,0.0
1,4,100,0.0,0.0
1,4,200,0.0,0.0
2,0,10,0.0,0.0
2,0,25,0.0,0.0
2,0,50,0.0,0.0
2,0,100,0.01,0.011363636363636364
2,0,200,0.005,0.011363636363636364
2,1,10,0.0,0.0
2,1,25,0.0,0.0
2,1,50,0.02,0.010869565217391304
2,1,100,0.02,0.021739130434782608
2,1,200,0.01,0.021739130434782608
2,2,10,0.0,0.0
2,2,25,0.0,0.0
2,2,50,0.04,0.023809523809523808
2,2,100,0.02,0.023809523809523808
2,2,200,0.055,0.13095238095238096
2,3,10,0.0,0.0
2,3,25,0.0,0.0
2,3,50,0.04,0.023809523809523808
2,3,100,0.02,0.023809523809523808
2,3,200,0.01,0.023809523809523808
2,4,10,0.0,0.0
2,4,25,0.0,0.0
2,4,50,0.0,0.0
2,4,100,0.0,0.0
2,4,200,0.005,0.023255813953488372
3,0,10,0.0,0.0
3,0,25,0.0,0.0
3,0,50,0.0,0.0
3,0,100,0.0,0.0
3,0,200,0.005,0.014084507042253521
3,1,10,0.0,0.0
3,1,25,0.0,0.0
3,1,50,0.0,0.0
3,1,100,0.0,0.0
3,1,200,0.0,0.0
3,2,10,0.0,0.0
3,2,25,0.0,0.0
3,2,50,0.02,0.014084507042253521
3,2,100,0.01,0.014084507042253521
3,2,200,0.02,0.056338028169014086
3,3,10,0.0,0.0
3,3,25,0.0,0.0
3,3,50,0.0,0.0
3,3,100,0.0,0.0
3,3,200,0.01,0.021052631578947368
3,4,10,0.0,0.0
3,4,25,0.0,0.0
3,4,50,0.02,0.011235955056179775
3,4,100,0.03,0.033707865168539325
3,4,200,0.02,0.0449438202247191
4,0,10,0.0,0.0
4,0,25,0.0,0.0
4,0,50,0.0,0.0
4,0,100,0.0,0.0
4,0,200,0.005,0.011111111111111112
4,1,10,0.0,0.0
4,1,25,0.0,0.0
4,1,50,0.02,0.010309278350515464
4,1,100,0.01,0.010309278350515464
4,1,200,0.005,0.010309278350515464
4,2,10,0.1,0.010526315789473684
4,2,25,0.04,0.010526315789473684
4,2,50,0.02,0.010526315789473684
4,2,100,0.02,0.021052631578947368
4,2,200,0.015,0.031578947368421054
4,3,10,0.1,0.00980392156862745
4,3,25,0.04,0.00980392156862745
4,3,50,0.02,0.00980392156862745
4,3,100,0.01,0.00980392156862745
4,3,200,0.005,0.00980392156862745
4,4,10,0.0,0.0
4,4,25,0.0,0.0
4,4,50,0.0,0.0
4,4,100,0.02,0.022988505747126436
4,4,200,0.015,0.034482758620689655
5,0,10,0.0,0.0
5,0,25,0.04,0.010526315789473684
5,0,50,0.04,0.021052631578947368
5,0,100,0.02,0.021052631578947368
5,0,200,0.015,0.031578947368421054
5,1,10,0.0,0.0
5,1,25,0.04,0.008403361344537815
5,1,50,0.02,0.008403361344537815
5,1,100,0.01,0.008403361344537815
5,1,200,0.01,0.01680672268907563
5,2,10,0.1,0.007936507936507936
5,2,25,0.04,0.007936507936507936
5,2,50,0.04,0.015873015873015872
