window,client,auprc,ap_lift,p_at_budget,positives,transactions,prevalence
0,0,0.00016687741869091525,0.7641636554360886,0.0,47,215222,0.0002183791619815818
0,1,0.0004035603813155737,1.0310230051593299,0.0,93,237598,0.00039141743617370514
0,2,0.000862692502516158,2.8484407190275554,0.0,66,217919,0.000302864825921558
0,3,0.00043822857331448,1.4812125778029424,0.0,69,233220,0.0002958579881656805
0,4,0.0004286072077304103,1.923826250153677,0.0,47,210962,0.0002227889382922043
1,0,0.0003084829655381359,0.6593542949318074,0.0,66,141069,0.00046785615549837313
1,1,0.00046318822610281487,0.753598249923142,0.0,103,167579,0.0006146354853531767
1,2,0.0037069930252120326,6.976464587915923,0.0,77,144912,0.0005313569614662692
1,3,0.0006284258793769637,0.983522756564143,0.0,104,162766,0.0006389540813191944
1,4,0.0028405077794940573,6.764473379776856,0.0,58,138123,0.00041991558248807224
2,0,0.0017949955613406684,0.7922253705330707,0.02,88,38839,0.0022657637941244624
2,1,0.006585915125890815,3.3038386401099222,0.02,92,46152,0.0019934130698561277
2,2,0.022840711075127102,10.798761900447593,0.04,84,39714,0.002115123130382233
2,3,0.012471381860214636,6.705743251172074,0.04,84,45166,0.0018598060487977682
2,4,0.011359182253247717,9.909169430269188,0.0,43,37511,0.0011463304097464745
3,0,0.0067943160073991125,3.7157252993140863,0.0,71,38829,0.001828530222256561
3,1,0.007626811279060033,4.348035694375731,0.0,81,46178,0.0017540820304040884
3,2,0.013112662754774636,7.31631176099151,0.02,71,39615,0.0017922504101981573
3,3,0.014978385273476037,7.126085044266279,0.0,95,45197,0.002101909418766732
3,4,0.01951374866493193,8.246422483559043,0.02,89,37611,0.0023663289994948285
4,0,0.0033428425060326268,3.341616797113748,0.0,90,89967,0.0010003668011604255
4,1,0.0037483077493390806,4.191574122459375,0.02,97,108471,0.0008942482322464068
4,2,0.007889453187539376,7.648451154378963,0.02,95,92098,0.0010315099133531673
4,3,0.0075202056930622685,7.730034177400065,0.02,102,104846,0.0009728554260534498
4,4,0.006452788193106548,6.472665747540486,0.0,87,87268,0.0009969290003208507
5,0,0.006042635695957393,5.716651401833375,0.04,95,89875,0.0010570236439499305
5,1,0.009579258516439365,8.723565087617933,0.02,119,108370,0.0010980898772723078
5,2,0.019415787986184933,14.168131955474394,0.04,126,91945,0.0013703844689760183
5,3,0.010304220420809153,11.121971851730688,0.02,97,104698,0.0009264742401956102
5,4,0.024233155165529735,22.48037620839743,0.12,94,87201,0.001077969289343012
6,0,0.012240444506352059,10.305767894282658,0.02,107,90088,0.0011877275552792824
6,1,0.00869196828630395,8.897787535347563,0.0,106,108510,0.0009768684913832827
6,2,0.018275475112164367,17.520659916125496,0.04,96,92035,0.0010430814364100615
6,3,0.011863106569732185,12.070883698390407,0.02,103,104804,0.0009827869165299034
6,4,0.012554236819489637,12.896007454787274,0.02,85,87314,0.0009734979499278466
7,0,0.01740025679775135,13.866002868353219,0.0,113,90048,0.0012548862828713574
7,1,0.015717896183119483,13.756328090911628,0.06,124,108525,0.001142593872379636
7,2,0.016329123528932267,16.337820562116153,0.04,92,92049,0.0009994676748253648
7,3,0.02016252472787641,16.381035400231124,0.02,129,104806,0.0012308455622769689
7,4,0.020055012627562072,21.6259886167211,0.02,81,87345,0.0009273570324574962
8,0,0.004954381656542464,6.081503483405875,0.04,100,122750,0.000814663951120163
8,1,0.005748788227682774,7.511283832874417,0.02,111,145031,0.0007653536140549262
8,2,0.005506458816221118,8.445631937284315,0.0,82,125769,0.0006519889638941233
8,3,0.007601552481329891,9.001707345517033,0.02,119,140919,0.0008444567446547307
8,4,0.005833778678013278,6.8631546451395815,0.0,102,119998,0.0008500141669027817
9,0,0.020056643075072263,8.425731056989228,0.02,93,39069,0.0023804039007909086
9,1,0.017737474658371596,9.782639594917136,0.0,84,46328,0.0018131583491624935
9,2,0.022677863586658614,9.95034876140775,0.02,91,39928,0.002279102384291725
9,3,0.03033154186851213,15.60385490828878,0.04,88,45271,0.0019438492633253076
9,4,0.022344311328073664,9.802657233684782,0.0,86,37729,0.0022794137135890165
