window,client,budget,precision,recall
1,0,10,0.0,0.0
1,0,25,0.0,0.0
1,0,50,0.0,0.0
1,0,100,0.0,0.0
1,0,200,0.0,0.0
1,1,10,0.0,0.0
1,1,25,0.0,0.0
1,1,50,0.0,0.0
1,1,100,0.0,0.0
1,1,200,0.0,0.0
1,2,10,0.0,0.0
1,2,25,0.0,0.0
1,2,50,0.0,0.0
1,2,100,0.0,0.0
1,2,200,0.0,0.0
1,3,10,0.0,0.0
1,3,25,0.0,0.0
1,3,50,0.0,0.0
1,3,100,0.0,0.0
1,3,200,0.0,0.0
1,4,10,0.0,0.0
1,4,25,0.0,0.0
1,4,50,0.0,0.0
1,4,100,0.0,0.0
1,4,200,0.0,0.0
2,0,10,0.0,0.0
2,0,25,0.04,0.01694915254237288
2,0,50,0.02,0.01694915254237288
2,0,100,0.03,0.05084745762711865
2,0,200,0.025,0.0847457627118644
2,1,10,0.0,0.0
2,1,25,0.0,0.0
2,1,50,0.0,0.0
2,1,100,0.0,0.0
2,1,200,0.0,0.0
2,2,10,0.0,0.0
2,2,25,0.0,0.0
2,2,50,0.02,0.011904761904761904
2,2,100,0.01,0.011904761904761904
2,2,200,0.015,0.03571428571428571
2,3,10,0.0,0.0
2,3,25,0.0,0.0
2,3,50,0.0,0.0
2,3,100,0.01,0.014925373134328358
2,3,200,0.005,0.014925373134328358
2,4,10,0.0,0.0
2,4,25,0.0,0.0
2,4,50,0.02,0.014084507042253521
2,4,100,0.01,0.014084507042253521
2,4,200,0.02,0.056338028169014086
3,0,10,0.0,0.0
3,0,25,0.0,0.0
3,0,50,0.0,0.0
3,0,100,0.01,0.0125
3,0,200,0.005,0.0125
3,1,10,0.0,0.0
3,1,25,0.0,0.0
3,1,50,0.0,0.0
3,1,100,0.02,0.025974025974025976
3,1,200,0.02,0.05194805194805195
3,2,10,0.0,0.0
3,2,25,0.0,0.0
3,2,50,0.0,0.0
3,2,100,0.0,0.0
3,2,200,0.01,0.029411764705882353
3,3,10,0.0,0.0
3,3,25,0.0,0.0
3,3,50,0.02,0.01282051282051282
3,3,100,0.01,0.01282051282051282
3,3,200,0.02,0.05128205128205128
3,4,10,0.0,0.0
3,4,25,0.0,0.0
3,4,50,0.0,0.0
3,4,100,0.0,0.0
3,4,200,0.0,0.0
4,0,10,0.0,0.0
4,0,25,0.0,0.0
4,0,50,0.0,0.0
4,0,100,0.0,0.0
4,0,200,0.0,0.0
4,1,10,0.0,0.0
4,1,25,0.0,0.0
4,1,50,0.0,0.0
4,1,100,0.0,0.0
4,1,200,0.01,0.02531645569620253
4,2,10,0.0,0.0
4,2,25,0.0,0.0
4,2,50,0.0,0.0
4,2,100,0.0,0.0
4,2,200,0.005,0.009433962264150943
4,3,10,0.0,0.0
4,3,25,0.0,0.0
4,3,50,0.0,0.0
4,3,100,0.0,0.0
4,3,200,0.0,0.0
4,4,10,0.0,0.0
4,4,25,0.04,0.013157894736842105
4,4,50,0.04,0.02631578947368421
4,4,100,0.02,0.02631578947368421
4,4,200,0.025,0.06578947368421052
5,0,10,0.0,0.0
5,0,25,0.08,0.019230769230769232
5,0,50,0.06,0.028846153846153848
5,0,100,0.05,0.04807692307692308
5,0,200,0.03,0.057692307692307696
5,1,10,0.1,0.009900990099009901
5,1,25,0.04,0.009900990099009901
5,1,50,0.02,0.009900990099009901
5,1,100,0.01,0.009900990099009901
5,1,200,0.02,0.039603960396039604
5,2,10,0.0,0.0
5,2,25,0.0,0.0
5,2,50,0.0,0.0
5,2,100,0.0,0.0
5,2,200,0.005,0.007142857142857143
5,3,10,0.1,0.009174311926605505
5,3,25,0.08,0.01834862385321101
