window,client,auprc,ap_lift,p_at_budget,positives,transactions,prevalence
0,0,0.00020778253904627877,1.0148146430324585,0.0,44,214897,0.0002047492519672215
0,1,0.0003157705713899028,0.9901967715003641,0.0,74,232050,0.00031889678948502476
0,2,0.00025461329224359065,0.7919578946491991,0.0,76,236393,0.0003214985215298253
0,3,0.00020086525224722394,0.6443058630343997,0.0,69,221328,0.00031175450010843635
0,4,0.00019755597225404773,0.8476481688695461,0.0,49,210243,0.00023306364540079811
1,0,0.0004688423119157512,0.8385452463561528,0.0,79,141295,0.0005591139106125482
1,1,0.0005573071085853091,0.8813757284324841,0.0,102,161312,0.0006323150168617337
1,2,0.0004824490091464951,0.9609686745558452,0.0,83,165324,0.000502044470252353
1,3,0.00040736364274816475,0.8819422865497767,0.0,69,149385,0.00046189376443418013
1,4,0.0005022564531112451,1.0761001463050024,0.0,64,137122,0.0004667376496842228
2,0,0.019555365936843712,12.833291757773758,0.02,59,38719,0.0015237996849092176
2,1,0.004589824449039668,2.8067090877415173,0.0,73,44640,0.001635304659498208
2,2,0.010885469610341456,5.878412767432252,0.02,84,45362,0.00185177020413562
2,3,0.005562696802326711,3.3974793410150945,0.0,67,40921,0.0016373011412233328
2,4,0.013800585748840414,7.328499781528593,0.02,71,37703,0.0018831392727369175
3,0,0.011634200882346577,5.639824305228532,0.0,80,38781,0.0020628658363631676
3,1,0.0126978050582518,7.3459275860374635,0.02,77,44546,0.0017285502626498452
3,2,0.008739484497136102,5.831549552544904,0.0,68,45374,0.0014986556177546612
3,3,0.01128115793711624,5.935480007452736,0.02,78,41039,0.0019006311069957845
3,4,0.009716591946817113,5.460579650350817,0.0,67,37653,0.0017794066873821476
4,0,0.003996255094211621,4.723415774446522,0.0,76,89829,0.0008460519431364036
4,1,0.005083875832671906,6.676609084046966,0.0,79,103750,0.0007614457831325301
4,2,0.0023446794642112924,2.3671751152971687,0.0,106,107017,0.0009904968369511386
4,3,0.0027719216647747024,2.751190000656908,0.0,96,95282,0.0010075355261224576
4,4,0.006786252290166692,7.7447211333594455,0.02,76,86734,0.0008762423040560795
5,0,0.012266953800467236,10.577888623325977,0.06,104,89680,0.0011596788581623551
5,1,0.010060616901446915,10.334146149084273,0.02,101,103746,0.0009735315096485648
5,2,0.01388783435087392,10.599393574220558,0.0,140,106850,0.0013102480112306973
5,3,0.01758955382499196,15.374883763577378,0.04,109,95276,0.0011440446702212519
5,4,0.01455559147236828,14.315424213074202,0.04,88,86548,0.0010167768174885613
6,0,0.012121135926501924,10.800772189240794,0.0,101,89998,0.0011222471610480233
6,1,0.009527975825826233,10.985756127177646,0.0,90,103770,0.0008673026886383347
6,2,0.021143458810900205,17.541531285099097,0.04,129,107024,0.0012053371206458365
6,3,0.016119662219914455,14.230975129814478,0.02,108,95346,0.0011327166320558807
6,4,0.010062734062772428,11.32005308118715,0.02,77,86621,0.0008889299361586683
7,0,0.016102949387900977,16.451358656475563,0.02,88,89904,0.0009788218544224952
7,1,0.013380390349596179,12.398006868839666,0.02,112,103777,0.0010792372105572527
7,2,0.015010902195835044,11.812586659594515,0.0,136,107023,0.001270754884464087
7,3,0.028089025803390892,21.597516025586273,0.04,124,95343,0.001300567424981383
7,4,0.025034074367812964,18.72440857219445,0.0,116,86763,0.0013369754388391365
8,0,0.010122807061907348,10.106676410003821,0.02,123,122804,0.0010015960392169637
8,1,0.0036620324718411148,4.054858113820515,0.0,126,139516,0.0009031222225407839
8,2,0.006312706976983538,6.956214614360352,0.02,130,143252,0.0009074916929606567
8,3,0.008247312304315831,12.40712237204034,0.02,86,129377,0.0006647240235899735
8,4,0.006463531743852647,8.30959981030656,0.02,93,119562,0.0007778391127615798
9,0,0.024619546334154318,8.87101523697792,0.0,108,38915,0.0027752794552229217
9,1,0.025442729106323485,9.831640794749571,0.02,116,44825,0.0025878416062465144
9,2,0.019165001583248967,8.910943491248188,0.02,98,45566,0.0021507264188210507
9,3,0.017212145469989996,11.065258019019819,0.02,64,41144,0.0015555123468792534
9,4,0.022867446026780973,9.739990381833856,0.0,89,37908,0.002347789384826422
