window,client,purity,nmi,ari,named_purity,named_nmi,named_ari,cosine_gap,confirmed_positives
1,0,0.7142857142857143,0.3386618059730746,0.03289473684210526,0.6,0.16336407391907906,-0.2962962962962963,0.005736410617828369,14
1,1,0.8333333333333334,0.16258371580666256,-0.12100108813928183,0.3333333333333333,0.0,0.0,-0.034840166568756104,18
1,2,,,,,,,,12
1,3,0.7647058823529411,0.2726604861368988,0.028373137374974485,0.5,0.0,0.0,-0.025141000747680664,17
1,4,0.6666666666666666,0.6630379121765775,0.12389380530973451,0.5,0.44803616264919527,0.06896551724137931,0.03319746255874634,9
2,0,0.75,0.29245577388673755,0.16523867809057527,0.5555555555555556,0.3184068329749777,-0.008403361344537815,0.0020665526390075684,32
2,1,0.8181818181818182,0.11735299421000855,-0.13549209291548397,0.3,0.19276456371768888,0.0,-0.04086005687713623,55
2,2,0.851063829787234,0.1401379421820858,-0.011983338673502082,0.2857142857142857,0.18824626070118766,-0.19213973799126638,-0.036673784255981445,47
2,3,0.68,0.25161957349317116,-0.0076263107721639654,0.375,0.13005631511610896,-0.0024752475247524753,-0.042105019092559814,50
2,4,0.4827586206896552,0.3750346986846171,0.03439874702708974,0.4444444444444444,0.38829093631935646,0.03128491620111732,-0.020932793617248535,29
3,0,0.6190476190476191,0.16456821207577954,0.033904876296614456,0.375,0.06670749698486485,-0.045407958647119114,-0.0166778564453125,63
3,1,0.8383838383838383,0.1285937323206498,-0.0014921653531042647,0.3125,0.11506990753641251,-0.03333333333333333,-0.028027236461639404,99
3,2,0.7938144329896907,0.15242890697015365,-0.06557768543726418,0.25,0.18264311733331928,0.02991759226083841,-0.032235801219940186,97
3,3,0.6292134831460674,0.22176649750744865,0.04183731024842436,0.2727272727272727,0.0668163829045777,-0.04340141398271799,-0.029126882553100586,89
3,4,0.47692307692307695,0.16508341047964317,-0.07850370463393193,0.35294117647058826,0.20846323847068327,0.03300561797752809,-0.02565455436706543,65
4,0,0.5826086956521739,0.12121773243122194,0.06549480998423526,0.3541666666666667,0.08244025770525942,0.05259613337719892,-0.0168953537940979,115
4,1,0.774390243902439,0.1487134392366505,-0.020069981088612434,0.2702702702702703,0.07419843884326692,-0.011915871078888808,-0.015480756759643555,164
4,2,0.7421383647798742,0.1601708437729802,-0.08342536949279886,0.36585365853658536,0.16790308126421324,0.06876350540216086,-0.022291600704193115,159
4,3,0.5869565217391305,0.11128525427208746,-0.1386099955377064,0.21052631578947367,0.0360775809676735,-0.004899841475716962,-0.026740193367004395,138
4,4,0.49107142857142855,0.14712519898476556,-0.02330138497595636,0.2833333333333333,0.11680897635090048,-0.012983846144621178,-0.01569920778274536,112
5,0,0.5485714285714286,0.1170269770839397,0.02308056536686832,0.3924050632911392,0.14146556309451927,0.08068089322633593,-0.025045931339263916,175
5,1,0.7106382978723405,0.1539977342101337,-0.022394893731023536,0.27941176470588236,0.0379281424033725,-0.01027120980464927,-0.02294379472732544,235
5,2,0.6902654867256637,0.13116400078819485,-0.10002326307261937,0.22857142857142856,0.02158558930004916,-0.004735979614331996,-0.02649778127670288,226
5,3,0.5412371134020618,0.09975876789297566,-0.026274254675580366,0.3258426966292135,0.15486800180063473,0.06976248947690898,-0.019436001777648926,194
5,4,0.46706586826347307,0.14247392044065654,0.02073587345353964,0.25,0.1070883348059194,0.002644406920062446,-0.007132589817047119,167
6,0,0.5521739130434783,0.09381618645191432,0.04993684573843508,0.34615384615384615,0.1332250919739986,0.05464656576659505,-0.021672070026397705,230
6,1,0.6887417218543046,0.12697456141244123,-0.06399357824600936,0.26595744680851063,0.0355315148124562,0.0059870499076174625,-0.02084559202194214,302
6,2,0.6722408026755853,0.12890105203552793,-0.096822120073756,0.20408163265306123,0.013641665899961209,-0.007754711746309489,-0.01876997947692871,299
6,3,0.5437262357414449,0.15736097724422654,0.13100262501729898,0.3252032520325203,0.14965726385942327,0.067340227810981,-0.012808799743652344,263
6,4,0.45495495495495497,0.13867124848282505,0.015820205512459124,0.2809917355371901,0.13806384733108995,0.034999571575716176,-0.004746079444885254,222
7,0,0.5337837837837838,0.09877134516222852,0.044647867002178765,0.3237410071942446,0.08990255869278696,0.05248823799984564,-0.026739835739135742,296
7,1,0.6776859504132231,0.10018457087307353,-0.024940934261960288,0.27350427350427353,0.053076812759088154,0.0024939279432823905,-0.01926887035369873,363
7,2,0.6243523316062176,0.13122213847921455,-0.06513886227177741,0.20689655172413793,0.033900881946219666,-0.0012824484232699337,-0.021120667457580566,386
7,3,0.5069252077562327,0.11047809351050465,0.07309836494274649,0.24725274725274726,0.056779627096429044,0.01815357822955894,-0.013956904411315918,361
7,4,0.4377224199288256,0.10195484651215925,0.008019030627415998,0.27848101265822783,0.10456680896153213,0.03427472545857165,-0.006043553352355957,281
8,0,0.4947089947089947,0.11060729706066189,0.027154384704759216,0.23036649214659685,0.05551455470158206,0.019491270954937023,-0.02407824993133545,378
8,1,0.6620689655172414,0.14106839416745448,-0.029519868877146485,0.24489795918367346,0.008459325798927771,-0.0029466572724818427,-0.024288952350616455,435
8,2,0.6029106029106029,0.1283008498206218,-0.1007818364436592,0.2094240837696335,0.018968893636538833,-0.005571825599945698,-0.01733154058456421,481
8,3,0.510158013544018,0.12543392831520003,0.07785841336350442,0.22026431718061673,0.0283182474308088,0.007419312259169216,-0.012435734272003174,443
8,4,0.4106145251396648,0.09315341611207843,0.006032463356978531,0.2843601895734597,0.08552520354200552,0.017990310546980214,-0.009230196475982666,358
9,0,0.48484848484848486,0.10030794675527914,0.034909579425296995,0.22268907563025211,0.061059162041408835,0.01804454776531538,-0.0230901837348938,462
9,1,0.6556169429097606,0.13739221433088245,-0.023330333919514962,0.21390374331550802,0.005746694669706244,-0.005039713836866141,-0.029094398021697998,543
9,2,0.5943238731218697,0.18759440548854217,0.1225499471666919,0.25806451612903225,0.10719164797691365,0.05607463833151247,-0.01409083604812622,599
9,3,0.4739776951672863,0.15779371977162251,0.022463582125994853,0.19081272084805653,0.026952434953294593,-0.00014213062241136143,-0.01663130521774292,538
9,4,0.40589569160997735,0.08512393334354083,0.025478298963601462,0.3053435114503817,0.0825234147207084,0.03746183034619972,-0.007620573043823242,441
