window,client,purity,nmi,ari,named_purity,named_nmi,named_ari,cosine_gap,confirmed_positives
1,0,0.7222222222222222,0.2944158357595417,0.02203532380151388,0.4,0.0,0.0,-0.08060562610626221,18
1,1,0.6,0.38451029938255077,-0.14545454545454545,0.5,0.5771596324111234,0.0,-0.07169234752655029,10
1,2,0.5,0.17035585704248424,-0.19774542038515736,0.3333333333333333,0.0,0.0,-0.0711439847946167,18
1,3,0.8571428571428571,0.268092077798182,0.042471781136407115,1.0,1.0,1.0,0.08334606885910034,14
1,4,0.8571428571428571,0.3607684914490385,0.10479041916167664,0.6666666666666666,0.0,0.0,-0.08395099639892578,14
2,0,0.625,0.17187124370992402,-0.15460183378331419,0.26666666666666666,0.11871517180855011,-0.006546644844517185,-0.05542033910751343,40
2,1,0.6296296296296297,0.14398583621364988,-0.23216583273766978,0.4,0.0,0.0,-0.052503764629364014,27
2,2,0.6721311475409836,0.12336668136949189,-0.19927078616876773,0.45,0.08060978700343453,0.0,-0.07264959812164307,61
2,3,0.7254901960784313,0.23967423229558965,0.05643203883495146,0.35714285714285715,0.13329884416588664,-0.028119507908611598,-0.007565796375274658,51
2,4,0.725,0.18361973494112754,0.017763446604720384,0.45454545454545453,0.17495200132003966,-0.13110539845758354,-0.05466508865356445,40
3,0,0.6197183098591549,0.18971796258736326,-0.04019050813439709,0.3333333333333333,0.1236102325255526,0.008109104312569112,-0.0318833589553833,71
3,1,0.6451612903225806,0.09048425835148115,-0.08576818801913347,0.36363636363636365,0.11853036295686277,0.03401532373494991,-0.035409390926361084,62
3,2,0.6972477064220184,0.1622799103017652,-0.1315406214682683,0.3939393939393939,0.10857051301498377,-0.042791310072416065,-0.03404515981674194,109
3,3,0.75,0.18961006508003844,-0.022998178274849013,0.32,0.08684073840769069,-0.007259528130671506,-0.003186941146850586,100
3,4,0.6923076923076923,0.17542907562157883,0.09697274211782439,0.2916666666666667,0.1536159336639126,-0.025591314462970142,-0.02808511257171631,78
4,0,0.6111111111111112,0.20555343960444475,0.10248074572950662,0.4666666666666667,0.3257246458673576,0.20437855064431204,-0.01686173677444458,108
4,1,0.6063829787234043,0.17152786716199003,0.026643765752339617,0.3783783783783784,0.14530881280623936,0.00483333750719992,-0.024663329124450684,94
4,2,0.6772151898734177,0.1561850145135239,-0.1513387766252481,0.3137254901960784,0.07415926287260498,-0.022804553549545237,-0.036272287368774414,158
4,3,0.7160493827160493,0.16927215073930732,0.0017600917753250937,0.2608695652173913,0.052214435641845865,-0.013974093603948712,-0.017449140548706055,162
4,4,0.6299212598425197,0.15748556856260235,-0.03368539450907976,0.2765957446808511,0.12016115112360597,-0.009212491771735278,-0.021586298942565918,127
5,0,0.5448717948717948,0.1422813102948745,0.05687732541753105,0.4225352112676056,0.19893268283696255,0.13023998997430916,-0.016092300415039062,156
5,1,0.6511627906976745,0.09184614804401112,0.061296957412610216,0.35555555555555557,0.1068354369399417,-0.008017626537731807,-0.013517677783966064,129
5,2,0.6322314049586777,0.2599860315372138,0.11480070027458203,0.2967032967032967,0.20093690554496677,0.06273284263333197,-0.039351046085357666,242
5,3,0.695067264573991,0.20801099171233872,0.03077854389462061,0.29411764705882354,0.10456383909717608,0.04394935661013172,-0.013987183570861816,223
5,4,0.6120218579234973,0.09917347031991625,0.011418352024219572,0.2535211267605634,0.11620823125543966,-0.017299997405932632,-0.025107741355895996,183
