window,client,budget,precision,recall
1,0,10,0.0,0.0
1,0,25,0.0,0.0
1,0,50,0.0,0.0
1,0,100,0.0,0.0
1,0,200,0.0,0.0
1,1,10,0.0,0.0
1,1,25,0.0,0.0
1,1,50,0.02,0.00909090909090909
1,1,100,0.01,0.00909090909090909
1,1,200,0.01,0.01818181818181818
1,2,10,0.0,0.0
1,2,25,0.0,0.0
1,2,50,0.0,0.0
1,2,100,0.0,0.0
1,2,200,0.0,0.0
1,3,10,0.0,0.0
1,3,25,0.0,0.0
1,3,50,0.0,0.0
1,3,100,0.0,0.0
1,3,200,0.0,0.0
1,4,10,0.0,0.0
1,4,25,0.0,0.0
1,4,50,0.0,0.0
1,4,100,0.0,0.0
1,4,200,0.0,0.0
2,0,10,0.0,0.0
2,0,25,0.0,0.0
2,0,50,0.0,0.0
2,0,100,0.0,0.0
2,0,200,0.0,0.0
2,1,10,0.0,0.0
2,1,25,0.0,0.0
2,1,50,0.0,0.0
2,1,100,0.01,0.009900990099009901
2,1,200,0.005,0.009900990099009901
2,2,10,0.0,0.0
2,2,25,0.0,0.0
2,2,50,0.0,0.0
2,2,100,0.01,0.015384615384615385
2,2,200,0.015,0.046153846153846156
2,3,10,0.0,0.0
2,3,25,0.0,0.0
2,3,50,0.0,0.0
2,3,100,0.01,0.014492753623188406
2,3,200,0.005,0.014492753623188406
2,4,10,0.0,0.0
2,4,25,0.0,0.0
2,4,50,0.0,0.0
2,4,100,0.0,0.0
2,4,200,0.0,0.0
3,0,10,0.0,0.0
3,0,25,0.0,0.0
3,0,50,0.0,0.0
3,0,100,0.0,0.0
3,0,200,0.0,0.0
3,1,10,0.0,0.0
3,1,25,0.0,0.0
3,1,50,0.02,0.009523809523809525
3,1,100,0.03,0.02857142857142857
3,1,200,0.02,0.0380952380952381
3,2,10,0.0,0.0
3,2,25,0.0,0.0
3,2,50,0.04,0.025974025974025976
3,2,100,0.05,0.06493506493506493
3,2,200,0.03,0.07792207792207792
3,3,10,0.0,0.0
3,3,25,0.0,0.0
3,3,50,0.02,0.016129032258064516
3,3,100,0.01,0.016129032258064516
3,3,200,0.015,0.04838709677419355
3,4,10,0.0,0.0
3,4,25,0.0,0.0
3,4,50,0.0,0.0
3,4,100,0.0,0.0
3,4,200,0.005,0.012658227848101266
4,0,10,0.0,0.0
4,0,25,0.0,0.0
4,0,50,0.0,0.0
4,0,100,0.0,0.0
4,0,200,0.0,0.0
4,1,10,0.0,0.0
4,1,25,0.0,0.0
4,1,50,0.0,0.0
4,1,100,0.01,0.008130081300813009
4,1,200,0.005,0.008130081300813009
4,2,10,0.0,0.0
4,2,25,0.0,0.0
4,2,50,0.02,0.013333333333333334
4,2,100,0.01,0.013333333333333334
4,2,200,0.005,0.013333333333333334
4,3,10,0.0,0.0
4,3,25,0.04,0.014084507042253521
4,3,50,0.02,0.014084507042253521
4,3,100,0.01,0.014084507042253521
4,3,200,0.005,0.014084507042253521
4,4,10,0.0,0.0
4,4,25,0.08,0.021739130434782608
4,4,50,0.04,0.021739130434782608
4,4,100,0.03,0.03260869565217391
4,4,200,0.015,0.03260869565217391
5,0,10,0.0,0.0
5,0,25,0.0,0.0
5,0,50,0.0,0.0
5,0,100,0.03,0.024193548387096774
5,0,200,0.015,0.024193548387096774
5,1,10,0.0,0.0
5,1,25,0.04,0.007407407407407408
5,1,50,0.02,0.007407407407407408
5,1,100,0.02,0.014814814814814815
5,1,200,0.03,0.044444444444444446
5,2,10,0.0,0.0
5,2,25,0.0,0.0
5,2,50,0.02,0.014705882352941176
5,2,100,0.01,0.014705882352941176
5,2,200,0.01,0.029411764705882353
