window,client,auprc,ap_lift,p_at_budget,positives,transactions,prevalence
0,0,0.0001981256130557848,0.8399840174135468,0.0,52,220462,0.00023586831290653263
0,1,0.010788906062360635,26.69995766226513,0.02,96,237577,0.00040407951948210474
0,2,0.0002219357666293681,1.514883428484118,0.0,31,211599,0.00014650352789947023
0,3,0.00022618192338153567,0.8334690785647899,0.0,60,221097,0.0002713741027693727
0,4,0.0002291737620536027,0.7339224251548896,0.0,70,224173,0.0003122588358098433
1,0,0.00040723269144308404,1.0021725047953336,0.0,60,147656,0.0004063498943490275
1,1,0.007879379643995658,11.960683407413299,0.02,110,166977,0.000658773363996239
1,2,0.002576695592060881,5.625539976419395,0.0,63,137544,0.00045803524690280926
1,3,0.0003699720923731508,0.7874803133006462,0.0,70,148994,0.00046981757654670657
1,4,0.0005354637891792682,0.8548958281637213,0.0,96,153269,0.0006263497510912187
2,0,0.0028630812025855104,2.243829774018602,0.0,52,40753,0.0012759796824773637
2,1,0.012999919132551227,5.9726262129482635,0.0,101,46403,0.002176583410555352
2,2,0.014843232250767564,8.535315259029835,0.0,65,37377,0.0017390373759263718
2,3,0.00292054354991905,1.7294697021694547,0.0,69,40860,0.0016886930983847283
2,4,0.00574928412290104,3.0930411493499532,0.0,78,41963,0.001858780354121488
3,0,0.0075781146103956806,4.750778342446363,0.0,65,40749,0.0015951311688630395
3,1,0.009797812876576203,4.333246041547102,0.0,105,46438,0.0022610792885137173
3,2,0.02071738034669854,10.061920426305003,0.04,77,37397,0.0020589886889322674
3,3,0.005737596368176788,3.785425474843089,0.02,62,40905,0.0015157071262681824
3,4,0.005985037788354197,3.176009546371958,0.0,79,41922,0.0018844520776680502
4,0,0.003116308400669488,4.210577836218859,0.0,70,94580,0.00074011418904631
4,1,0.003541480218563074,3.1259177470629043,0.0,123,108567,0.0011329409489071265
4,2,0.005968530988340947,6.898030214258577,0.0,75,86680,0.0008652514997692663
4,3,0.003111766878649943,4.15460323232032,0.02,71,94794,0.0007489925522712408
4,4,0.004096215842823685,4.362870589374458,0.04,92,97989,0.0009388808947943136
5,0,0.008578121479052585,6.538396383811735,0.0,124,94515,0.0013119610643813151
5,1,0.00730173987219719,5.867732248259679,0.04,135,108487,0.001244388728603427
5,2,0.011845054211019845,15.076837898917656,0.02,68,86553,0.0007856457892851779
5,3,0.012056762323369243,9.846529126761942,0.02,116,94735,0.0012244682535493747
5,4,0.0059173542505878965,6.430257367352743,0.0,90,97801,0.0009202359894070613
6,0,0.0063231197073882195,5.990080992400082,0.0,100,94733,0.0010555983659337295
6,1,0.00821172597336108,7.6893610944177055,0.02,116,108621,0.0010679334566980603
6,2,0.016394101955029956,17.75870601651176,0.0,80,86659,0.0009231585871057825
6,3,0.005747210292801119,6.120972688022837,0.0,89,94788,0.0009389374182385956
6,4,0.0141847723073848,12.295687011333172,0.02,113,97951,0.0011536380435115518
7,0,0.012154760987995778,9.514766991917124,0.0,121,94719,0.001277462811051637
7,1,0.011435285432456904,8.996835110566257,0.0,138,108573,0.0012710342350308087
7,2,0.029031301243881265,22.277798449209524,0.02,113,86713,0.0013031494700909898
7,3,0.009028600396295284,8.919316712331794,0.0,96,94838,0.0010122524726375504
7,4,0.012340599047959516,11.624251005146713,0.02,104,97963,0.0010616253075140614
8,0,0.00435427829246071,4.847750544509757,0.0,115,128033,0.000898205931283341
8,1,0.005893892157433338,6.431565793118591,0.0,133,145133,0.0009164008185595282
8,2,0.006366469922441482,9.378045990938617,0.0,81,119316,0.0006788695564718897
8,3,0.004231819007388459,4.835733284495949,0.04,113,129126,0.0008751142295122593
8,4,0.005416820209981135,6.855734012807743,0.0,105,132892,0.0007901152815820365
9,0,0.02038723874695978,7.884091421843164,0.0,106,40992,0.002585870413739266
9,1,0.022790707584843722,9.46669016305446,0.02,112,46522,0.0024074631357207344
9,2,0.020932284053261436,8.549700411623967,0.02,92,37577,0.002448306144716183
9,3,0.015876262802262106,7.083919435139777,0.0,92,41050,0.002241169305724726
9,4,0.01644492256654175,8.901763084673409,0.04,78,42222,0.0018473781440954953
