window,client,auprc,ap_lift,p_at_budget,positives,transactions,prevalence
0,0,0.0001981256130557848,0.8399840174135468,0.0,52,220462,0.00023586831290653263
0,1,0.010788906062360635,26.69995766226513,0.02,96,237577,0.00040407951948210474
0,2,0.0002219357666293681,1.514883428484118,0.0,31,211599,0.00014650352789947023
0,3,0.00022618192338153567,0.8334690785647899,0.0,60,221097,0.0002713741027693727
0,4,0.0002291737620536027,0.7339224251548896,0.0,70,224173,0.0003122588358098433
1,0,0.0004103138955643081,1.0097551427240579,0.0,60,147656,0.0004063498943490275
1,1,0.007125391694917434,10.816150264020258,0.02,110,166977,0.000658773363996239
1,2,0.002316726647984396,5.05796587413279,0.0,63,137544,0.00045803524690280926
1,3,0.0003776608249384581,0.8038456707268661,0.0,70,148994,0.00046981757654670657
1,4,0.0005311455231729577,0.8480014915749587,0.0,96,153269,0.0006263497510912187
2,0,0.005978492515096988,4.685413566687452,0.0,52,40753,0.0012759796824773637
2,1,0.008936745091487367,4.105859232478102,0.0,101,46403,0.002176583410555352
2,2,0.015149923260006018,8.711672025988383,0.0,65,37377,0.0017390373759263718
2,3,0.004369822643562446,2.5876949741443704,0.0,69,40860,0.0016886930983847283
2,4,0.0054572051918929994,2.935906429069307,0.0,78,41963,0.001858780354121488
3,0,0.009385098924988702,5.883590709144071,0.0,65,40749,0.0015951311688630395
3,1,0.011116537113095902,4.916473813885214,0.02,105,46438,0.0022610792885137173
3,2,0.02253928753422589,10.946775791135657,0.04,77,37397,0.0020589886889322674
3,3,0.007141803463092315,4.711862429964373,0.02,62,40905,0.0015157071262681824
3,4,0.0061917647867949805,3.285710929012901,0.0,79,41922,0.0018844520776680502
4,0,0.0035082019780758138,4.740082044091578,0.0,70,94580,0.00074011418904631
4,1,0.004042090463919012,3.5677856536284174,0.0,123,108567,0.0011329409489071265
4,2,0.007868827237484012,9.094265932601521,0.02,75,86680,0.0008652514997692663
4,3,0.0035923651368715863,4.7962628279521855,0.02,71,94794,0.0007489925522712408
4,4,0.004374305847991194,4.659063649334882,0.04,92,97989,0.0009388808947943136
5,0,0.010900383558526665,8.308465742210869,0.0,124,94515,0.0013119610643813151
5,1,0.00893121861280668,7.177193434426358,0.02,135,108487,0.001244388728603427
5,2,0.0139329581337839,17.73440184343232,0.02,68,86553,0.0007856457892851779
5,3,0.01352616418187578,11.046561756637947,0.0,116,94735,0.0012244682535493747
5,4,0.009323682818737439,10.131838926170447,0.0,90,97801,0.0009202359894070613
6,0,0.006450346463391902,6.1106067151650505,0.0,100,94733,0.0010555983659337295
6,1,0.007695035171161459,7.205538063161455,0.04,116,108621,0.0010679334566980603
6,2,0.01654612891958785,17.923387325532044,0.0,80,86659,0.0009231585871057825
6,3,0.005290812042063265,5.634893166776323,0.0,89,94788,0.0009389374182385956
6,4,0.01333290711945869,11.557270666000866,0.06,113,97951,0.0011536380435115518
7,0,0.011260184374783771,8.814490940455736,0.0,121,94719,0.001277462811051637
7,1,0.013286283282034109,10.453127788262966,0.0,138,108573,0.0012710342350308087
7,2,0.027451163487149873,21.06524548195776,0.02,113,86713,0.0013031494700909898
7,3,0.007790465005193206,7.696167918359513,0.0,96,94838,0.0010122524726375504
7,4,0.013611855094274736,12.821713082696501,0.02,104,97963,0.0010616253075140614
8,0,0.0036768477516149188,4.093546505934895,0.0,115,128033,0.000898205931283341
8,1,0.0033827082722178354,3.691297741893166,0.0,133,145133,0.0009164008185595282
8,2,0.0052976208549798676,7.803591727565159,0.0,81,119316,0.0006788695564718897
8,3,0.0036290024995380373,4.146890059781846,0.04,113,129126,0.0008751142295122593
8,4,0.003556844909048647,4.501678415745646,0.0,105,132892,0.0007901152815820365
9,0,0.01840038951779673,7.1157430859766375,0.0,106,40992,0.002585870413739266
9,1,0.024744563764444213,10.278273173656014,0.02,112,46522,0.0024074631357207344
9,2,0.02103137385654348,8.590173210949287,0.02,92,37577,0.002448306144716183
9,3,0.012670312277302488,5.653438249818121,0.0,92,41050,0.002241169305724726
9,4,0.01864615126910521,10.09330511389949,0.04,78,42222,0.0018473781440954953
